# Assembler.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 291

# CAssemblyInput class (16 methods)
FUN_1000787c|CAssemblyInput_GetOptionType
FUN_10007df3|CAssemblyInput_ReadByteOrder
FUN_100084df|CAssemblyInput_ReadDataPlateFieldHexBinaryValue
FUN_100089b6|CAssemblyInput_ReadDataPlateFieldITN
FUN_10008d7e|CAssemblyInput_ReadDataPlateFieldName
FUN_10008f7d|CAssemblyInput_ReadDataPlateFieldOffset
FUN_10009145|CAssemblyInput_ReadHarnessKeyCompatlistValue
FUN_10009a2f|CAssemblyInput_ReadMaxStringLength
FUN_1000a3a2|CAssemblyInput_ReadOptionsPartNumber
FUN_1000a5c5|CAssemblyInput_ReadPartNumbers
FUN_1000a962|CAssemblyInput_ReadProductHeaderFile
FUN_1000ab1a|CAssemblyInput_ReadProductIdentifier
FUN_1000ae38|CAssemblyInput_ReadProductInfo
FUN_1000b019|CAssemblyInput_ReadProductStructureOptionValue
FUN_1000b215|CAssemblyInput_ReadWordSize
FUN_1000bcb7|CAssemblyInput_getNewDataPlateNode

# CAssemblySubfilesMgr class (8 methods)
FUN_1000cd60|CAssemblySubfilesMgr_CheckSubfileRelLevelAgainstToolFamily
FUN_1000d5b2|CAssemblySubfilesMgr_GetBDSTableNumber
FUN_1000d85d|CAssemblySubfilesMgr_GetBusinessHeader
FUN_1000dad2|CAssemblySubfilesMgr_GetDataPlateRecord
FUN_1000e352|CAssemblySubfilesMgr_ReadASCIIHeadersFromCodeSubfile
FUN_1000ea61|CAssemblySubfilesMgr_ReadIndexTableAttributes
FUN_1000ee95|CAssemblySubfilesMgr_UpdateReleaseLevel
FUN_1000f3f7|CAssemblySubfilesMgr_ValidateProductIdInBusniessHeaderRecords

# CBits class (5 methods)
FUN_1001083a|CBits_getBit
FUN_1001089d|CBits_getFirstSetBit
FUN_10010915|CBits_getFirstUnsetBit
FUN_100109ea|CBits_setBit
FUN_10010b04|CBits_setCapacity

# CBlock class (4 methods)
FUN_10010c5e|CBlock_setBlockData
FUN_10010f8b|CBlock_setLength
FUN_100110ce|CBlock_setLengthOfDummyBlock
FUN_100111c5|CBlock_verifyOverlap

# CBlocksManager class (3 methods)
FUN_1001143c|CBlocksManager_getBlockByAddress
FUN_10011615|CBlocksManager_getBlockByIndex
FUN_1001175e|CBlocksManager_verifyBlocksForOverlap

# CCalibrationAssembler class (8 methods)
FUN_10011ed2|CCalibrationAssembler_Assemble
FUN_10012362|CCalibrationAssembler_CreateInstanceOfCalBinImageComponent
FUN_1001256c|CCalibrationAssembler_LoadCalibrationFile
FUN_100128b9|CCalibrationAssembler_SetHexBinaryValueInDataPlate
FUN_10012bb9|CCalibrationAssembler_SetStringValueInDataPalte
FUN_10012da3|CCalibrationAssembler_WriteAssemblyOutput
FUN_10012fa1|CCalibrationAssembler_WriteDatatoCalibrationFile
FUN_100131c0|CCalibrationAssembler_getBinaryData

# CCalibrationAssemblerComponent class (9 methods)
FUN_10013557|CCalibrationAssemblerComponent_Assemble
FUN_100136fe|CCalibrationAssemblerComponent_CreateImplementationClass
FUN_10013917|CCalibrationAssemblerComponent_GetIDsOfNames
FUN_10013c65|CCalibrationAssemblerComponent_determine_PREGTIS_GITS2_Level
FUN_10013f46|CCalibrationAssemblerComponent_getGTISVersion
FUN_100141af|CCalibrationAssemblerComponent_get_Configuration
FUN_10014364|CCalibrationAssemblerComponent_get_Group
FUN_10014519|CCalibrationAssemblerComponent_put_Configuration
FUN_10014ac8|CCalibrationAssemblerComponent_put_Group

# CCalibrationAssemblerGTIS2 class (16 methods)
FUN_100150c9|CCalibrationAssemblerGTIS2_AdjustSaveAndRestoreRecord
FUN_1001535d|CCalibrationAssemblerGTIS2_AppendBDSHeader
FUN_100157b4|CCalibrationAssemblerGTIS2_CompareJulianDateValues
FUN_1001594a|CCalibrationAssemblerGTIS2_ConvertToJulian
FUN_10015b58|CCalibrationAssemblerGTIS2_CreateBlocks
FUN_100160f5|CCalibrationAssemblerGTIS2_CreateIndexTable
FUN_10016275|CCalibrationAssemblerGTIS2_ProcessHeaderRecords
FUN_100166b7|CCalibrationAssemblerGTIS2_ReadIndexTableRecords
FUN_10016846|CCalibrationAssemblerGTIS2_SetDVecIndexTable
FUN_10016a2a|CCalibrationAssemblerGTIS2_SetEngineBuildDate
FUN_10016d7e|CCalibrationAssemblerGTIS2_SetHexBinaryValueInDataPlate
FUN_1001709c|CCalibrationAssemblerGTIS2_SetStringValueInDataPlate
FUN_1001739e|CCalibrationAssemblerGTIS2_SetVecIndexTable
FUN_100175b6|CCalibrationAssemblerGTIS2_ValidateHeaderFile
FUN_10017a3b|CCalibrationAssemblerGTIS2_WriteAssemblyOutput
FUN_10017be9|CCalibrationAssemblerGTIS2_WriteDatatoCalibrationFile

# CCalibrationAssemblerGTIS45 class (23 methods)
FUN_10018cb3|CCalibrationAssemblerGTIS45_CalculateHarnessKeyCompatibilityListValue
FUN_10019093|CCalibrationAssemblerGTIS45_GetBytesFromCalibration
FUN_100191de|CCalibrationAssemblerGTIS45_GetCompatibilityHeaderRecords
FUN_1001956f|CCalibrationAssemblerGTIS45_GetDataFromCalibration
FUN_1001972f|CCalibrationAssemblerGTIS45_IsOddParity
FUN_10019855|CCalibrationAssemblerGTIS45_IsOptionTypePJ
FUN_10019a20|CCalibrationAssemblerGTIS45_IsValidItn
FUN_10019bf8|CCalibrationAssemblerGTIS45_ReadIndexTableRecords
FUN_10019d92|CCalibrationAssemblerGTIS45_SetDVecIndexTable
