# CUDL.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 109

# CAuditTrailProcess class (4 methods)
FUN_10002d60|CAuditTrailProcess_PostProcess
FUN_10003ffc|CAuditTrailProcess_PreProcess
FUN_10004a22|CAuditTrailProcess_ClearAuditTrail
FUN_10004d10|CAuditTrailProcess_GetAuditTrailData

# CCICUDL class (5 methods)
FUN_1001c5d0|CCICUDL_IsProductSupported
FUN_1001c7af|CCICUDL_ExecuteDownload
FUN_1001caa9|CCICUDL_ExecuteUpload
FUN_1001cd7e|CCICUDL_Cancel
FUN_1001cfe0|CCICUDL_CheckCalDataDevice

# CCM4XBlockDataStructure class (3 methods)
FUN_1001f590|CCM4XBlockDataStructure_Initialize
FUN_1001fc40|CCM4XBlockDataStructure_ReadBlockDataStructure
FUN_10020550|CCM4XBlockDataStructure_findActualBlockDataLength

# CCM4XCalibration class (5 methods)
FUN_10020ad0|CCM4XCalibration_ExecuteUpload
FUN_1002101f|CCM4XCalibration_GetRunLocation
FUN_100222de|CCM4XCalibration_XferProcess
FUN_10022430|CCM4XCalibration_GetECMStatus
FUN_10022770|CCM4XCalibration_PutECMStatus2RIP

# CCM4XHeaderRecordGenerationProcess class (1 methods)
FUN_1001b190|CCM4XHeaderRecordGenerationProcess_AddHeaderRecords

# CCUDLSaveRestore class (8 methods)
FUN_1003bfc0|CCUDLSaveRestore_get_ParamData
FUN_1003c150|CCUDLSaveRestore_put_ParamData
FUN_1003c2b0|CCUDLSaveRestore_get_ParamName
FUN_1003c420|CCUDLSaveRestore_put_ParamName
FUN_1003c570|CCUDLSaveRestore_get_ParamId
FUN_1003c6f0|CCUDLSaveRestore_put_ParamId
FUN_1003c840|CCUDLSaveRestore_get_ErrorCode
FUN_1003c990|CCUDLSaveRestore_put_ErrorCode

# CCalibration class (5 methods)
FUN_10007672|CCalibration_Cancel
FUN_10008f70|CCalibration_PreCalibrationProcess
FUN_1000949b|CCalibration_PostCalibrationProcess
FUN_1000baad|CCalibration_FindECM
FUN_1000be30|CCalibration_GetToolContext

# CCalibrationCheckProcess class (9 methods)
FUN_10011770|CCalibrationCheckProcess_CheckCLIPProductCompatibility
FUN_10011dee|CCalibrationCheckProcess_CheckCLIPECMCompatibility
FUN_10012075|CCalibrationCheckProcess_CheckCPPECMCompatibility
FUN_10012287|CCalibrationCheckProcess_CheckBootLoaderVersionCompatibility
FUN_1001381f|CCalibrationCheckProcess_CheckECMNameIDCompatibility
FUN_100140a1|CCalibrationCheckProcess_CheckGTIS38ECMCompatibility
FUN_10014380|CCalibrationCheckProcess_GetCppParameterValue
FUN_10015203|CCalibrationCheckProcess_ModuleHarnessKeyCompatibleCheck
FUN_10015640|CCalibrationCheckProcess_CheckByteOrderCompatibility

# CCalibrationFactory class (9 methods)
FUN_100178b0|CCalibrationFactory_CCalibrationFactory
FUN_10017a4e|CCalibrationFactory_CreateCalibration
FUN_10018370|CCalibrationFactory_createAdjustmentProcesses
FUN_10018b2d|CCalibrationFactory_verifyCalibrationModeAndScenario
FUN_1001a0c2|CCalibrationFactory_getInterfaceLevelFromHeader
FUN_1001a44f|CCalibrationFactory_getECMID
FUN_1001a6b3|CCalibrationFactory_getECMStatus
FUN_1001a916|CCalibrationFactory_getRunlocation
FUN_1001ab35|CCalibrationFactory_getECMB_RunLocation

# CDownload class (5 methods)
FUN_1003e4a0|CDownload_CDownload
FUN_1003ea00|CDownload_TransferBlocks
FUN_1004041a|CDownload_SendBuffer
FUN_10040a00|CDownload_UpdateECMStatusToValidMem
FUN_10041450|CDownload_putECMC_Status2RIP

# CECMBCalibration class (18 methods)
FUN_10042ea0|CECMBCalibration_ExecuteDownload
FUN_10043077|CECMBCalibration_ExecuteUpload
FUN_10043400|CECMBCalibration_GetRunLocation
FUN_100436f0|CECMBCalibration_XferProcess
FUN_10044ba0|CECMBCalibration_getCppParamValue
FUN_100450fc|CECMBCalibration_putCppParamValue
