# CalDataServer.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 173

# CAddressableEntity class (15 methods)
FUN_10005f04|CAddressableEntity_ClearAddressCache
FUN_1000670f|CAddressableEntity_FlushCache
FUN_100079e6|CAddressableEntity_GetLocation
FUN_10008e95|CAddressableEntity_GetNamedNode
FUN_1000cdcf|CAddressableEntity_get_CacheMode
FUN_1000d2d4|CAddressableEntity_get_IsModified
FUN_1000d3dc|CAddressableEntity_get_RawData
FUN_1000d8b1|CAddressableEntity_get_Retry
FUN_1000d9b9|CAddressableEntity_get_Size
FUN_1000db5d|CAddressableEntity_get_Timeout
FUN_1000dc65|CAddressableEntity_get_WriteMethod
FUN_1000e08b|CAddressableEntity_put_CacheMode
FUN_1000e1a6|CAddressableEntity_put_RawData
FUN_1000e996|CAddressableEntity_put_Timeout
FUN_1000ea77|CAddressableEntity_put_WriteMethod

# CArrayX class (5 methods)
FUN_1000f497|CArrayX_GetXYZArraySize
FUN_1001052f|CArrayX_get_CurrentIndex
FUN_10010635|CArrayX_get_LowerBound
FUN_1001074e|CArrayX_get_NumberOfElements
FUN_10010cd2|CArrayX_put_CurrentIndex

# CCDSProcessRequest class (1 methods)
FUN_10045604|CCDSProcessRequest_processControlledSet

# CCICalDataServer class (27 methods)
FUN_10019e36|CCICalDataServer_FinalConstruct
FUN_10019ffd|CCICalDataServer_GetDescIDMap
FUN_1001a10d|CCICalDataServer_GetEntityByID
FUN_1001a342|CCICalDataServer_GetEntityByName
FUN_1001b15e|CCICalDataServer_GetTreeNodePtrMap
FUN_1001b704|CCICalDataServer_Process
FUN_1001b82a|CCICalDataServer_PutDescIDMap
FUN_1001b967|CCICalDataServer_ReadData
FUN_1001bbb3|CCICalDataServer_UseNameSearchMgr
FUN_1001c09f|CCICalDataServer_WriteData
FUN_1001d968|CCICalDataServer_get_ByteOrder
FUN_1001da4b|CCICalDataServer_get_Configuration
FUN_1001dba9|CCICalDataServer_get_DataAccess
FUN_1001dca4|CCICalDataServer_get_DefaultCacheMode
FUN_1001dd83|CCICalDataServer_get_DefaultWriteMethod
FUN_1001de62|CCICalDataServer_get_Description
FUN_1001df6f|CCICalDataServer_get_Group
FUN_1001e04e|CCICalDataServer_get_RootEntity
FUN_1001e24c|CCICalDataServer_get_SymbolicTree
FUN_1001e36d|CCICalDataServer_get_Version
FUN_1001e52e|CCICalDataServer_put_ByteOrder
FUN_1001e614|CCICalDataServer_put_Configuration
FUN_1001e71d|CCICalDataServer_put_DataAccess
FUN_1001e82a|CCICalDataServer_put_DefaultCacheMode
FUN_1001e951|CCICalDataServer_put_DefaultWriteMethod
FUN_1001ea47|CCICalDataServer_put_Group
FUN_1001eb46|CCICalDataServer_put_SymbolicTree

# CCICollection class (13 methods)
FUN_10046626|CCICollection_Add
FUN_1004679f|CCICollection_Clear
FUN_10046ab7|CCICollection_Insert
FUN_10046ef1|CCICollection_Remove
FUN_100476fd|CCICollection_get_Count
FUN_10047806|CCICollection_get_Dirty
FUN_1004790b|CCICollection_get_Group
FUN_10047a0e|CCICollection_get_Item
FUN_10047b88|CCICollection_get_Lock
FUN_10047c8d|CCICollection_get__NewEnum
FUN_10047ed3|CCICollection_put_Dirty
FUN_10047fb1|CCICollection_put_Group
FUN_1004808d|CCICollection_put_Lock

# CCISetItem class (19 methods)
FUN_10048238|CCISetItem_FinalConstruct
FUN_100484ed|CCISetItem_get_DataPosition
FUN_100485f0|CCISetItem_get_DataSize
FUN_100486f3|CCISetItem_get_Group
FUN_100487f6|CCISetItem_get_MappingType
FUN_100488f9|CCISetItem_get_ProcessSetItem
FUN_10048a06|CCISetItem_get_Request
FUN_10048b13|CCISetItem_get_RequestType
FUN_10048c16|CCISetItem_get_Result
FUN_10048d19|CCISetItem_get_ResultText
FUN_10048e23|CCISetItem_put_DataPosition
FUN_10048eff|CCISetItem_put_DataSize
FUN_10048fdb|CCISetItem_put_Group
FUN_100490b7|CCISetItem_put_MappingType
FUN_10049193|CCISetItem_put_ProcessSetItem
FUN_10049274|CCISetItem_put_Request
FUN_10049355|CCISetItem_put_RequestType
FUN_10049431|CCISetItem_put_Result
FUN_1004950d|CCISetItem_put_ResultText

# CCISetRequest class (32 methods)
FUN_10049b2d|CCISetRequest_ValidateOptimizations
FUN_1004a1fe|CCISetRequest_get_Configuration
FUN_1004a308|CCISetRequest_get_DCLSet
FUN_1004a415|CCISetRequest_get_DclStatus
FUN_1004a518|CCISetRequest_get_DclStatusDescription
FUN_1004a60f|CCISetRequest_get_Dirty
FUN_1004a769|CCISetRequest_get_Group
FUN_1004a86c|CCISetRequest_get_ProcessRequests
FUN_1004a979|CCISetRequest_get_ReqData
FUN_1004aa70|CCISetRequest_get_ReqDataLength
FUN_1004ab75|CCISetRequest_get_ReqProtocol
FUN_1004ac6c|CCISetRequest_get_ReqStatus
FUN_1004ad63|CCISetRequest_get_ReqType
FUN_1004ae67|CCISetRequest_get_Requests
FUN_1004af74|CCISetRequest_get_Retries
FUN_1004b06b|CCISetRequest_get_SetProcessingMode
FUN_1004b16e|CCISetRequest_get_Timeout
FUN_1004b26e|CCISetRequest_put_Configuration
FUN_1004b39f|CCISetRequest_put_DCLSet
FUN_1004b480|CCISetRequest_put_DclStatus
FUN_1004b55c|CCISetRequest_put_Dirty
FUN_1004b67c|CCISetRequest_put_Group
FUN_1004b758|CCISetRequest_put_ProcessRequests
FUN_1004b839|CCISetRequest_put_ReqData
FUN_1004b930|CCISetRequest_put_ReqDataLength
FUN_1004ba0c|CCISetRequest_put_ReqProtocol
FUN_1004bb03|CCISetRequest_put_ReqStatus
FUN_1004bbfa|CCISetRequest_put_ReqType
FUN_1004bcf1|CCISetRequest_put_Requests
FUN_1004bddd|CCISetRequest_put_Retries
FUN_1004bed4|CCISetRequest_put_SetProcessingMode
FUN_1004bfc1|CCISetRequest_put_Timeout

# CConstantEntity class (1 methods)
FUN_1001f4a8|CConstantEntity_get_ScaledValue

# CDateTimeEntity class (4 methods)
FUN_1001f8b6|CDateTimeEntity_get_ScaledFloat
