# ConfigurationFiles.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 106

# CConfigFileComponent class (19 methods)
FUN_10001600|CConfigFileComponent_ReadFile
FUN_10001dd0|CConfigFileComponent_ReadFileDescription
FUN_10002152|CConfigFileComponent_VerifyFile
FUN_1000257a|CConfigFileComponent_ReadFileVersion
FUN_10002a48|CConfigFileComponent_get_FileExtensions
FUN_10002e3b|CConfigFileComponent_put_Configuration
FUN_10003053|CConfigFileComponent_get_Configuration
FUN_10003266|CConfigFileComponent_get_FileDescription
FUN_10003476|CConfigFileComponent_get_FileVersion
FUN_10003696|CConfigFileComponent_get_Description
FUN_100038a3|CConfigFileComponent_get_Version
FUN_10003af8|CConfigFileComponent_get_CanRead
FUN_10003d1f|CConfigFileComponent_get_CanWrite
FUN_10003f3d|CConfigFileComponent_CreateNewSymbolicData
FUN_100041df|CConfigFileComponent_AttachToTree
FUN_100044ca|CConfigFileComponent_TransformDescriptor
FUN_1000473d|CConfigFileComponent_AttachStructures
FUN_10004a81|CConfigFileComponent_get_Group
FUN_10004cb4|CConfigFileComponent_put_Group

# CConfigFileContentSaxHandler class (1 methods)
FUN_10034390|CConfigFileContentSaxHandler_endElement

# CConfigFileGTIS38 class (18 methods)
FUN_1007bbe0|CConfigFileGTIS38_readConfigFile
FUN_1007c1c0|CConfigFileGTIS38_AttachConfigItemToTree
FUN_1007c470|CConfigFileGTIS38_ReadFileVersion
FUN_1007c65d|CConfigFileGTIS38_ReadFileDescription
FUN_1007c7fd|CConfigFileGTIS38_VerifyFile
FUN_1007cda0|CConfigFileGTIS38_CopySymbolicData
FUN_1007d910|CConfigFileGTIS38_PutRelatedAxisInfoFor_Y_DataType
FUN_1007e1c0|CConfigFileGTIS38_PutRelatedAxisInfoFor_Z_DataType
FUN_1007edb0|CConfigFileGTIS38_AttachSubArrayItemToTreeNode
FUN_1007f3d0|CConfigFileGTIS38_AttachParametersToTree
FUN_1007fac8|CConfigFileGTIS38_CalculateCRC
FUN_1007fdf0|CConfigFileGTIS38_ReadCRC
FUN_10080210|CConfigFileGTIS38_ReadHeaderRecords
FUN_10080410|CConfigFileGTIS38_ProcessHeaderRecordsSection
FUN_10080c30|CConfigFileGTIS38_ReadDataRecords
FUN_10081860|CConfigFileGTIS38_AttachHeaderRecordsToTree
FUN_10081bd0|CConfigFileGTIS38_CrossReferTables
FUN_10081de0|CConfigFileGTIS38_AttachOneHeaderRecord

# CConfigItemGTIS class (68 methods)
FUN_1000e0d0|CConfigItemGTIS_get_Version
FUN_1000e300|CConfigItemGTIS_ReadGTIS20
FUN_1000f750|CConfigItemGTIS_ReadGTIS38
FUN_100114b0|CConfigItemGTIS_put_Name
FUN_100116d0|CConfigItemGTIS_get_Type
FUN_10011874|CConfigItemGTIS_get_Units
FUN_10011a70|CConfigItemGTIS_put_Units
FUN_10011c06|CConfigItemGTIS_get_Comment
FUN_10011dd0|CConfigItemGTIS_put_Comment
