# DataAccess.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 43

# CCIBinImageRequest class (27 methods)
FUN_1001b830|CCIBinImageRequest_get_Timeout
FUN_1001b9c0|CCIBinImageRequest_put_Timeout
FUN_1001bb50|CCIBinImageRequest_get_Retries
FUN_1001bce0|CCIBinImageRequest_put_Retries
FUN_1001be70|CCIBinImageRequest_get_ReqProtocol
FUN_1001c010|CCIBinImageRequest_put_ReqProtocol
FUN_1001c1a0|CCIBinImageRequest_get_ReqType
FUN_1001c340|CCIBinImageRequest_put_ReqType
FUN_1001c4c0|CCIBinImageRequest_get_ReqStatus
FUN_1001c660|CCIBinImageRequest_put_ReqStatus
FUN_1001c7e0|CCIBinImageRequest_get_ReqDataLength
FUN_1001c980|CCIBinImageRequest_put_ReqDataLength
FUN_1001cb00|CCIBinImageRequest_get_ReqData
FUN_1001cd00|CCIBinImageRequest_put_ReqData
FUN_1001ce80|CCIBinImageRequest_get_DclStatus
FUN_1001d010|CCIBinImageRequest_put_DclStatus
FUN_1001d1a0|CCIBinImageRequest_get_DclStatusDescription
FUN_1001d330|CCIBinImageRequest_get_AddressMode
FUN_1001d4d0|CCIBinImageRequest_put_AddressMode
FUN_1001d650|CCIBinImageRequest_get_Location
FUN_1001d7f0|CCIBinImageRequest_put_Location
FUN_1001d970|CCIBinImageRequest_get_Offset
FUN_1001db10|CCIBinImageRequest_put_Offset
FUN_1001dc90|CCIBinImageRequest_get_CalDataServer
FUN_1001de50|CCIBinImageRequest_put_CalDataServer
FUN_1001dfd0|CCIBinImageRequest_get_Group
FUN_1001e170|CCIBinImageRequest_put_Group

# CCLDataAccess class (15 methods)
FUN_10001280|CCLDataAccess_get_PreferredAddressMode
FUN_10001489|CCLDataAccess_get_Description
FUN_1000167c|CCLDataAccess_get_Version
FUN_100018d4|CCLDataAccess_WriteData
FUN_10002a1d|CCLDataAccess_get_DataSource
FUN_10002d6d|CCLDataAccess_put_DataSource
FUN_10003680|CCLDataAccess_FinalConstruct
FUN_10003a13|CCLDataAccess_Process
FUN_10003be0|CCLDataAccess_CreateReadRequest
FUN_10003e0d|CCLDataAccess_CreateWriteRequest
FUN_10004059|CCLDataAccess_get_Group
FUN_1000425f|CCLDataAccess_put_Group
FUN_1000519f|CCLDataAccess_put_MessageSize
FUN_10006bb0|CCLDataAccess_GetBinaryDataByAddress
FUN_1000748b|CCLDataAccess_PutBinaryDataByAddress

# CDAProcessRequest class (1 methods)
FUN_1001ee80|CDAProcessRequest_processBinImageSet

