# DataMonitoring.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 98

# CBAMReceiver class (2 methods)
FUN_10001070|CBAMReceiver_InitializeMailbox
FUN_100015e4|CBAMReceiver_UnInitializeMailbox

# CCICPPMonitor class (9 methods)
FUN_1000add0|CCICPPMonitor_get_RequestType
FUN_1000afa6|CCICPPMonitor_get_Length
FUN_1000b148|CCICPPMonitor_put_Length
FUN_1000b2e6|CCICPPMonitor_get_Offset
FUN_1000b488|CCICPPMonitor_put_Offset
FUN_1000b626|CCICPPMonitor_get_Location
FUN_1000b800|CCICPPMonitor_put_Location
FUN_1000b9f7|CCICPPMonitor_get_Mode
FUN_1000bb8f|CCICPPMonitor_put_Mode

# CCIDMCollection class (5 methods)
FUN_10007660|CCIDMCollection_FinalConstruct
FUN_10007a80|CCIDMCollection_Add
FUN_10007d7b|CCIDMCollection_Insert
FUN_10007f90|CCIDMCollection_ValidateDataElement
FUN_10008813|CCIDMCollection_ValidateMonitorability

# CCIDataCollectorInfo class (7 methods)
FUN_10010dc0|CCIDataCollectorInfo_get_DataSource
FUN_10010fc0|CCIDataCollectorInfo_put_DataSource
FUN_100114e7|CCIDataCollectorInfo_get_DataCollectorType
FUN_100116c2|CCIDataCollectorInfo_get_MonitorMode
FUN_10011943|CCIDataCollectorInfo_get_Status
FUN_10011c05|CCIDataCollectorInfo_get_TriggerMode
FUN_10011e83|CCIDataCollectorInfo_get_IDLStopMode

# CCIDataElementNotification class (18 methods)
FUN_10014fa0|CCIDataElementNotification_get_Timestamp
FUN_10015140|CCIDataElementNotification_put_Timestamp
FUN_100152b0|CCIDataElementNotification_get_Changed
FUN_10015450|CCIDataElementNotification_put_Changed
FUN_100155c0|CCIDataElementNotification_get_Status
FUN_10015760|CCIDataElementNotification_put_Status
FUN_100158d0|CCIDataElementNotification_get_UnitOfMeasure
FUN_10015a70|CCIDataElementNotification_put_UnitOfMeasure
FUN_10015bf0|CCIDataElementNotification_get_ScaledValue
FUN_10015d90|CCIDataElementNotification_put_ScaledValue
FUN_10015f30|CCIDataElementNotification_get_ScaledFloat
FUN_100160d0|CCIDataElementNotification_put_ScaledFloat
FUN_10016240|CCIDataElementNotification_get_DataElementMonitor
FUN_10016400|CCIDataElementNotification_put_DataElementMonitor
FUN_10016580|CCIDataElementNotification_get_RawData
FUN_10016730|CCIDataElementNotification_put_RawData
FUN_100168b0|CCIDataElementNotification_get_Group
FUN_10016a50|CCIDataElementNotification_put_Group

# CCISubscription class (35 methods)
FUN_10073870|CCISubscription_get_NotifyOnChange
FUN_10073a10|CCISubscription_put_NotifyOnChange
FUN_10073bb0|CCISubscription_get_NotificationType
FUN_10073d50|CCISubscription_put_NotificationType
FUN_10073f60|CCISubscription_get_DataSource
FUN_10074120|CCISubscription_put_DataSource
FUN_100743c0|CCISubscription_get_MonitoredDataElements
FUN_10074580|CCISubscription_get_BaseRate
FUN_10074720|CCISubscription_put_BaseRate
FUN_10074920|CCISubscription_get_MonitorMode
FUN_10074ac0|CCISubscription_put_MonitorMode
FUN_10074cd0|CCISubscription_get_TriggerMode
FUN_10074e70|CCISubscription_put_TriggerMode
FUN_10075020|CCISubscription_get_RateMultiplier
FUN_100751c0|CCISubscription_put_RateMultiplier
FUN_10075390|CCISubscription_get_IDLStopMode
FUN_10075530|CCISubscription_put_IDLStopMode
FUN_100756e0|CCISubscription_get_Active
FUN_10075880|CCISubscription_put_Active
FUN_10075a00|CCISubscription_get_Timer
FUN_10075ba0|CCISubscription_put_Timer
FUN_10075d10|CCISubscription_get_RequestSet
FUN_10075ed0|CCISubscription_put_RequestSet
FUN_10076050|CCISubscription_SendEvent
FUN_10076260|CCISubscription_get_Dirty
FUN_10076470|CCISubscription_put_Dirty
FUN_10076650|CCISubscription_get_FilterOnStatus
FUN_100767f0|CCISubscription_put_FilterOnStatus
FUN_10076970|CCISubscription_get_FilterOnNumber
FUN_10076b20|CCISubscription_put_FilterOnNumber
FUN_10076cd0|CCISubscription_put_Configuration
FUN_10076ea0|CCISubscription_get_Configuration
FUN_10077014|CCISubscription_FinalConstruct
FUN_10077270|CCISubscription_get_Group
FUN_10077410|CCISubscription_put_Group

# CCISubscriptionManager class (13 methods)
FUN_1007afdf|CCISubscriptionManager_FinalConstruct
FUN_1007b550|CCISubscriptionManager_FinalRelease
FUN_1007bd00|CCISubscriptionManager_get_PerformanceMsgEnabled
FUN_1007bea0|CCISubscriptionManager_put_PerformanceMsgEnabled
FUN_1007c0a0|CCISubscriptionManager_Add
FUN_1007c490|CCISubscriptionManager_Pause
FUN_1007ce5a|CCISubscriptionManager_Resume
FUN_1007d2d0|CCISubscriptionManager_Remove
FUN_1007d965|CCISubscriptionManager_SaveDC2Configuration
FUN_1007da3f|CCISubscriptionManager_RetrieveDC2Configuration
FUN_1007e0f0|CCISubscriptionManager_IsActive
FUN_1007e2d0|CCISubscriptionManager_get_Group
FUN_1007e470|CCISubscriptionManager_put_Group

# CDataCollector class (1 methods)
FUN_1000e3e0|CDataCollector_StopCollection

# CEDMMonitor class (3 methods)
FUN_10032340|CEDMMonitor_Start
FUN_10032540|CEDMMonitor_Pause
FUN_10032690|CEDMMonitor_Resume

# CGTIS45BAMDataMonitor class (2 methods)
FUN_1003c360|CGTIS45BAMDataMonitor_ReceiveMailboxMessage
FUN_1003c5d0|CGTIS45BAMDataMonitor_ProcessDataThread

# CGTIS45DC2DataMonitor class (2 methods)
FUN_10041320|CGTIS45DC2DataMonitor_startCollection
FUN_10041a10|CGTIS45DC2DataMonitor_stopCollection

# CGTIS45DCDataMonitor class (1 methods)
FUN_10049190|CGTIS45DCDataMonitor_startCollection

