# DeviceControl.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 217

# CCIConfiguration class (3 methods)
FUN_1007f3c0|CCIConfiguration_put_Configuration
FUN_1007f660|CCIConfiguration_get_Configuration
FUN_1007f96e|CCIConfiguration_GetConfigurationData

# CCIDCLSet class (1 methods)
FUN_100706c0|CCIDCLSet_Process

# CCLIPRequest class (31 methods)
FUN_1006a830|CCLIPRequest_get_Timeout
FUN_1006a9e0|CCLIPRequest_put_Timeout
FUN_1006aba0|CCLIPRequest_get_Retries
FUN_1006ad50|CCLIPRequest_put_Retries
FUN_1006af10|CCLIPRequest_get_ReqProtocol
FUN_1006b0c0|CCLIPRequest_put_ReqProtocol
FUN_1006b210|CCLIPRequest_get_ReqType
FUN_1006b3d0|CCLIPRequest_get_ReqStatus
FUN_1006b580|CCLIPRequest_put_ReqStatus
FUN_1006b730|CCLIPRequest_get_ReqDataLength
FUN_1006b8f0|CCLIPRequest_put_ReqDataLength
FUN_1006bab0|CCLIPRequest_get_ReqData
FUN_1006bc70|CCLIPRequest_put_ReqData
FUN_1006be50|CCLIPRequest_get_DclStatus
FUN_1006c010|CCLIPRequest_put_DclStatus
FUN_1006c1b0|CCLIPRequest_get_DclStatusDescription
FUN_1006c370|CCLIPRequest_get_Group
FUN_1006c580|CCLIPRequest_put_Group
FUN_1006c770|CCLIPRequest_get_ResponseCode
FUN_1006c8f0|CCLIPRequest_get_ResponseCodeDescription
FUN_1006cbd0|CCLIPRequest_GetParametersByID
FUN_1006cdd0|CCLIPRequest_SetParametersByID
FUN_1006cfd0|CCLIPRequest_GetDataByAddress
FUN_1006d170|CCLIPRequest_SetDataByAddress
FUN_1006d3b0|CCLIPRequest_GetAddressByParameterID
FUN_1006d510|CCLIPRequest_ExecuteOperation
FUN_1006d730|CCLIPRequest_get_CLIPData
FUN_1006d900|CCLIPRequest_put_CLIPData
FUN_1006daf0|CCLIPRequest_get_Asynchronous
FUN_1006dc90|CCLIPRequest_put_Asynchronous
FUN_1006e040|CCLIPRequest_CheckAndWaitTillRequestIsProcessed

# CCPPCommandRequest class (21 methods)
FUN_100548f0|CCPPCommandRequest_get_Command
FUN_10054a80|CCPPCommandRequest_get_CppInstProtocol
FUN_10054c10|CCPPCommandRequest_get_Timeout
FUN_10054dc0|CCPPCommandRequest_put_Timeout
FUN_10054f70|CCPPCommandRequest_get_Retries
FUN_10055120|CCPPCommandRequest_put_Retries
FUN_100552e0|CCPPCommandRequest_get_ReqProtocol
FUN_10055490|CCPPCommandRequest_put_ReqProtocol
FUN_10055620|CCPPCommandRequest_get_ReqType
FUN_100557d0|CCPPCommandRequest_put_ReqType
FUN_10055960|CCPPCommandRequest_get_ReqStatus
FUN_10055b10|CCPPCommandRequest_put_ReqStatus
FUN_10055ca0|CCPPCommandRequest_get_ReqDataLength
FUN_10055e50|CCPPCommandRequest_put_ReqDataLength
FUN_10056000|CCPPCommandRequest_get_ReqData
