# GTISBinImage.dll Function Rename Mapping
# Format: old_name|new_name
# Source: Debug strings embedded in code (class::method references)

# CICalBinImage class methods
FUN_1002a550|CICalBinImage_AddImageData
FUN_1002a6f0|CICalBinImage_AddImageData2
FUN_1002a810|CICalBinImage_AddNewImage
FUN_1002b14f|CICalBinImage_AppendCalHeader
FUN_1002b410|CICalBinImage_AttachToTree
FUN_1002c220|CICalBinImage_ClearCalHeaders
FUN_1002c3c0|CICalBinImage_ClearImages
FUN_1002c900|CICalBinImage_CreateNewSymbolicData
FUN_1002cba0|CICalBinImage_FinalConstruct
FUN_1002d2a0|CICalBinImage_GetCalHeader
FUN_1002d4a0|CICalBinImage_GetDataValues
FUN_1002eae0|CICalBinImage_GetImageDataByAddress
FUN_1002ecb0|CICalBinImage_GetImageDataByIndex
FUN_1002f1c0|CICalBinImage_InterfaceSupportsErrorInfo
FUN_1002f860|CICalBinImage_MergeBlocksIfNeeded
FUN_10030020|CICalBinImage_ReadFile
FUN_10031ee0|CICalBinImage_ReadFileVersion
FUN_10032959|CICalBinImage_ReadFileVersion2
FUN_10032cc0|CICalBinImage_SetCurrentImageByAddress
FUN_10032f72|CICalBinImage_SetCurrentImageByAddress2
FUN_100330d0|CICalBinImage_SetCurrentImageByIndex
FUN_10033340|CICalBinImage_VerifyFile
FUN_10033a00|CICalBinImage_WriteDataValues
FUN_10033d50|CICalBinImage_WriteFile
FUN_10035d00|CICalBinImage_get_CalHeaderCount
FUN_10035ee0|CICalBinImage_get_CanRead
FUN_100360b0|CICalBinImage_get_CanWrite
FUN_10036280|CICalBinImage_get_Configuration
FUN_10036460|CICalBinImage_get_Description
FUN_10036670|CICalBinImage_get_FileDescription
FUN_10036870|CICalBinImage_get_FileExtensions
FUN_10036b50|CICalBinImage_get_FileVersion
FUN_10036d50|CICalBinImage_get_Group
FUN_10036f20|CICalBinImage_get_ImageAddress
FUN_10037160|CICalBinImage_get_ImageCount
FUN_10037350|CICalBinImage_get_ImageData
FUN_100375a0|CICalBinImage_get_ImageLength
FUN_100377e0|CICalBinImage_get_Version
FUN_10037b60|CICalBinImage_put_Configuration
FUN_10038060|CICalBinImage_put_Group
FUN_10038200|CICalBinImage_put_ImageData
FUN_100384a8|CICalBinImage_put_ImageData2

# CCalBinImageGTIS20Impl class methods
FUN_10006ff0|CCalBinImageGTIS20Impl_ReadHeaderRecordData
FUN_100091c0|CCalBinImageGTIS20Impl_get_Configuration
FUN_10009aa0|CCalBinImageGTIS20Impl_put_Configuration

# CCalBinImageGTIS38Impl class methods
FUN_1000f1e1|CCalBinImageGTIS38Impl_IsTheRightFormat
FUN_1000f520|CCalBinImageGTIS38Impl_ReadASCIIHeaderRecords
FUN_1000fc50|CCalBinImageGTIS38Impl_ReadCalHeaderRecords
FUN_100113d0|CCalBinImageGTIS38Impl_ReadHeaderRecordData
FUN_1000b520|CCalBinImageGTIS38Impl_AttachASCIIHeaderRecordsToTree
FUN_1000b990|CCalBinImageGTIS38Impl_AttachOneHeaderRecordToTree
FUN_1000bd60|CCalBinImageGTIS38Impl_CheckForRequiredHeaderRecords
FUN_10011560|CCalBinImageGTIS38Impl_WriteASCIIHeaderRecords
FUN_10011a40|CCalBinImageGTIS38Impl_WriteCalHeaderRecords
FUN_10011f70|CCalBinImageGTIS38Impl_WriteHeaderRecordData

# CCalBinImageGTIS45Impl class methods
FUN_10016170|CCalBinImageGTIS45Impl_AttachASCIIHeaderRecordsToTree
FUN_100166b0|CCalBinImageGTIS45Impl_CalculateCRCForBlockData
FUN_10016b40|CCalBinImageGTIS45Impl_CalculateCVN
FUN_100172e0|CCalBinImageGTIS45Impl_CalculateCVNForFourBlocks
FUN_100176a0|CCalBinImageGTIS45Impl_CalculateCVNForTwoBlocks
FUN_10017a10|CCalBinImageGTIS45Impl_GetValueFromHeaderRecord
FUN_10017e20|CCalBinImageGTIS45Impl_IsTheRightFormat
FUN_100182c0|CCalBinImageGTIS45Impl_ReadHeaderRecordData
FUN_10019910|CCalBinImageGTIS45Impl_WriteBlockCRCValues
FUN_10019d80|CCalBinImageGTIS45Impl_WriteCRCToImage
FUN_1001a6e0|CCalBinImageGTIS45Impl_get_Configuration
FUN_1001acc0|CCalBinImageGTIS45Impl_put_Configuration
FUN_1001b0d0|CCalBinImageGTIS45Impl_throwIXMLDOMParseError

# CCalBinImageImpl class methods
FUN_1001c0b0|CCalBinImageImpl_CreateNewSymbolicData
FUN_1001d09a|CCalBinImageImpl_CalculateCVN

# Utility functions
FUN_10041a00|throwExceptionWithFileInfo
FUN_100421d0|assertFailure
FUN_10042160|assertFailure2

