# MetadataComponent.dll Function Rename Mapping
# Format: old_name|new_name
# Source: Debug strings embedded in code (class::method references)

# CMetadata class methods
FUN_1000a620|CMetadata_GetAllProductInfo
FUN_1000aa90|CMetadata_GetProductIDsByGroup
FUN_1000b2db|CMetadata_GetProductInfo
FUN_1000b720|CMetadata_GetSupportedProductIDs
FUN_1000cd70|CMetadata_ReadFile
FUN_1000e690|CMetadata_get_CanRead
FUN_1000e830|CMetadata_get_CanWrite
FUN_1000e9e0|CMetadata_get_Description
FUN_1000ebd0|CMetadata_get_FileExtensions
FUN_1000edf0|CMetadata_get_SupportedGroups
FUN_1000fac0|CMetadata_get_Version

# CProductInfo class methods
FUN_1001f820|CProductInfo_GetDataCollectorBaseRate
FUN_1001f9d0|CProductInfo_GetDetectionRule
FUN_10020410|CProductInfo_GetInstructionProtocols
FUN_10020f00|CProductInfo_GetNonProductionDownLoadPacketSizeByProtocol
FUN_100212a0|CProductInfo_GetParameterInfo
FUN_10021fed|CProductInfo_GetPhaseRules
FUN_10022660|CProductInfo_GetProductionWriteMethod
FUN_10022fe0|CProductInfo_GetSupportedApplicationIDs
FUN_10023ba3|CProductInfo_GetSupportedDataStructures
FUN_100270c0|CProductInfo_get_ApplicationGroup
FUN_100273f0|CProductInfo_get_BootGroup
FUN_10027720|CProductInfo_get_ByteOrder
FUN_100279c0|CProductInfo_get_CUDLDownloadAlgorithm
FUN_10027e61|CProductInfo_get_ChildProductIDs
FUN_100284c0|CProductInfo_get_DefaultPhase
FUN_100287e0|CProductInfo_get_DeviceProtocols
FUN_100290d8|CProductInfo_get_ECMCodePrefix
FUN_100292b0|CProductInfo_get_ECMName
FUN_10029570|CProductInfo_get_EngineType
FUN_100298c0|CProductInfo_get_EngineeringName
FUN_10029b80|CProductInfo_get_GTISLevel
FUN_10029f30|CProductInfo_get_Group
FUN_1002a0e0|CProductInfo_get_Groups
FUN_1002a880|CProductInfo_get_IsSPEEDSupported
FUN_1002ab00|CProductInfo_get_MarketingName
FUN_1002adc0|CProductInfo_get_NonProductionDownloadPacketSize
FUN_1002b030|CProductInfo_get_NumberOfECMs
FUN_1002b3f5|CProductInfo_get_ParentProductID
FUN_1002b5c0|CProductInfo_get_PhaseClass
FUN_1002b930|CProductInfo_get_PhasesSupported
FUN_1002c038|CProductInfo_get_ProductID
FUN_1002c290|CProductInfo_get_ReleaseMethod
FUN_1002c550|CProductInfo_get_SupportedECM_IDs
FUN_1002cc58|CProductInfo_get_SupportsWriteDevMem
FUN_1002cf15|CProductInfo_get_WordSize
FUN_1002d980|CProductInfo_put_Group

# CXmlDataProvider class methods
FUN_100320a0|CXmlDataProvider_ExtractItem

