# SubFiles.dll Function Rename Mapping
# Format: old_name|new_name
# Source: Debug strings embedded in code (class::method references)

# CBinaryData class methods
FUN_100010a0|CBinaryData_FinalConstruct
FUN_10001220|CBinaryData_get_Location
FUN_10001380|CBinaryData_put_Location
FUN_100014b0|CBinaryData_get_Offset
FUN_10001610|CBinaryData_put_Offset
FUN_10001750|CBinaryData_get_Length
FUN_100018b0|CBinaryData_put_Length
FUN_100019f0|CBinaryData_get_BinaryData
FUN_10001b70|CBinaryData_put_BinaryData

# CSubFileComponent class methods
FUN_10007330|CSubFileComponent_FinalConstruct
FUN_100077f0|CSubFileComponent_ReadFile
FUN_10007b50|CSubFileComponent_WriteFile
FUN_10007fcb|CSubFileComponent_ReadFileDescription
FUN_100081fb|CSubFileComponent_VerifyFile
FUN_10008411|CSubFileComponent_ReadFileVersion
FUN_10008760|CSubFileComponent_get_FileExtensions
FUN_10008950|CSubFileComponent_get_FileDescription
FUN_10008af0|CSubFileComponent_get_FileVersion
FUN_10008cd0|CSubFileComponent_get_Description
FUN_10008e90|CSubFileComponent_get_Version
FUN_10009030|CSubFileComponent_get_CanRead
FUN_100091d0|CSubFileComponent_get_CanWrite
FUN_10009370|CSubFileComponent_get_Group
FUN_10009510|CSubFileComponent_put_Group
FUN_10009680|CSubFileComponent_GetCalHeader
FUN_10009920|CSubFileComponent_AppendCalHeader
FUN_10009af0|CSubFileComponent_ClearCalHeaders
FUN_10009c60|CSubFileComponent_get_CalHeaderCount
FUN_10009e00|CSubFileComponent_get_ImageCount
FUN_10009fa0|CSubFileComponent_get_CurrentImage
FUN_1000a11e|CSubFileComponent_SetCurrentImageByIndex
FUN_1000a360|CSubFileComponent_SetCurrentImageByLocation
FUN_1000a550|CSubFileComponent_ClearImages
FUN_1000a6e0|CSubFileComponent_GetImage
FUN_1000a910|CSubFileComponent_PutImage
FUN_1000af50|CSubFileComponent_AddImage
FUN_1000b4f2|CSubFileComponent_GetDataValues
FUN_1000b6b0|CSubFileComponent_WriteDataValues

