name,comment,memory_address,length,type,unit
"ConfigFile.ADROTHOD","REMOTE_THROTTLE_OVERRIDE~ENABLE/DISABLE","01000194","2","1","NONE"
"ConfigFile.ADPSSVOD","PROGRAMMING_PULSE_SV_OVERRIDE~ENABLE/DISABLE","01000196","2","1","NONE"
"ConfigFile.ADPPSVOR","PROGRAMMING PULSE SV OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B8","2","1","NONE"
"ConfigFile.ADPOTPOR","POWER STEERING TEMPERATURE OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B6","2","1","NONE"
"ConfigFile.ADPOTPOD","POWER_STEERING_TEMPERATURE_OVERRIDE~ENABLE/DISABLE","01000194","2","1","NONE"
"ConfigFile.ADOLPROD","OIL_PRESSURE_OVERRIDE~ENABLE/DISABLE","01000194","2","1","NONE"
"ConfigFile.ADOCSVOR","OP AMPS AND COMPARATORS SV OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B8","2","1","NONE"
"ConfigFile.ADOCSVOD","OP_AMPS_AND_COMPARATORS_SV_OVERRIDE~ENABLE/DISABLE","01000196","2","1","NONE"
"ConfigFile.ADO2DBEN","FLAG (B12 W 020H) OIL PR. HIGH ERROR DISABLE FEAT~1=ENABLED/0=DISABLED","010001CA","2","1","NONE"
"ConfigFile.ADMNFMOD","A/D OVERRIDE FOR MANUAL FAN LEVEL (REQUESTED % FAN SPEE~ENABLE/DISABLE","010001BC","2","1","HX"
"ConfigFile.ADIMTPOR","INTAKE MANIFOLD TEMPERATURE OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B6","2","1","NONE"
"ConfigFile.ADIMTPOD","INTAKE_MANIFOLD_TEMPERATURE_OVERRIDE~ENABLE/DISABLE","01000194","2","1","NONE"
"ConfigFile.ADHSSVOR","HIGH SIDE GATE BIAS SV OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B8","2","1","NONE"
"ConfigFile.ADHBSVOD","HIGH_SIDE_GATE_BIAS_SV_OVERRIDE~ENABLE/DISABLE","01000196","2","1","NONE"
"ConfigFile.ADFTSVOR","FREQUENCY THROTTLE INPUT SV OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B8","2","1","NONE"
"ConfigFile.ADFTSVOD","FREQUENCY_THROTTLE_INPUT_SV_OVERRIDE~ENABLE/DISABLE","01000196","2","1","NONE"
"ConfigFile.ADFLTPOD","FUEL_TEMPERATURE_OVERRIDE~ENABLE/DISABLE","01000194","2","1","NONE"
"ConfigFile.ADESSVOR","ENGINE SPEED SENSOR SV OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B6","2","1","NONE"
"ConfigFile.ADESSVOD","ENGINE_SPEED_SENSOR_SV_OVERRIDE~ENABLE/DISABLE","01000194","2","1","NONE"
"ConfigFile.ADEGCFOD","EGR_CURRENT_FEEDBACK_OVERRIDE~ENABLE/DISABLE","01000196","2","1","NONE"
"ConfigFile.ADEGCEOR","EGR CURRENT FEEDBACK OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B8","2","1","NONE"
"ConfigFile.ADECSVOR","ENGINE CONN SENSORS SV OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B8","2","1","NONE"
"ConfigFile.ADECSVOD","ENGINE SENSOR SV OVERRIDE~ENABLE/DISABLE","01000196","2","1","NONE"
"ConfigFile.ADCLTPOR","COOLANT TEMPERATURE OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B6","2","1","NONE"
"ConfigFile.ADCLTPOD","COOLANT_TEMPERATURE_OVERRIDE~ENABLE/DISABLE","01000194","2","1","NONE"
"ConfigFile.NLCLFLYA","COOLANT TEMPERATURE BASED FUEL ADJUSTMENT TO NO LOAD FUEL~0 - 100","00061236","2","5","MM3S"
"ConfigFile.ADCCSWOR","CRUISE CONTROL SWITCH MUX OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B8","2","1","NONE"
"ConfigFile.ADBTVTOR","BATTERY VOLTAGE OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B6","2","1","NONE"
