batch_id,variable_address,ref_count
0,0x008001a8,10
1,0x00800320,18
1,0x008092e2,10
1,0x0080ccf4,44
1,0x0080ccf6,128
1,0x0080d070,16
1,0x0080d0cd,11
1,0x0080d0d2,12
1,0x0080d0dc,10
1,0x0080d28c,22
1,0x0080d2b6,10
1,0x0080d32e,54
1,0x0080d330,40
1,0x0080d340,20
1,0x0080d346,28
1,0x0080d34a,14
2,0x00800353,10
2,0x00803cb8,30
2,0x00803cd4,12
2,0x00803d42,13
2,0x008049f8,10
2,0x008049fa,11
2,0x008049fc,34
2,0x00804a04,10
2,0x00805a24,18
2,0x00805a25,21
2,0x00806040,55
2,0x00806044,30
2,0x00806048,20
2,0x0080604e,96
2,0x00806050,64
3,0x00800504,10
4,0x00800534,21
4,0x00805994,10
4,0x00805996,17
4,0x00805998,13
4,0x0080599a,13
4,0x008067c6,35
4,0x008067c8,35
4,0x00806abc,24
4,0x00806abe,18
4,0x00806ac4,24
4,0x00808004,26
4,0x0080800a,21
4,0x00808158,20
4,0x0080a28c,10
4,0x0080a8f8,23
5,0x0080054c,27
5,0x00800550,17
5,0x00800552,13
5,0x00803cae,10
5,0x0080aa86,17
5,0x0080aa88,11
5,0x0080aa90,16
5,0x0080bcfb,13
5,0x0080bd08,15
5,0x0080bd09,17
5,0x0080bd38,26
5,0x0080d674,16
5,0x0080d676,14
5,0x0080da9c,16
5,0x0080db02,27
6,0x00800622,16
6,0x00800626,23
7,0x00800630,11
7,0x00803c94,28
7,0x00803c96,14
7,0x00803c98,30
7,0x00803c9a,22
7,0x00803c9e,11
7,0x00803cac,21
7,0x00803f40,24
7,0x00804f9e,13
7,0x00805302,12
7,0x008058ce,14
7,0x0080614e,23
7,0x00806ac0,15
7,0x0080a28e,10
7,0x0080aa84,20
8,0x00800658,18
9,0x0080068c,43
9,0x00800690,14
10,0x00800698,15
10,0x0080dec8,21
11,0x00800716,19
11,0x0080d626,21
11,0x0080d646,10
11,0x0080da50,40
11,0x0080da64,11
11,0x0080da70,14
11,0x0080da72,15
11,0x0080da76,21
11,0x0080da7e,10
11,0x0080da80,29
11,0x0080da84,11
11,0x0080da86,11
11,0x0080da8a,11
11,0x0080da8e,17
11,0x0080dae0,31
12,0x0080129a,13
12,0x008012c4,13
13,0x008019d0,23
13,0x008019d1,23
14,0x008019d6,16
14,0x008019d8,10
14,0x008019ea,13
14,0x008019ee,19
15,0x008019da,19
15,0x008019dc,28
16,0x008019f2,10
17,0x008019f4,16
17,0x008019f8,10
18,0x00801a18,15
19,0x00801a1a,15
20,0x00801a1e,12
21,0x00801c08,17
21,0x0080db1c,32
21,0x0080db5e,14
21,0x0080dc00,10
21,0x0080dc02,10
21,0x0080dc18,21
21,0x0080dde5,82
21,0x0080ddea,308
21,0x0080dded,99
21,0x0080ddee,12
21,0x0080ddf2,34
21,0x0080ddf6,30
21,0x0080ddf7,21
21,0x0080ddf8,28
21,0x0080ddfa,10
22,0x00801c66,13
22,0x0080dc6c,17
22,0x0080dc70,13
22,0x0080ddc2,25
22,0x0080ddd8,22
22,0x0080dde0,18
22,0x0080dde2,12
22,0x0080dde3,15
22,0x0080de1e,11
23,0x00801e2a,16
23,0x00801e2e,10
23,0x0080d9e4,38
23,0x0080d9ee,12
23,0x0080ded2,13
24,0x00803492,31
24,0x0080da01,39
25,0x0080356a,17
26,0x00803b9e,19
26,0x0080d644,26
27,0x00803caa,10
27,0x0080d9b6,18
27,0x0080d9ba,12
27,0x0080d9dc,23
27,0x0080d9f4,11
28,0x00803fe2,16
28,0x00803fe4,13
28,0x00803fe6,11
29,0x0080426e,13
30,0x00806052,44
31,0x00807e9d,11
31,0x0080a230,10
32,0x0080a9a2,10
33,0x0080a9a8,24
34,0x0080bca8,17
34,0x0080de22,29
34,0x0080de23,20
34,0x0080de24,30
34,0x0080de26,11
35,0x0080db5d,16
36,0x0080dc56,12
36,0x0080dc58,12
36,0x0080dc5e,12
37,0x0080dcb0,11
37,0x0080dcb3,18
37,0x0080dcba,10
38,0x0080de2e,10
