parameter,internal_name,address,size,unit,scale,description
ECM_Identifier,,0x01000000,2,HEX,1,Identifier of the ECM hardware type.
ECM_Part_Number,,0x01000100,4,HEX,1,Module Part Number
Boot_Loader_Date_Stamp,,0x01000200,6,HEX,1,Boot Loader release date
ROM_DATE,,0x01000200,6,HEX,1,Boot Loader release date
Calibration_Date_Stamp,,0x01000300,6,HEX,1,Calibration Release Date.
ECM_Run_Time,,0x01000400,4,SEC,0.2,Time key switch is on and ECM is running boot or application code
RUN_TIME,,0x01000400,4,SEC,0.2,Time key switch is on and ECM is running boot or application code
ECM_PSWD,,0x01000500,6,HEX,1.0,security master password
Master_Password,,0x01000500,6,HEX,1.0,security master password
Data_Plate,,0x01000600,352,HEX,1,"Part, serial number and code numbers for ECM"
Audit_Trail,,0x01000700,2,UNITLESS,1,multi byte service tool change tracking area
Adjustable_Parameters,,0x01000800,2,UNITLESS,1,service tool adjustable parameters
ACK_J2190,SIRSFG,0x0112960C,2,HEX,1.0,[SIRSFG] Non-volatile semephore to tell B/L to Unlock SCI.
AC_Clutch_To_Fuel_Delay,,0x018B3200,2,MSEC,20,Delay on updating AC_Fuel_Adjustment after AC_Discrete_Outpu ON.
AC_Control_Configuration,,0x018A1404,2,UNITLESS,1.0,"Defines which AC control algorithm runs; 0=BR truck, 1=DR truck"
AC_Control_Enable,,0x01106B52,2,UNITLESS,8,Enables AC control
AC_Coolant_Off_Chime,,0x018B1802,2,UNITLESS,1,AC Coolant Temp Off; FALSE to TRUE turns cluster chime ON
AC_Coolant_Off_Chime_Count,,0x018B2D06,2,UNITLESS,1,Number of chimes to sound for AC COOLANT Off condition
AC_Cutout_Status,,0x018B1800,1,UNITLESS,1F,Indicates cause of last ac driver off conditon
AC_Cutout_Status,,0x018B1800,1,UNITLESS,1F,Indicates cause of last ac driver off conditon
AC_Cycle_Off_Time,,0x018A1406,2,SEC,0.1,Minimum amount of time ac driver will be in off state
AC_Cycle_On_Time,,0x018A1408,2,SEC,0.1,AC driver can be turned on once every AC_Cycle_On_Time seconds
AC_Denied_Status,,0x018B1801,1,UNITLESS,1F,Indicates cause of that ac driver if off
AC_Denied_Status,,0x018B1801,1,UNITLESS,1F,Indicates cause of that ac driver if off
AC_Diagnostics_Enable,,0x01106B52,2,UNITLESS,10,Enables AC control
AC_Discrete_Output,,0x01157704,1,UNITLESS,0040,Desired state of the AC_Discrete_Output output driver.
AC_Discrete_Output_Feedback,,0x01161200,1,UNITLESS,0040,Desired state of the AC_Discrete_Output_Feedback output driver.
AC_Discrete_Output_Feedback_Global_Default,,0x01157100,1,UNITLESS,0040,AC_Discrete_Output_Feedback feedback global default value.
AC_Discrete_Output_Feedback_Inversion,,0x01157200,1,UNITLESS,0040,Indicates activation of AC_Discrete_Output_Feedback is inverted logic.
AC_Discrete_Output_Feedback_Is_Refreshed,,0x01156100,1,UNITLESS,0040,Indicates whether AC_Discrete_Output_Feedback data is fresh.
AC_Discrete_Output_Feedback_Map,,0x0115730C,2,UNITLESS,1.0,Hardware resource assignment for AC_Discrete_Output_Feedback.
AC_Discrete_Output_Feedback_Priority,,0x0112A806,1,UNITLESS,1.0,Current override priority for AC_Discrete_Output_Feedback.
AC_Discrete_Output_Feedback_Raw,,0x01157400,1,UNITLESS,0040,AC_Discrete_Output_Feedback before debounce after invert.
AC_Discrete_Output_Feedback_User_Override,,0x01157500,1,UNITLESS,0040,Enable flag which override of AC_Discrete_Output_Feedback.
AC_Discrete_Output_Feedback_User_Value,,0x01157600,1,UNITLESS,0040,User override value for AC_Discrete_Output_Feedback.
AC_Discrete_Output_High_Control_Error,,0x0110362E,2,UNITLESS,0008,Set true if AC_Discrete_Output is shorted to battery.
AC_Discrete_Output_Inversion,,0x01157804,1,UNITLESS,0040,Indicates activation of AC_Discrete_Output is inverted logic.
AC_Discrete_Output_Low_Control_Error,,0x0110362E,2,UNITLESS,0010,Set true if AC_Discrete_Output is shorted to battery.
AC_Discrete_Output_Map,,0x0115794C,2,UNITLESS,1.0,Hardware resource assignment for AC_Discrete_Output.
AC_Discrete_Output_Override,,0x018B5B04,1,UNITLESS,1,AC_Discrete_Output override enable/disable
AC_Discrete_Output_Override_N,,0x018B5B04,1,UNITLESS,1,AC_Discrete_Output override enable/disable
AC_Discrete_Output_PWM_Control_Status,,0x01156902,2,UNITLESS,0001,AC_Discrete_Output_PWM OS control error status flag
AC_Discrete_Output_PWM_Duty_Cycle,,0x01151C20,2,%,0.00390625,AC_Discrete_Output_PWM duty cycle for monitoring.
AC_Discrete_Output_PWM_Map,,0x01156520,2,UNITLESS,1.0,AC_Discrete_Output_PWM mapping index to HW channel
AC_Discrete_Output_PWM_Period,,0x01152740,4,uSEC,1.0,AC_Discrete_Output_PWM period in us for monitoring.
AC_Discrete_Output_Previous_Command,,0x01157A04,1,UNITLESS,0040,AC_Discrete_Output previous ON/OFF software command.
AC_Discrete_Output_Priority,,0x0112A726,1,UNITLESS,1.0,Current override priority for AC_Discrete_Output.
AC_Discrete_Output_User_Value,,0x018B5B05,1,UNITLESS,1,AC_Discrete_Output override value
AC_Discrete_Output_User_Value_N,,0x018B5B05,1,UNITLESS,1,AC_Discrete_Output override value
AC_Fuel_Adjust_Table,,0x018B3400,2,MM3S,0.06793478400,A/C output ON and engine speed fuel adjustment to no load fuel
AC_Fuel_Adjustment,,0x01109C08,2,MM3S,0.06793478400,Friction fuel adjustment due to A/C clutch engagement.
AC_Fuel_RPM_Bkpt,,0x018B3300,2,RPM,0.125000,A/C engine RPM adjustment for engine no load fuel
AC_High_Coolant_Off,,0x018A140A,2,DEG_F,0.015625,"If Coolant temp greater than this value, ac driver will be turned off"
AC_High_Coolant_On,,0x018A140C,2,DEG_F,0.015625,"If Coolant temp less than this value, ac driver can be turned on"
AC_High_Pressure_Off,,0x018A140E,2,PSI,0.0078125,"If AC_Pressure greater than this value, ac driver will be turned off"
AC_High_Pressure_On,,0x018A1410,2,PSI,0.0078125,"If AC_Pressure less than this value, ac driver can be turned on"
AC_High_RPM_Off,,0x018A1412,2,RPM,0.125,"If RPM greater than this value, ac driver will be turned off"
AC_High_RPM_On,,0x018A1414,2,RPM,0.125,"If RPM less than this value, ac driver can be turned on"
AC_Low_Pressure_Off,,0x018A1416,2,PSI,0.0078125,"If AC_Pressure less than this value, ac driver will be turned off"
AC_Low_Pressure_On,,0x018A1418,2,PSI,0.0078125,"If AC_Pressure greater than this value, ac driver can be turned on"
