address,name,type,comment
0x01000000,ecm_identifier,u16,ECM_Identifier - Identifier of the ECM hardware type.
0x01000100,ecm_part_number,u32,ECM_Part_Number - Module Part Number
0x01000200,boot_loader_date_stamp,byte[6],Boot_Loader_Date_Stamp - Boot Loader release date
0x01000200,rom_date,byte[6],ROM_DATE - Boot Loader release date
0x01000300,calibration_date_stamp,byte[6],Calibration_Date_Stamp - Calibration Release Date.
0x01000400,ecm_run_time,u32,ECM_Run_Time [SEC] - Time key switch is on and ECM is running boot or application code
0x01000400,run_time,u32,RUN_TIME [SEC] - Time key switch is on and ECM is running boot or application code
0x01000500,ecm_pswd,byte[6],ECM_PSWD - security master password
0x01000500,master_password,byte[6],Master_Password - security master password
0x01000600,data_plate,byte[352],"Data_Plate - Part, serial number and code numbers for ECM"
0x01000700,audit_trail,u16,Audit_Trail - multi byte service tool change tracking area
0x01000800,adjustable_parameters,u16,Adjustable_Parameters - service tool adjustable parameters
0x0112960C,sirsfg,u16,ACK_J2190 - [SIRSFG] Non-volatile semephore to tell B/L to Unlock SCI.
0x018B3200,ac_clutch_to_fuel_delay,u16,AC_Clutch_To_Fuel_Delay [MSEC] - Delay on updating AC_Fuel_Adjustment after AC_Discrete_Outpu ON.
0x018A1404,ac_control_configuration,u16,"AC_Control_Configuration - Defines which AC control algorithm runs; 0=BR truck, 1=DR truck"
0x01106B52,ac_control_enable,u16,AC_Control_Enable - Enables AC control
0x018B1802,ac_coolant_off_chime,u16,AC_Coolant_Off_Chime - AC Coolant Temp Off; FALSE to TRUE turns cluster chime ON
0x018B2D06,ac_coolant_off_chime_count,u16,AC_Coolant_Off_Chime_Count - Number of chimes to sound for AC COOLANT Off condition
0x018B1800,ac_cutout_status,u8,AC_Cutout_Status - Indicates cause of last ac driver off conditon
0x018B1800,ac_cutout_status,u8,AC_Cutout_Status - Indicates cause of last ac driver off conditon
0x018A1406,ac_cycle_off_time,u16,AC_Cycle_Off_Time [SEC] - Minimum amount of time ac driver will be in off state
0x018A1408,ac_cycle_on_time,u16,AC_Cycle_On_Time [SEC] - AC driver can be turned on once every AC_Cycle_On_Time seconds
0x018B1801,ac_denied_status,u8,AC_Denied_Status - Indicates cause of that ac driver if off
0x018B1801,ac_denied_status,u8,AC_Denied_Status - Indicates cause of that ac driver if off
0x01106B52,ac_diagnostics_enable,u16,AC_Diagnostics_Enable - Enables AC control
0x01157704,ac_discrete_output,u8,AC_Discrete_Output - Desired state of the AC_Discrete_Output output driver.
0x01161200,ac_discrete_output_feedback,u8,AC_Discrete_Output_Feedback - Desired state of the AC_Discrete_Output_Feedback output driver.
0x01157100,ac_discrete_output_feedback_global_default,u8,AC_Discrete_Output_Feedback_Global_Default - AC_Discrete_Output_Feedback feedback global default value.
0x01157200,ac_discrete_output_feedback_inversion,u8,AC_Discrete_Output_Feedback_Inversion - Indicates activation of AC_Discrete_Output_Feedback is inverted logic.
0x01156100,ac_discrete_output_feedback_is_refreshed,u8,AC_Discrete_Output_Feedback_Is_Refreshed - Indicates whether AC_Discrete_Output_Feedback data is fresh.
0x0115730C,ac_discrete_output_feedback_map,u16,AC_Discrete_Output_Feedback_Map - Hardware resource assignment for AC_Discrete_Output_Feedback.
0x0112A806,ac_discrete_output_feedback_priority,u8,AC_Discrete_Output_Feedback_Priority - Current override priority for AC_Discrete_Output_Feedback.
0x01157400,ac_discrete_output_feedback_raw,u8,AC_Discrete_Output_Feedback_Raw - AC_Discrete_Output_Feedback before debounce after invert.
0x01157500,ac_discrete_output_feedback_user_override,u8,AC_Discrete_Output_Feedback_User_Override - Enable flag which override of AC_Discrete_Output_Feedback.
0x01157600,ac_discrete_output_feedback_user_value,u8,AC_Discrete_Output_Feedback_User_Value - User override value for AC_Discrete_Output_Feedback.
0x0110362E,ac_discrete_output_high_control_error,u16,AC_Discrete_Output_High_Control_Error - Set true if AC_Discrete_Output is shorted to battery.
0x01157804,ac_discrete_output_inversion,u8,AC_Discrete_Output_Inversion - Indicates activation of AC_Discrete_Output is inverted logic.
0x0110362E,ac_discrete_output_low_control_error,u16,AC_Discrete_Output_Low_Control_Error - Set true if AC_Discrete_Output is shorted to battery.
0x0115794C,ac_discrete_output_map,u16,AC_Discrete_Output_Map - Hardware resource assignment for AC_Discrete_Output.
0x018B5B04,ac_discrete_output_override,u8,AC_Discrete_Output_Override - AC_Discrete_Output override enable/disable
0x018B5B04,ac_discrete_output_override_n,u8,AC_Discrete_Output_Override_N - AC_Discrete_Output override enable/disable
0x01156902,ac_discrete_output_pwm_control_status,u16,AC_Discrete_Output_PWM_Control_Status - AC_Discrete_Output_PWM OS control error status flag
0x01151C20,ac_discrete_output_pwm_duty_cycle,u16,AC_Discrete_Output_PWM_Duty_Cycle [%] - AC_Discrete_Output_PWM duty cycle for monitoring.
0x01156520,ac_discrete_output_pwm_map,u16,AC_Discrete_Output_PWM_Map - AC_Discrete_Output_PWM mapping index to HW channel
0x01152740,ac_discrete_output_pwm_period,u32,AC_Discrete_Output_PWM_Period [uSEC] - AC_Discrete_Output_PWM period in us for monitoring.
0x01157A04,ac_discrete_output_previous_command,u8,AC_Discrete_Output_Previous_Command - AC_Discrete_Output previous ON/OFF software command.
0x0112A726,ac_discrete_output_priority,u8,AC_Discrete_Output_Priority - Current override priority for AC_Discrete_Output.
0x018B5B05,ac_discrete_output_user_value,u8,AC_Discrete_Output_User_Value - AC_Discrete_Output override value
0x018B5B05,ac_discrete_output_user_value_n,u8,AC_Discrete_Output_User_Value_N - AC_Discrete_Output override value
0x018B3400,ac_fuel_adjust_table,u16,AC_Fuel_Adjust_Table [MM3S] - A/C output ON and engine speed fuel adjustment to no load fuel
0x01109C08,ac_fuel_adjustment,u16,AC_Fuel_Adjustment [MM3S] - Friction fuel adjustment due to A/C clutch engagement.
0x018B3300,ac_fuel_rpm_bkpt,u16,AC_Fuel_RPM_Bkpt [RPM] - A/C engine RPM adjustment for engine no load fuel
0x018A140A,ac_high_coolant_off,i16,"AC_High_Coolant_Off [DEG_F] - If Coolant temp greater than this value, ac driver will be turned off"
0x018A140C,ac_high_coolant_on,i16,"AC_High_Coolant_On [DEG_F] - If Coolant temp less than this value, ac driver can be turned on"
0x018A140E,ac_high_pressure_off,u16,"AC_High_Pressure_Off [PSI] - If AC_Pressure greater than this value, ac driver will be turned off"
0x018A1410,ac_high_pressure_on,u16,"AC_High_Pressure_On [PSI] - If AC_Pressure less than this value, ac driver can be turned on"
0x018A1412,ac_high_rpm_off,u16,"AC_High_RPM_Off [RPM] - If RPM greater than this value, ac driver will be turned off"
0x018A1414,ac_high_rpm_on,u16,"AC_High_RPM_On [RPM] - If RPM less than this value, ac driver can be turned on"
0x018A1416,ac_low_pressure_off,u16,"AC_Low_Pressure_Off [PSI] - If AC_Pressure less than this value, ac driver will be turned off"
0x018A1418,ac_low_pressure_on,u16,"AC_Low_Pressure_On [PSI] - If AC_Pressure greater than this value, ac driver can be turned on"
0x018A141A,ac_low_rpm_off,u16,"AC_Low_RPM_Off [RPM] - If RPM less than this value, ac driver will be turned off"
0x018A141C,ac_low_rpm_on,u16,"AC_Low_RPM_On [RPM] - If RPM greater than this value, ac driver can be turned on"
0x018A141E,ac_low_rpm_on_time,u16,AC_Low_RPM_On_Time [SEC] - AC driver can be turned on if RPM>AC_Low_RPM_On for AC_Low_RPM_On_Time
0x01161201,ac_on_off_switch,u8,AC_On_Off_Switch - Desired state of the AC_On_Off_Switch output driver.
0x01157101,ac_on_off_switch_global_default,u8,AC_On_Off_Switch_Global_Default - AC_On_Off_Switch feedback global default value.
0x01157201,ac_on_off_switch_inversion,u8,AC_On_Off_Switch_Inversion - Indicates activation of AC_On_Off_Switch is inverted logic.
0x01156101,ac_on_off_switch_is_refreshed,u8,AC_On_Off_Switch_Is_Refreshed - Indicates whether AC_On_Off_Switch data is fresh.
0x0115731A,ac_on_off_switch_map,u16,AC_On_Off_Switch_Map - Hardware resource assignment for AC_On_Off_Switch.
0x0112A80D,ac_on_off_switch_priority,u8,AC_On_Off_Switch_Priority - Current override priority for AC_On_Off_Switch.
0x01157401,ac_on_off_switch_raw,u8,AC_On_Off_Switch_Raw - AC_On_Off_Switch before debounce after invert.
0x01157501,ac_on_off_switch_user_override,u8,AC_On_Off_Switch_User_Override - Enable flag which override of AC_On_Off_Switch.
0x01157601,ac_on_off_switch_user_value,u8,AC_On_Off_Switch_User_Value - User override value for AC_On_Off_Switch.
0x01196656,ac_press_default,u16,AC_Press_Default [PSI] - Air Conditioner pressure AD global default value (in PSI)
0x01196654,ac_press_sensor,u16,AC_Press_Sensor [PSI] - Air Conditioner pressure value linearized and filtered (in PSI)
0x0119632A,ac_press_status,u16,AC_Press_Status - Transmission Governor Press Status
0x0119632A,ac_press_status,u16,AC_Press_Status - Transmission Governor Press Status
0x0115158E,ac_pressure,u16,AC_Pressure [PSI] - AC_Pressure raw value linearized and filtered
0x01153208,ac_pressure_ad_enable,u16,AC_Pressure_AD_Enable - Enable bit for the AC_Pressure sensor.
0x018A530E,ac_pressure_fault_clear,u16,AC_Pressure_Fault_Clear [CNTS] - AC_Pressure_Fault_Count when error cleared
0x018A5404,ac_pressure_fault_count,u16,AC_Pressure_Fault_Count [CNTS] - AC_Pressure out of range error count
0x018A530A,ac_pressure_fault_decrement,u16,AC_Pressure_Fault_Decrement [CNTS] - AC_Pressure decrement value for setting error
0x018A5308,ac_pressure_fault_increment,u16,AC_Pressure_Fault_Increment [CNTS] - AC_Pressure increment value for setting error
0x018A530C,ac_pressure_fault_set,u16,AC_Pressure_Fault_Set [CNTS] - AC_Pressure_Fault_Count when error set
0x018A5300,ac_pressure_filter_constant,u16,AC_Pressure_Filter_Constant - AC_Pressure AD Filter Constant
0x018A5302,ac_pressure_global_default,u16,AC_Pressure_Global_Default [PSI] - AC_Pressure AD global default value
0x01103630,ac_pressure_high_error,u16,AC_Pressure_High_Error - AC_Pressure High Error Indication
0x018A5304,ac_pressure_high_limit,u16,AC_Pressure_High_Limit [CNTS] - AC_Pressure high limit for the raw value
