enum_name,value,member_name,comment,size
# J1939 PGN Numbers (lower 16 bits) - transferred from CM550 analysis
J1939_PGN_LOWER,0xfef1,PGN_65265_CRUISE_VEHICLE_SPEED,Cruise Control/Vehicle Speed (CCVS),2
J1939_PGN_LOWER,0xfecc,PGN_65228_DM3_CLEAR_DIAG,Diagnostic Message 3 - Clear Diagnostics,2
J1939_PGN_LOWER,0xfeca,PGN_65226_DM1_ACTIVE_DTC,Diagnostic Message 1 - Active DTCs,2
J1939_PGN_LOWER,0xfecb,PGN_65227_DM2_PREVIOUS_DTC,Diagnostic Message 2 - Previous DTCs,2
J1939_PGN_LOWER,0xfecd,PGN_65229_DM4_FREEZE_FRAME,Diagnostic Message 4 - Freeze Frame,2
J1939_PGN_LOWER,0xfece,PGN_65230_DM5_READINESS,Diagnostic Message 5 - Readiness,2
J1939_PGN_LOWER,0xfed2,PGN_65234_DM11_CLEAR_ACTIVE,Diagnostic Message 11 - Clear Active,2
J1939_PGN_LOWER,0xfeed,PGN_65261_ENGINE_HOURS,Engine Hours/Revolutions,2
J1939_PGN_LOWER,0xfeef,PGN_65263_FLUID_LEVEL_PRESSURE,Engine Fluid Level/Pressure,2
J1939_PGN_LOWER,0xfef0,PGN_65264_PTO,Power Takeoff Information,2
J1939_PGN_LOWER,0xfef5,PGN_65269_AMBIENT_CONDITIONS,Ambient Conditions,2
J1939_PGN_LOWER,0xfef6,PGN_65270_FUEL_ECONOMY,Fuel Economy,2
J1939_PGN_LOWER,0xfef7,PGN_65271_VEHICLE_ELECTRICAL,Vehicle Electrical Power,2
J1939_PGN_LOWER,0xffe0,PGN_65504_PROPRIETARY_A,Proprietary A Message,2
J1939_PGN_LOWER,0xfeeb,PGN_65259_COMPONENT_ID,Component Identification,2
J1939_PGN_LOWER,0xfeee,PGN_65262_ENGINE_TEMP,Engine Temperature,2
J1939_PGN_LOWER,0xfeda,PGN_65242_SOFTWARE_ID,Software Identification,2
J1939_PGN_LOWER,0xfee0,PGN_65248_VEHICLE_DISTANCE,Vehicle Distance,2
J1939_PGN_LOWER,0xfeec,PGN_65260_VEHICLE_ID,Vehicle Identification,2
J1939_PGN_LOWER,0xf003,PGN_61443_EEC2,Electronic Engine Controller 2,2
# EEPROM Magic Values
EEPROM_MAGIC,0x600d,VALID_MARKER,EEPROM contains valid calibration data,2
EEPROM_MAGIC,0x2b16,NEEDS_PROGRAMMING,EEPROM needs calibration programming,2
EEPROM_MAGIC,0x1d0a,FLASH_MODE_MARKER,Flash programming mode marker,2
# Diagnostic Protocol Service IDs (CalTerm/Insite) - same as CM550
DIAG_SERVICE_ID,3,SECURED_WRITE,Secured write operations (requires security check),1
DIAG_SERVICE_ID,4,SYSTEM_CONTROL,System control operations,1
DIAG_SERVICE_ID,5,MEMORY_ACCESS,Memory read/write operations,1
DIAG_SERVICE_ID,6,SPECIAL_CONTROL,Special timing/control functions,1
# Filter Coefficient Init Value
FILTER_INIT,2,COEFFICIENT_INIT,Standard filter coefficient initialization value,2
# Protection System State Machine (_protection_system_state values)
PROTECTION_STATE,1,PROTECTION_LEVEL_1,First protection threshold level (warning),2
PROTECTION_STATE,2,PROTECTION_LEVEL_2,Second protection threshold level (derate),2
PROTECTION_STATE,3,PROTECTION_SHUTDOWN,Shutdown protection level,2
# Protection Status Codes (_protection_status_code values)
PROTECTION_STATUS_CODE,0x05,STATUS_SENSOR_FAULT,Sensor fault condition detected,1
PROTECTION_STATUS_CODE,0x0B,STATUS_TEMP_DERATE,Temperature derate active,1
PROTECTION_STATUS_CODE,0x10,STATUS_SHUTDOWN,Shutdown level reached,1
PROTECTION_STATUS_CODE,0x11,STATUS_LEVEL_2_ACTIVE,Level 2 protection active,1
PROTECTION_STATUS_CODE,0x12,STATUS_LEVEL_1_ACTIVE,Level 1 protection active,1
# Protection Flag Bits (protection_flags bitmap)
PROTECTION_FLAGS,0x80,FLAG_STATE1_EXCEEDED,State 1 threshold exceeded,1
PROTECTION_FLAGS,0x40,FLAG_STATE2_EXCEEDED,State 2 threshold exceeded,1
PROTECTION_FLAGS,0x20,FLAG_WARNING_THRESHOLD,Warning threshold crossed,1
PROTECTION_FLAGS,0x10,FLAG_DERATE_ACTIVE,Derate condition active,1
PROTECTION_FLAGS,0x08,FLAG_CONDITION_CHECK,Condition check flag,1
# Protection Override Mode (DAT_0040b4ff values)
PROTECTION_OVERRIDE,0x7e,OVERRIDE_ACTIVE_126,Protection override mode active (~),1
PROTECTION_OVERRIDE,0x7f,OVERRIDE_ACTIVE_127,Protection override mode active (DEL),1
# Engine Operating Mode State Machine (engine_operating_mode values)
ENGINE_OPERATING_MODE,0x00,MODE_STOP,Engine stopped / key on state,2
ENGINE_OPERATING_MODE,0x02,MODE_TRANSITION,Engine state transition,2
ENGINE_OPERATING_MODE,0x07,MODE_RUN,Engine running / normal operation,2
ENGINE_OPERATING_MODE,0x1e,MODE_CRANK,Engine cranking / starting (30 decimal),2
ENGINE_OPERATING_MODE,0x25,MODE_SHUTDOWN,Engine shutdown sequence (37 decimal),2
