address,name,type,comment
0x00003c30,calibration_rom_start,dword,
0x00007f60,calibration_rom_end,byte,
0x00007f7b,eepromStatusHandler_ptr0,pointer,
0x00007f80,PTR_FUN_00007f80,byte,
0x00008104,PTR_DAT_00008104,pointer,
0x0000810e,systemStartupInit_ptr,pointer,
0x0000811a,PTR_DAT_0000811a,pointer,
0x00008600,BYTE_00008600,byte,
0x00008980,BYTE_00008980,byte,
0x00008b0a,BYTE_00008b0a,byte,
0x00008c00,BYTE_00008c00,byte,
0x00009c8a,BYTE_00009c8a,byte,
0x0000a002,BYTE_0000a002,byte,
0x0000ac3a,BYTE_0000ac3a,byte,
0x0000b756,PTR_DAT_0000b756,pointer,
0x0000b75a,PTR_DAT_0000b75a,pointer,
0x0000b760,DWORD_0000b760,dword,
0x0000e748,initFuelPressureVariables,undefined,
0x0000e8ac,initTemperatureTrimTableSizes,undefined,
0x0001083c,updateTurboModeState,undefined,
0x00010ed0,initTurboRatioVariables,undefined,
0x00011324,initLoadAdjustmentTableSizes,undefined,
0x00011924,initLoadGainVariables,undefined,
0x0001233c,initTurboCompensationVariables,undefined,
0x000130ac,initManifoldPressureFilter,undefined,
0x0001350c,initFuelDemandFilterState,undefined,
0x00013ca4,initBoostProtectionState,undefined,
0x00014080,initThrottleFilterState,undefined,
0x000144d0,initFuelLimitTableSizes,undefined,
0x00016888,initFuelDemandTablePointers,undefined,
0x00016ffc,initFuelTimingTablePointers,undefined,
0x00017e54,initFuelFlowRateVariables,undefined,
0x0001806c,emptyStubFunction3,undefined,
0x00018afc,initFaultProtectionVariables,undefined,
0x0001956c,processSensorValidation,undefined,
0x0001b35c,initFaultTimingVariables,undefined,
0x0001e4d8,clearFuelDemandFlag,undefined,
0x00022c86,PTR_DAT_00022c86,pointer,
0x00022f1c,accept_tsc1_command,,
0x00028b8c,clearGovernorFilterAccumulators,undefined,
0x0002a2b4,resetSensorDeviationTracking,undefined,
0x0002c9bc,initFuelControlModeVariables,undefined,
0x0002e9c8,clearFaultStatusCounters,undefined,
0x000331cc,initProtectionFilterVariables,undefined,
0x00035518,copySensorValuesToBuffer,undefined,
0x00035f14,initSensorCalibrationTables,undefined,
0x0003744c,initFuelDemandOffsetFilter,undefined,
0x00038a98,initProtectionFilterLimits,undefined,
0x0003ca90,initFuelDemandFilterPointers,undefined,
0x0003cf40,initFuelDemandTrackingState,undefined,
0x0003d5fc,initFuelDemandLimits,undefined,
0x0003dd88,clearEngineConditionCounter,undefined,
0x0003e400,initTorqueLimitState,undefined,
0x0003e520,initTorqueCurveState,undefined,
0x0003e578,clearFuelDemandState,undefined,
0x0003eca4,initThermalProtectionFilters,undefined,
0x0003f6fc,resetEngineLoadTracker,undefined,
0x0003fad4,initTpuBConfiguration,undefined,
0x00040d40,initFuelRateFromCapability,undefined,
0x00043d68,clearTimingCalibrationData,undefined,
0x00046cf8,initFuelFilterStates,undefined,
0x00047784,clearTimingDataAndFilters,undefined,
0x0004ce78,initSensorRetryCounters,undefined,
0x00053c60,emptyStub3,undefined,
0x00053c64,emptyStub4,undefined,
0x000575bc,PTR_DAT_000575bc,pointer,
0x0005762e,PTR_DAT_0005762e,pointer,
0x00057632,PTR_DAT_00057632,pointer,
0x00057636,j1939_pgn_lookup_ptr,byte,
0x00057638,j1939_message_def_ptr,byte,
0x0005763a,PTR_DAT_0005763a,pointer,
0x0005763e,BYTE_0005763e,byte,
0x00057642,BYTE_00057642,byte,
0x00057646,BYTE_00057646,byte,
0x0005764a,PTR_DAT_0005764a,pointer,
0x0005764e,PTR_DAT_0005764e,pointer,
0x00057652,BYTE_00057652,byte,
0x00057656,BYTE_00057656,byte,
0x00057694,calibration_constant_1,word,
0x00057730,PTR_LAB_00057730,undefined *,
0x0005774f,BYTE_0005774f,byte,
0x00057753,PTR_DAT_00057753,pointer,
0x00057759,DWORD_00057759,dword,
0x0005775f,PTR_DAT_0005775f,pointer,
0x00057763,j1939_pgn_table_ptr,dword,
0x00057775,DWORD_00057775,dword,
0x000578ef,calibration_byte_param,byte,
0x000578f3,DWORD_000578f3,dword,
0x000578f7,PTR_DAT_000578f7,pointer,
0x000578fd,DWORD_000578fd,dword,
0x00057903,PTR_DAT_00057903,pointer,
0x00057907,fault_code_table_ptr,dword,
0x00057919,DWORD_00057919,dword,
0x00057d76,calibration_table_ptr_3,byte,
0x00057dd2,DWORD_00057dd2,dword,
0x000582da,tpuChannelHandler_ptr0,byte,
0x000582de,PTR_FUN_000582de,dword,
0x000583ae,tpuBChannelHandler_ptr0,byte,
0x000583b2,PTR_SUB_0050f680_000583b2,dword,
0x000583ee,tpuAChannelHandler_ptr0,byte,
0x000592a4,oil_pressure_baseline_ref,word,
0x00059b32,BYTE_00059b32,byte,
0x00059e9c,fault_definition_table,byte,
0x00059e9e,fault_entry_flags,byte,
0x00059ece,fault_entry_config,byte,
0x0005a150,BYTE_0005a150,byte,
0x0005a77c,calibration_table_base,undefined,
0x0005a790,calibration_table_offset,byte,
0x0005acb8,BYTE_0005acb8,byte,
0x0005b16e,u__0005b16e,,
0x0005c306,timing_limit_lower,word,
0x0005c30c,timing_limit_upper,word,
0x0005c398,fault_severity_table_ptr,word,
0x0005c7c0,PTR_PTR_0005c7c0,byte,
0x00062f08,BYTE_00062f08,byte,
0x00062f2a,BYTE_00062f2a,byte,
0x0006384c,BYTE_0006384c,byte,
0x0006386e,BYTE_0006386e,byte,
0x0006432e,protection_threshold_high,,
0x000645b6,BYTE_000645b6,byte,
0x000645c4,fault_table_entry_5,byte,
0x000645f0,fault_table_entry_6,byte,
0x002fc000,USIU_SIUMCR,dword,
0x002fc004,USIU_SYPCR,dword,
0x002fc00e,USIU_SWSR,word,
0x002fc010,USIU_SIPEND,dword,
0x002fc014,scheduler_task_enable_flags,undefined,
0x002fc018,scheduler_task_pending_flags,undefined,
0x002fc01c,USIU_SIVEC,dword,
0x002fc020,USIU_TESR,dword,
0x002fc024,system_capability_flags,undefined,
0x002fc028,calibration_config_word,undefined,
0x002fc030,USIU_SGPIODT1,dword,
0x002fc034,USIU_SGPIODT2,dword,
0x002fc038,USIU_SGPIOCR,dword,
0x002fc03c,USIU_EMCR,dword,
0x002fc044,USIU_PDMCR,dword,
0x002fc100,USIU_BR0,dword,
0x002fc104,USIU_OR0,dword,
0x002fc108,USIU_BR1,dword,
0x002fc10c,USIU_OR1,dword,
0x002fc110,USIU_BR2,dword,
0x002fc114,USIU_OR2,dword,
0x002fc118,USIU_BR3,dword,
0x002fc11c,USIU_OR3,dword,
0x002fc240,mios_timer_reg,undefined,
0x002fc284,USIU_PLPRCR,dword,
0x002fc288,USIU_COLIR,word,
0x002fc28c,USIU_SCCR,dword,
0x002fc300,USIU_TBSCRK,dword,
0x002fc304,USIU_TBSCR,word,
0x002fc308,USIU_TBREF0K,dword,
0x002fc30c,USIU_TBREF0,word,
0x002fc310,USIU_TBREF1K,dword,
0x002fc314,USIU_TBREF1,word,
0x002fc340,USIU_PISCR,word,
0x002fc344,USIU_PITC,dword,
0x002fc348,USIU_PITR,dword,
0x002fc380,USIU_RTCSC,word,
0x002fc384,USIU_RTC,dword,
0x002fc388,USIU_RTSEC,dword,
0x002fc38c,USIU_RTCAL,dword,
0x002fc808,qadc_control_reg_1,undefined,
0x002fc848,qadc_result_buffer,undefined,
0x00302000,TPU3_TPUMCR,word,
0x00302002,qadc_a_mcr,undefined,
0x00302004,TPU3_DSCR,word,
0x00302006,qadc_a_test,undefined,
0x00302008,TPU3_TICR,word,
0x0030200a,qadc_a_portqa,undefined,
0x0030200c,TPU3_CFSR0,word,
0x0030200e,TPU3_CFSR1,word,
0x00302010,TPU3_CFSR2,word,
0x00302012,qadc_a_portqb,undefined,
0x00302014,TPU3_HSQR0,word,
0x00302016,TPU3_HSQR1,word,
0x00302017,TPU3_HSQR1+1,,
0x00302018,TPU3_HSRR0,word,
0x0030201a,TPU3_HSRR1,word,
0x0030201c,TPU3_CPR0,word,
0x0030201e,TPU3_CPR1,word,
0x00302020,TPU3_CISR,word,
0x00302100,TPU3_CH0_PARAM0,word,
0x00302110,TPU3_CH1_PARAM0,word,
0x00302120,TPU3_CH2_PARAM0,word,
0x00302130,TPU3_CH3_PARAM0,word,
0x00302140,TPU3_CH4_PARAM0,word,
0x00302150,TPU3_CH5_PARAM0,word,
0x00302160,TPU3_CH6_PARAM0,word,
0x00302170,TPU3_CH7_PARAM0,word,
0x00302180,TPU3_CH8_PARAM0,word,
0x00302190,TPU3_CH9_PARAM0,word,
0x003021a0,TPU3_CH10_PARAM0,word,
0x003021b0,TPU3_CH11_PARAM0,word,
0x003021c0,TPU3_CH12_PARAM0,word,
0x003021d0,TPU3_CH13_PARAM0,word,
0x003021e0,TPU3_CH14_PARAM0,word,
0x003021f0,TPU3_CH15_PARAM0,word,
0x003024c6,qadc_a_ccw_0,undefined,
0x003024ca,qadc_a_ccw_2,undefined,
0x003024ce,qadc_a_ccw_4,undefined,
0x003024d2,qadc_a_ccw_6,undefined,
0x00302510,can_mailbox_counter,undefined,
0x0030251c,qadc_a_rjurr,undefined,
0x0030252a,can_tx_status,undefined,
0x00302731,qadc_a_result_low,undefined,
0x00302877,qadc_a_result_high_1,undefined,
0x00302878,qadc_a_result_high_2,undefined,
0x0030287c,qadc_a_result_ch4,undefined,
0x0030288a,qadc_a_result_ch11,undefined,
0x003028a6,qadc_a_result_ch25,undefined,
0x003028ad,qadc_a_result_ch28,undefined,
0x003028b1,qadc_a_result_ch30,undefined,
0x00302903,qadc_a_queue_status_1,undefined,
0x00302907,qadc_a_queue_status_2,undefined,
0x00302909,qadc_a_queue_ptr,undefined,
0x0030290a,qadc_a_queue_count_1,undefined,
0x0030290b,qadc_a_queue_count_2,undefined,
0x00302911,qadc_a_queue_ctrl_1,undefined,
0x00302915,qadc_a_queue_ctrl_2,undefined,
0x0030291d,qadc_a_queue_ctrl_3,undefined,
0x00302925,qadc_a_pause_status,undefined,
0x00302926,qadc_a_pause_ctrl,undefined,
0x00302927,qadc_a_queue_flags,undefined,
0x00302929,qadc_a_queue_intr,undefined,
0x0030292a,qadc_a_ccw_idx,undefined,
0x0030292b,qadc_a_result_idx,undefined,
0x00302931,qadc_a_completion_flag,undefined,
0x003034a2,toucan_rx_buffer_status,undefined,
0x00304000,tpu_a_mcr,undefined,
0x00304008,tpu_a_dscr,undefined,
0x0030400a,tpu_a_dssr,undefined,
0x0030400c,tpu_a_ticr,undefined,
0x0030400e,tpu_a_cier,undefined,
0x00304010,tpu_a_cfsr0,undefined,
0x00304012,tpu_a_cfsr1,undefined,
0x00304014,tpu_a_cfsr2,undefined,
0x00304016,tpu_a_cfsr3,undefined,
0x00304018,tpu_a_hsqr0,undefined,
0x0030401a,tpu_a_hsqr1,undefined,
0x0030401c,tpu_a_hsrr0,undefined,
0x0030401e,tpu_a_hsrr1,undefined,
0x00304020,tpu_a_cpr0,undefined,
0x00304028,tpu_a_cpr1,undefined,
0x0030402a,tpu_a_cisr,undefined,
0x00304100,tpu_a_ch0_param0,undefined,
0x00304108,tpu_a_ch0_param4,undefined,
0x0030410c,tpu_a_ch1_param0,undefined,
0x00304110,tpu_a_ch1_param2,undefined,
0x0030411c,tpu_a_ch2_param0,undefined,
0x00304190,tpu_channel_control,undefined,
0x003041ce,tpu_a_ch_param_end,undefined,
0x00304400,tpu_b_mcr,undefined,
0x00304408,tpu_b_dscr,undefined,
0x0030440a,tpu_b_dssr,undefined,
0x0030440c,tpu_b_ticr,undefined,
0x0030440e,tpu_b_cier,undefined,
0x00304410,tpu_b_cfsr0,undefined,
0x00304412,tpu_b_cfsr1,undefined,
0x00304414,tpu_b_cfsr2,undefined,
0x00304416,tpu_b_cfsr3,undefined,
0x00304418,tpu_b_hsqr0,undefined,
0x0030441a,tpu_b_hsqr1,undefined,
0x0030441c,tpu_b_hsrr0,undefined,
0x0030441e,tpu_b_hsrr1,undefined,
0x00304420,tpu_b_cpr0,undefined,
0x00304428,tpu_b_cpr1,undefined,
0x0030442a,tpu_b_cisr,undefined,
0x00304500,tpu_b_mcr,undefined,
0x00304800,qadc_b_mcr,undefined,
0x00304802,QADC64A_TEST,word,
0x00304804,QADC64A_INTC,word,
0x00304806,QADC64A_PORTQA,byte,
0x00304807,QADC64A_PORTQB,byte,
0x00304808,QADC64A_DDRQA,byte,
0x00304809,QADC64A_DDRQB,byte,
0x0030480a,QADC64A_CCW,word,
0x0030480c,QADC64A_RJURR,word,
0x0030480e,QADC64A_LJSRR,word,
0x00304810,QADC64A_LJURR,word,
0x00304812,QADC64A_SR,word,
0x00304814,QADC64A_CCW_TBL,word,
0x00304a00,QADC64A_RESULT0,word,
0x00304a02,QADC64A_RESULT1,word,
0x00304a04,QADC64A_RESULT2,word,
0x00304a06,QADC64A_RESULT3,word,
0x00304a08,QADC64A_RESULT4,word,
0x00304a0a,QADC64A_RESULT5,word,
0x00304a0c,QADC64A_RESULT6,word,
0x00304a0e,QADC64A_RESULT7,word,
0x00304a10,QADC64A_RESULT8,word,
0x00304a12,QADC64A_RESULT9,word,
0x00304a14,QADC64A_RESULT10,word,
0x00304a16,QADC64A_RESULT11,word,
0x00304c00,QADC64B_MCR,word,
0x00304c02,QADC64B_TEST,word,
0x00304c04,QADC64B_INTC,word,
0x00304c06,QADC64B_PORTQA,byte,
0x00304c07,QADC64B_PORTQB,byte,
0x00304c08,QADC64B_DDRQA,byte,
0x00304c09,QADC64B_DDRQB,byte,
0x00304c12,QADC64B_SR,word,
0x00304e00,QADC64B_RESULT0,word,
0x00304e02,QADC64B_RESULT1,word,
0x00304e04,QADC64B_RESULT2,word,
0x00304e06,QADC64B_RESULT3,word,
0x00305000,QSMCM_MCR,word,
0x00305002,QSMCM_TEST,word,
0x00305004,qsmcm_sccr0,undefined,
0x00305006,QSMCM_IDSPI,word,
0x00305007,QSMCM_IDSPI+1,,
0x00305008,qsmcm_sccr1,undefined,
0x0030500a,qsmcm_scsr,undefined,
0x0030500c,qsmcm_scdr,undefined,
0x0030500e,qsmcm_qspi_portqs,undefined,
0x00305010,QSMCM_SPCR0,word,
0x00305012,QSMCM_SPCR1,word,
0x00305014,QSMCM_SPCR2,word,
0x00305015,qsmcm_qspi_ddqrs,,
0x00305016,QSMCM_SPCR3,byte,
0x00305017,QSMCM_SPSR,byte,
0x00305018,qsmcm_qspi_spcr0,undefined,
0x0030501a,eeprom_control_register,undefined,
0x0030501c,eeprom_status_register,undefined,
0x0030501f,qadc_queue_status,undefined,
0x00305020,QSMCM_SCC2R0,word,
0x00305022,QSMCM_SCC2R1,word,
0x00305024,QSMCM_SC2SR,word,
0x00305026,QSMCM_SC2DR,word,
0x00305030,QSMCM_COMD0,byte,
0x00305040,QSMCM_RECRAM0,word,
0x00305060,QSMCM_TRANRAM0,word,
0x00305180,eeprom_command_register,undefined,
0x00305182,eeprom_address_register,undefined,
0x00305184,eeprom_data_register,undefined,
0x003051c0,eeprom_timing_reg_0,undefined,
0x003051c1,eeprom_timing_reg_1,undefined,
0x003051c2,eeprom_timing_reg_2,undefined,
0x00306000,MIOS_MPWMSM0_PERR,word,
0x00306002,MIOS_MPWMSM0_PULR,word,
0x00306004,MIOS_MPWMSM0_CNTR,word,
0x00306006,mios_mcr,undefined,
0x00306008,MIOS_MPWMSM1_PERR,word,
0x0030600a,MIOS_MPWMSM1_PULR,word,
0x0030600c,MIOS_MPWMSM1_CNTR,word,
0x0030600e,mios_bigsm_mcr,undefined,
0x00306010,MIOS_MPWMSM2_PERR,word,
0x00306012,MIOS_MPWMSM2_PULR,word,
0x00306014,MIOS_MPWMSM2_CNTR,word,
0x00306016,mios_pwm_mcr,undefined,
0x00306018,MIOS_MPWMSM3_PERR,word,
0x0030601a,MIOS_MPWMSM3_PULR,word,
0x0030601c,MIOS_MPWMSM3_CNTR,word,
0x0030601e,mios_pwm_perioda,undefined,
0x00306020,MIOS_MMCSM6_CNT,word,
0x00306022,MIOS_MMCSM6_ML,word,
0x00306026,MIOS_MMCSM6_SCRD,word,
0x00306030,mios_mmcsm_cnt,undefined,
0x00306032,mios_mmcsm_ml,undefined,
0x00306036,mios_mmcsm_scrd,undefined,
0x00306058,MIOS_MDASM11_AR,word,
0x0030605a,MIOS_MDASM11_BR,word,
0x0030605e,MIOS_MDASM11_SCRD,word,
0x00306060,MIOS_MDASM12_AR,word,
0x00306062,MIOS_MDASM12_BR,word,
0x00306066,MIOS_MDASM12_SCRD,word,
0x00306068,MIOS_MDASM13_AR,word,
0x0030606a,MIOS_MDASM13_BR,word,
0x0030606e,MIOS_MDASM13_SCRD,word,
0x00306070,MIOS_MDASM14_AR,word,
0x00306072,MIOS_MDASM14_BR,word,
0x00306076,MIOS_MDASM14_SCRD,word,
0x00306078,MIOS_MDASM15_AR,word,
0x0030607a,MIOS_MDASM15_BR,word,
0x0030607e,mios_pwm_ch0_periodb,undefined,
0x00306080,MIOS_MDASM0_AR,word,
0x00306082,MIOS_MDASM0_BR,word,
0x00306086,mios_pwm_ch1_periodb,undefined,
0x00306088,MIOS_MDASM1_AR,word,
0x0030608a,MIOS_MDASM1_BR,word,
0x0030608e,mios_pwm_ch2_periodb,undefined,
0x00306090,MIOS_MDASM2_AR,word,
0x00306092,MIOS_MDASM2_BR,word,
0x00306096,mios_pwm_ch3_duty,undefined,
0x00306098,MIOS_MDASM3_AR,word,
0x0030609a,MIOS_MDASM3_BR,word,
0x0030609e,mios_pwm_ch4_duty,undefined,
0x003060d0,MIOS_MPIOSM_DR,word,
0x003060d2,MIOS_MPIOSM_DDR,word,
0x003060de,mios_dasm_ctrl,undefined,
0x003060e0,MIOS_MIOS1TPCR,word,
0x003060f0,MIOS_MCPSMSCR,word,
0x003060f2,MIOS_MIOS1SR0,word,
0x003060f4,MIOS_MIOS1SR1,word,
0x003060f6,mios_dasm_status,undefined,
0x003060f8,MIOS_MIOS1RPR,word,
0x003060fc,MIOS_MIOS1LVL,word,
0x00306100,mios_mpwm_mcr,undefined,
0x00306102,mios_mpwm_scr,undefined,
0x00307000,TOUCAN_A_MCR,word,
0x00307002,TOUCAN_A_TCR,word,
0x00307004,TOUCAN_A_CANICR,word,
0x00307006,TOUCAN_A_CANCTRL0,byte,
0x00307007,TOUCAN_A_CANCTRL1,byte,
0x00307008,TOUCAN_A_PRESDIV,byte,
0x00307009,TOUCAN_A_CANCTRL2,byte,
0x0030700c,TOUCAN_A_TIMER,word,
0x00307010,TOUCAN_A_RXGMSK_HI,word,
0x00307012,TOUCAN_A_RXGMSK_LO,word,
0x00307014,TOUCAN_A_RX14MSK_HI,word,
0x00307016,TOUCAN_A_RX14MSK_LO,word,
0x00307018,TOUCAN_A_RX15MSK_HI,word,
0x0030701a,TOUCAN_A_RX15MSK_LO,word,
0x00307020,TOUCAN_A_ESR,word,
0x00307022,TOUCAN_A_IMASK,word,
0x00307024,TOUCAN_A_IFLAG,word,
0x00307026,TOUCAN_A_RXECTR,byte,
0x00307027,TOUCAN_A_TXECTR,byte,
0x00307080,toucan_a_mcr,undefined,
0x00307082,TOUCAN_A_MB0_ID_HI,word,
0x00307084,TOUCAN_A_MB0_ID_LO,word,
0x00307086,TOUCAN_A_MB0_DATA0,word,
0x00307087,TOUCAN_A_MB0_DATA0+1,,
0x00307088,TOUCAN_A_MB0_DATA2,word,
0x00307089,TOUCAN_A_MB0_DATA2+1,,
0x0030708a,TOUCAN_A_MB0_DATA4,word,
0x0030708c,TOUCAN_A_MB0_DATA6,word,
0x003070a2,toucan_a_imask,undefined,
0x003070a4,can2_transmit_status,undefined,
0x00307400,TOUCAN_B_MCR,word,
0x00307402,TOUCAN_B_TCR,word,
0x00307404,TOUCAN_B_CANICR,word,
0x00307406,TOUCAN_B_CANCTRL0,byte,
0x00307407,TOUCAN_B_CANCTRL1,byte,
0x00307420,TOUCAN_B_ESR,word,
0x00307422,TOUCAN_B_IMASK,word,
0x00307424,TOUCAN_B_IFLAG,word,
0x003f9800,calibration_ram_start,,
0x003f98ac,param_id_lookup_table,,
0x003f997c,sendDiagResponse,,
0x003f9af0,enqueueJ1939Response,,
0x003f9b40,lookupTableEntryByKey_ramcopy,,
0x003fa002,tbl_register_snapshot,undefined4,
0x003fa004,tbl_register_snapshot+2,,
0x003fa006,key_on_flag,undefined2,
0x003fa008,main_loop_phase_index,undefined4,
0x003fa00c,scheduler_task_pointer,pointer,
0x003fa010,initialization_pointer,undefined4,
0x003fa016,PTR_DAT_003fa016,pointer,
0x003fa018,PTR_DAT_003fa016+2,,
0x003fa020,PTR_DAT_003fa020,pointer,
0x003fa02a,PTR_DAT_003fa02a,pointer,
0x003fa034,PTR_DAT_003fa034,pointer,
0x003fa03e,PTR_DAT_003fa03e,pointer,
0x003fa058,PTR_DAT_003fa058,pointer,
0x003fa062,PTR_DAT_003fa062,pointer,
0x003fa06c,PTR_DAT_003fa06c,pointer,
0x003fa076,PTR_DAT_003fa076,pointer,
0x003fa080,PTR_DAT_003fa080,pointer,
0x003fa08a,PTR_DAT_003fa08a,pointer,
0x003fa094,PTR_DAT_003fa094,pointer,
0x003fa09e,PTR_DAT_003fa09e,pointer,
0x003fa0a8,PTR_DAT_003fa0a8,pointer,
