param_id,param_id_hex,address,address_hex,region,firmware_variable
0,0x0000,16777270,0x01000036,EEPROM,
2,0x0002,268,0x0000010C,ROM,
3,0x0003,16777344,0x01000080,EEPROM,
4,0x0004,3153938,0x00302012,MPC555_REG,qadc_a_portqb
5,0x0005,16777218,0x01000002,EEPROM,
11,0x000B,16777216,0x01000000,EEPROM,
12,0x000C,3155246,0x0030252E,MPC555_REG,
13,0x000D,3155768,0x00302738,MPC555_REG,
14,0x000E,3153922,0x00302002,MPC555_REG,qadc_a_mcr
16,0x0010,3155766,0x00302736,MPC555_REG,
18,0x0012,16777360,0x01000090,EEPROM,
19,0x0013,3156116,0x00302894,MPC555_REG,
21,0x0015,3156120,0x00302898,MPC555_REG,
24,0x0018,3156092,0x0030287C,MPC555_REG,qadc_a_result_ch4
25,0x0019,16777274,0x0100003A,EEPROM,
69,0x0045,274,0x00000112,ROM,
72,0x0048,16777274,0x0100003A,EEPROM,
4096,0x1000,16777358,0x0100008E,EEPROM,
4771,0x12A3,278,0x00000116,ROM,
4777,0x12A9,264,0x00000108,ROM,
