struct_name,address,field_name,type,size,comment,dependency,Status
# UDS Response Buffer - diagnostic response structure at 0x0040b492
# Used by processUdsTransmitBuffer and related diagnostic handlers
# Total size: 11 bytes (0x0040b492-0x0040b49c)
uds_response_t,0x0040b492,source_address,byte,1,Destination address for J1939 response message,,verified
uds_response_t,0x0040b492,service_id,byte,1,UDS service ID (0x67=SecAccess 0x7F=NegResp 0x60/0x68=Cummins),,verified
uds_response_t,0x0040b492,subfunction,byte,1,UDS subfunction code for service routing,,verified
uds_response_t,0x0040b492,error_code,byte,1,Negative response error code (0x11=serviceNotSupported 0x37=requiredTimeDelayNotExpired),,verified
uds_response_t,0x0040b492,data_length,byte,1,Length of data payload in response,,verified
uds_response_t,0x0040b492,data,byte,5,Variable response payload (security seeds etc),DAT_0040b497-0x49b,verified
uds_response_t,0x0040b492,response_pending,byte,1,Flag to trigger transmission (1=send response),,verified
# Fuel Demand Control State - fuel demand calculation and rate limiting
# Used by calculateFuelDemandValue and related fuel control functions
# Total size: 28 bytes (0x0040a57a-0x0040a594)
fuel_demand_control_t,0x0040a57a,calculated,word,2,Final calculated fuel demand value,,verified
fuel_demand_control_t,0x0040a57a,mode,word,2,Fuel demand mode selector (0=normal),,verified
fuel_demand_control_t,0x0040a57a,enable_flag,word,2,Fuel demand enable flag (1=enabled),,verified
fuel_demand_control_t,0x0040a57a,rate_limiter_state,word,2,Rate limiter state machine value,,verified
fuel_demand_control_t,0x0040a57a,rate_delta,word,2,Fuel demand rate of change delta,,verified
fuel_demand_control_t,0x0040a57a,throttle_based,word,2,Throttle-based fuel demand component,,verified
fuel_demand_control_t,0x0040a57a,override_value,word,2,Diagnostic override fuel demand value,,verified
fuel_demand_control_t,0x0040a57a,override_active,word,2,Override mode active flag (1=override),,verified
fuel_demand_control_t,0x0040a57a,rate_limited,word,2,Rate-limited fuel demand output,,verified
fuel_demand_control_t,0x0040a57a,override_countdown,word,2,Override timeout countdown (offset 0x12),,needs_review
fuel_demand_control_t,0x0040a57a,reserved_14,word,2,Gap/reserved (0x58e-0x590),,needs_review
fuel_demand_control_t,0x0040a57a,reserved_16,word,2,Gap/reserved (0x590-0x592),,needs_review
fuel_demand_control_t,0x0040a57a,delta,word,2,Fuel demand delta for rate calculations,,verified
