batch_id,variable_address,ref_count
0,0x003f9808,2
1,0x003fa014,2
2,0x003fa01c,2
3,0x003fa028,2
3,0x003fa02a,2
4,0x003fa032,2
5,0x003fa03c,2
5,0x003fa03e,2
5,0x003fa046,2
5,0x003fa048,2
5,0x003fa04a,2
6,0x003fa04c,2
6,0x003feee2,2
6,0x003feefa,2
7,0x003fa056,2
7,0x003fa058,2
7,0x003fef12,2
7,0x003fef22,2
7,0x003fef4e,2
8,0x003fa060,2
9,0x003fa06a,2
9,0x003fa06c,2
9,0x003fef7a,2
9,0x003fef8a,2
9,0x003fefa2,2
10,0x003fa074,2
11,0x003fa07e,2
12,0x003fa088,2
12,0x003fa08a,2
13,0x003fa092,2
13,0x003fa094,2
14,0x003fa09c,2
14,0x003fa09e,2
14,0x003fefba,2
15,0x003fa0a6,2
15,0x003fa0a8,2
16,0x003fa0b0,2
16,0x003fa0b2,2
17,0x003fa0de,2
17,0x003fa0e0,2
18,0x003fa130,2
18,0x003fa132,2
18,0x003fa134,2
18,0x003fa136,2
18,0x003fa138,2
18,0x003fa140,2
18,0x003fa148,2
19,0x003fa152,2
19,0x003fa154,2
20,0x003fa164,2
20,0x003fa166,2
20,0x003fa168,2
21,0x003fa17e,2
21,0x003fa180,2
21,0x003fa186,2
21,0x003fa188,2
21,0x003fa18a,2
21,0x003fa18c,2
21,0x003fa18e,2
21,0x003fa194,2
21,0x003fa198,2
21,0x003fa19c,2
22,0x003fa5ea,2
23,0x003fa5f6,2
23,0x003fa5f8,2
23,0x003fa5fa,2
23,0x003fa5fc,2
23,0x003fa5fe,2
24,0x003fa60e,2
25,0x003fa618,2
25,0x003fa624,2
25,0x003fa62c,2
26,0x003fa634,2
26,0x003fa638,2
26,0x003fa63e,2
27,0x003fa69a,2
27,0x003fa6a2,2
27,0x003fa6aa,2
27,0x003fa6ae,2
27,0x003fa6b6,2
27,0x003fa6be,2
27,0x003fa6c2,2
27,0x003fa6c6,2
28,0x003fa6d2,2
28,0x003fa6d8,2
28,0x003fa6da,2
29,0x003fa704,2
29,0x003fa706,2
29,0x003fa70a,2
29,0x003fa70e,2
30,0x003fa716,2
30,0x003fa72e,2
31,0x003fa750,2
31,0x003fa758,2
31,0x003fa760,2
31,0x003fa764,2
31,0x003fa768,2
31,0x003fa76c,2
32,0x003fa7fc,2
32,0x003fa7fd,2
32,0x003fa806,2
32,0x003fa807,2
32,0x003fa816,2
32,0x003fa817,4
32,0x003fa819,2
32,0x003fa822,2
32,0x003fa823,2
33,0x003fa83e,2
34,0x003fa8b2,2
35,0x003fa975,2
35,0x003fa976,2
35,0x003fa977,2
36,0x003faa67,2
37,0x003faa84,2
37,0x003faa9a,2
38,0x003fab22,2
39,0x003fabda,2
39,0x003fac2c,2
40,0x003fac42,2
40,0x003fad46,2
41,0x003fad56,2
42,0x003fad6e,2
43,0x003fad78,2
44,0x003fad7c,2
45,0x003fadaa,2
46,0x003fadc0,2
47,0x003faddf,2
48,0x003fae21,2
49,0x003fae36,2
50,0x003fae46,2
51,0x003fae47,2
51,0x003fae48,2
52,0x003fae52,3
52,0x003fae53,3
52,0x003fae54,3
52,0x003fae55,3
52,0x003fae56,3
52,0x003fae57,3
52,0x003fae58,3
52,0x003fae59,3
52,0x003fae5a,3
52,0x003fae5b,3
52,0x003fae5c,3
52,0x003fae5d,3
52,0x003fae5e,3
52,0x003fae5f,3
52,0x003fae60,3
53,0x003fae61,3
53,0x003fae62,3
53,0x003fae71,3
54,0x003fae81,2
54,0x003fae89,2
54,0x003fae8a,2
54,0x003fae92,2
54,0x003fae93,2
54,0x003fae9f,2
54,0x003faea0,2
54,0x003faea8,2
54,0x003faea9,2
54,0x003faeaa,2
54,0x003faeab,2
54,0x003faeac,2
54,0x003faead,2
54,0x003faeae,2
54,0x003faeaf,2
55,0x003faeb4,2
55,0x003faeb6,2
56,0x003faeee,2
57,0x003faf07,2
58,0x003fb002,2
59,0x003fb01a,2
59,0x003fb01e,2
59,0x003fb026,2
60,0x003fb0de,2
60,0x003fb0e0,2
60,0x003fb0e2,2
60,0x003fb0e6,2
60,0x003fb0e8,2
60,0x003fb0ea,2
60,0x003fb0f4,2
60,0x003fb0f6,2
60,0x003fb0f8,2
60,0x003fb0fa,2
60,0x003fb0fc,2
60,0x003fb0fe,2
60,0x003fb100,2
60,0x003fb102,2
60,0x003fb104,2
61,0x003fb106,2
61,0x003fb108,2
61,0x003fb10a,2
61,0x003fb10e,2
61,0x003fb112,2
61,0x003fb114,2
61,0x003fb116,2
61,0x003fb118,2
61,0x003fb11a,2
61,0x003fb11c,2
61,0x003fb11e,2
61,0x003fb120,2
61,0x003fb122,2
61,0x003fb124,2
61,0x003fb126,2
62,0x003fb128,2
62,0x003fb12a,2
62,0x003fb140,4
62,0x003fb142,3
62,0x003fb144,4
62,0x003fb146,2
62,0x003fb148,2
62,0x003fb14a,2
62,0x003fb14c,2
