batch_id,variable_address,ref_count
0,0x003fa0ba,5
0,0x003fa0bc,5
1,0x003fa696,5
1,0x003fa69e,9
1,0x003fa6a6,5
1,0x003fa6b2,9
1,0x003fa6ba,9
2,0x003fb0ee,5
2,0x003fb0f0,5
3,0x003fb341,5
4,0x003fb40c,5
5,0x003fb41c,7
6,0x003fb4e8,5
7,0x003fb602,9
8,0x003fb612,6
9,0x003fb73c,8
10,0x003fb9ca,5
10,0x003fe9d4,35
10,0x003fea38,14
10,0x003feb92,56
10,0x003feb93,39
10,0x003fed90,7
10,0x003fed91,25
10,0x003fed98,56
10,0x003fed9c,7
10,0x003fedbc,6
10,0x003fedce,8
11,0x003fb9fe,7
12,0x003fbc90,7
12,0x003fbc94,6
12,0x003fbc98,7
12,0x003fbc9a,5
13,0x003fbc9c,6
14,0x003fbca6,9
14,0x003fbcaa,16
14,0x003fbcae,6
14,0x003fbcb2,9
14,0x003fddb8,7
14,0x003fddba,7
14,0x003fddc4,6
15,0x003fbd18,5
16,0x003fbd28,7
16,0x003fbd2a,6
17,0x003fbd2c,11
18,0x003fbd3e,7
18,0x003fdfb8,13
18,0x003fdfba,7
18,0x003fdfbe,5
19,0x003fbd42,16
19,0x003fbd46,13
20,0x003fbd5a,5
21,0x003fbd5e,5
22,0x003fbd62,5
23,0x003fbd66,8
23,0x003fbd69,9
23,0x003fe9e8,28
24,0x003fbd70,5
24,0x003feb54,5
24,0x003feb6e,5
25,0x003fbdc4,6
25,0x003fbdc5,10
25,0x003fbdc9,6
25,0x003fbdcb,9
25,0x003fbdcc,5
25,0x003fbdcd,5
25,0x003fbdd3,7
25,0x003fbdd7,6
25,0x003fbddf,7
25,0x003fbdef,10
25,0x003fbdf0,8
25,0x003fbdf1,6
25,0x003fbdf3,7
25,0x003fbdf4,8
25,0x003fbdf5,5
26,0x003fbdf7,5
26,0x003fbdfb,5
27,0x003fcbe6,5
28,0x003fcbee,5
28,0x003fcbf0,5
28,0x003fea08,38
29,0x003fcbf2,5
30,0x003fcbfe,6
31,0x003fccf0,6
31,0x003fccf2,10
32,0x003fcd04,7
32,0x003fcd08,5
32,0x003fcd0c,5
33,0x003fcd5e,11
33,0x003fcd60,5
33,0x003fcd62,6
33,0x003fcd64,7
33,0x003fcd68,5
33,0x003fcd6c,5
33,0x003fcd6e,5
34,0x003fcd7a,10
35,0x003fcd84,8
35,0x003fcd86,8
35,0x003fcd88,8
35,0x003fcd8a,8
35,0x003fcd8c,8
36,0x003fcd8e,8
36,0x003fcd8f,9
37,0x003fcd92,13
37,0x003fcdaa,10
37,0x003fcdae,6
38,0x003fcda0,8
39,0x003fcdb0,11
40,0x003fcdbc,8
40,0x003fcdc6,6
40,0x003fcdd8,5
40,0x003fcddc,7
41,0x003fcdc8,5
41,0x003fcdca,5
42,0x003fcdce,6
43,0x003fcdda,6
44,0x003fcdf6,10
44,0x003fce10,5
44,0x003fce12,7
44,0x003fce1a,5
44,0x003fce1c,6
44,0x003fdc96,9
45,0x003fcdf8,5
45,0x003fcdf9,5
45,0x003fcdfa,6
45,0x003fcdff,6
45,0x003fce01,7
45,0x003fce02,6
45,0x003fce03,10
45,0x003fce04,8
45,0x003fce05,9
45,0x003fce06,6
45,0x003fce07,5
45,0x003fce08,5
45,0x003fce09,5
45,0x003fce0a,7
45,0x003fce0b,8
46,0x003fce0c,5
47,0x003fce22,5
47,0x003fce24,13
47,0x003fce26,9
47,0x003fce28,7
48,0x003fce2e,7
49,0x003fce34,8
49,0x003fce35,17
49,0x003fce37,12
49,0x003fce41,6
49,0x003fce43,5
49,0x003fce45,6
49,0x003fce49,5
49,0x003fce4b,5
49,0x003fce4d,6
49,0x003fce51,5
49,0x003fce55,10
49,0x003fce5f,5
50,0x003fce39,5
50,0x003fce3f,5
51,0x003fce7a,11
52,0x003fce9e,7
52,0x003fcea1,23
52,0x003fcea2,6
52,0x003fd93c,14
52,0x003fd93f,14
52,0x003fd940,9
52,0x003fd941,11
52,0x003fd942,29
52,0x003fd947,5
52,0x003fea68,9
52,0x003fee50,9
52,0x003fee9b,11
53,0x003fcea4,8
53,0x003fcea6,5
54,0x003fceac,11
54,0x003fceb2,5
54,0x003fcebc,5
55,0x003fcee8,6
56,0x003fceea,5
57,0x003fcef8,5
58,0x003fcefc,8
58,0x003fcf00,11
58,0x003fcf02,16
59,0x003fcf0c,5
59,0x003fcf12,8
59,0x003fdca8,18
60,0x003fcf3c,16
60,0x003fcf4c,6
60,0x003fcf4e,6
61,0x003fcf74,5
61,0x003fcf76,6
61,0x003fcf78,6
61,0x003fcf7a,5
62,0x003fcf96,11
63,0x003fcf9c,5
63,0x003fcf9e,6
63,0x003fcfa0,5
64,0x003fcfa6,6
64,0x003fcfae,8
64,0x003fcfb1,10
65,0x003fcfbc,8
65,0x003fee64,8
65,0x003fee66,20
65,0x003fee68,7
65,0x003fee6c,5
65,0x003fee70,5
65,0x003fee74,5
66,0x003fcfc8,5
67,0x003fcfdc,7
67,0x003fcfe0,6
67,0x003fcfe4,7
68,0x003fcfee,5
69,0x003fcff8,9
70,0x003fd002,5
70,0x003fd004,6
70,0x003fd032,18
70,0x003fd038,10
70,0x003fd048,8
70,0x003fd04a,5
70,0x003fd04c,6
70,0x003fd04f,6
70,0x003fd053,7
71,0x003fd06e,7
71,0x003fee7e,6
71,0x003fee80,6
72,0x003fd082,7
72,0x003fd088,5
72,0x003fd089,6
72,0x003fd08b,11
73,0x003fd0aa,9
74,0x003fd0b8,11
74,0x003fee98,8
75,0x003fd0bc,13
75,0x003fd0c0,12
76,0x003fd0c4,5
76,0x003fd0c6,19
76,0x003fd0ca,9
77,0x003fd104,16
77,0x003fd108,34
77,0x003fd134,9
78,0x003fd164,9
79,0x003fd16e,7
80,0x003fd172,6
80,0x003fd174,8
80,0x003fd178,6
80,0x003fd179,6
80,0x003fd17b,6
80,0x003fd17d,6
80,0x003fd17f,8
81,0x003fd182,5
81,0x003fd188,10
81,0x003fd18f,5
82,0x003fd192,5
82,0x003fd194,6
82,0x003fd196,7
82,0x003fd198,5
82,0x003fd19a,6
82,0x003fd19c,7
82,0x003fd19e,6
82,0x003fd1a0,7
82,0x003fe9c4,8
82,0x003fe9ca,6
83,0x003fd1a4,5
83,0x003fd1a6,9
83,0x003fd1a8,7
84,0x003fd1b0,15
84,0x003fd1b1,12
84,0x003fd1b2,11
84,0x003fd1b3,6
84,0x003fd1b4,39
84,0x003fd1c0,7
84,0x003fd1c2,7
84,0x003fd1c4,10
84,0x003fd938,7
85,0x003fd1cc,5
85,0x003fd1cd,5
85,0x003fd1d0,5
86,0x003fd1d6,6
87,0x003fd1de,6
88,0x003fd1e6,5
88,0x003fea6e,8
89,0x003fd1e8,18
89,0x003fd1ea,17
89,0x003fd1ec,6
89,0x003fd1f0,7
89,0x003fd1f2,10
90,0x003fd1fe,6
90,0x003fd207,7
90,0x003fd208,6
90,0x003fd209,9
90,0x003fd20d,7
90,0x003fd20f,5
90,0x003fd211,9
90,0x003fd213,20
90,0x003fd217,5
90,0x003fd219,9
90,0x003fd21b,8
90,0x003fd21e,11
90,0x003fd222,15
91,0x003fd226,7
91,0x003fd22d,5
92,0x003fd232,6
92,0x003fd234,5
92,0x003fd24c,5
92,0x003fd24e,5
92,0x003fd257,5
92,0x003fd258,5
93,0x003fd25a,5
93,0x003fd262,6
94,0x003fd264,5
95,0x003fd268,10
95,0x003fd26a,7
96,0x003fd26c,8
96,0x003fd26e,10
97,0x003fd27a,6
98,0x003fd27e,5
99,0x003fd2d4,6
99,0x003fd2d8,11
99,0x003fd40e,6
99,0x003fd40f,6
99,0x003feed0,5
100,0x003fd47a,5
101,0x003fd47c,7
102,0x003fd948,31
102,0x003fda48,5
103,0x003fde48,9
104,0x003fdfde,5
105,0x003fe9b2,9
106,0x003fe9c0,25
106,0x003fea24,10
107,0x003feb8a,5
108,0x003fee2e,6
