address,name,type,comment
0x003fbca6,diag_dm1_buffer_fill_end_ptr,dword,DM1 ring-buffer fill endpoint ptr (ROM-aliased)
0x003fbcaa,diag_dm1_buffer_fill_phase,dword,DM1 fill state 0/1/2/3 (ROM-aliased)
0x003fbcae,diag_dm1_buffer_slot_started_flag,word,DM1 buffer slot write started 0/1
0x003fbcb2,diag_dm1_active_fault_entry_count,word,count of active fault entries to fill into DM1
0x003fbd42,fault_channel_config_ptr,dword,iterating ptr over fault-channel config array (was PTR_DAT)
0x003fbd46,fault_channel_state_ptr,dword,iterating ptr over per-channel fault RAM state (was PTR_DAT)
0x003fcefc,protection_output_phase_entry_flag,word,protection output controller entered active-limit phase
0x003fcf00,protection_fuel_demand_prev,word,previous-cycle fuel demand snapshot in protectionOutputAssembly
0x003fcf02,protection_output_rate_counter,word,rate-divide counter 0-4 for protectionOutputAssembly
0x003fcf3c,cold_start_protection_active_count,byte,count of active cold-start protection channels
0x003fcf4c,cold_start_sync_protection_countdown,word,per-crank countdown for engine_sync cold-start protection
0x003fcf4e,cold_start_injection_protection_countdown,word,per-crank countdown for cold-start injection protection
0x003fddb8,diag_dm1_protection_warning_active,word,set when protection warning active; selects DM1 fill mode
0x003fddba,diag_dm1_fill_mode_config,word,NEVER-WRITTEN ROM; DM1 fill mode selector 1/2/3
0x003fddc4,diag_dm1_fault_source_table,dword,32-entry DM1 fault data-source ptr array base
0x003fbd2c,governor_faultDerate_task_index,word,round-robin scheduler index 0-4 for fault-derate subtasks
0x003fbd3e,governor_faultDerate_peak_value,word,running max of per-channel derate fuel-limit values
0x003fcd92,governor_cruiseOverride_holdoff_countdown,word,holdoff before accepting a new override transition
0x003fcdaa,governor_speed_request_state_prev,word,previous-cycle snapshot of governor_speed_request_state_b
0x003fcdae,cruise_steady_state_debounce_counter,word,debounce for cruise steady-state detection
0x003fce22,calibBlock1_update_phase_counter,word,mod-4 phase counter dividing calibBlock1 EEPROM writes
0x003fce24,calibBlock1_adaptiveTrim_ema_q8,word,Q8 EMA accumulator for calibBlock1 adaptive trim
0x003fce26,calibBlock1_learnedTrim_ema_q8,word,Q8 long-term learned-trim EMA
0x003fce28,calibBlock1_guardTrim_q8,word,guard/snapshot of learnedTrim EMA for drift detect
0x003fd0bc,injection_angle_ch6_crank_position,dword,signed crank position for TPU ch6 injection angle
0x003fd0c0,injection_angle_ch6_normalized,dword,normalized/wrapped ch6 injection angle
