address,name,type,comment
0x003fcd84,protection_enable_modeA_debounce_counter,word,debounce while protection mode A active
0x003fcd86,protection_enable_modeB_debounce_counter,word,debounce while mode B active
0x003fcd88,protection_enable_off_debounce_counter,word,debounce while protection inactive
0x003fcd8a,protection_enable_modeC_debounce_counter,word,debounce while mode C (both bits)
0x003fcd8c,protection_enable_mode_prev,byte,previous-cycle protection mode 0-3
0x003fcd8e,protection_j1939_trigger_active,byte,J1939 protection trigger detected
0x003fcd8f,protection_j1939_trigger_accumulator,byte,accumulator toward J1939 protection threshold
0x003fcff8,cruise_speed_zone_code,word,cruise speed zone 1/2/3 selecting ramp-rate cal
0x003fd0aa,aux_boundary_boost_blend_interp_state,word,dualAxis interp state base (aux boundary boost blend)
0x003fd164,injection_timing_arb_boost_blend_interp_state,word,dualAxis interp state base (injection timing arbitration boost blend)
0x003fd1a4,cam_sync_balance_hold_counter,word,precondition stability counter before cam-sync balance sampling
0x003fd1a6,cam_sync_advance_event_count,word,advance/retard event count for cam-sync balance
0x003fd1a8,cam_sync_balance_accumulator,word,net cam-sync balance accumulator vs limit
0x003fde48,fuel_demand_histogram_sample_count,dword,total sample count for fuel-demand usage histogram
0x003fe9b2,hpcr_battery_voltage_flags,word,HPCR battery-voltage protection status bits (system_status_flags+0x3e)
0x003fb73c,injection_timing_trim_boost_blend_interp_state,word,dualAxis interp state base (injection timing trim boost blend)
0x003fcda0,governor_speed_request_debounce_count,word,debounce for governor speed-request state machine
0x003fcdbc,cold_start_fuel_demand_ramp_prev,word,previous-cycle cold-start fuel demand ramp output
0x003fcdc6,cold_start_coolant_bucket_cycle_count,word,coolant-temp bucket reporting cycle counter
0x003fcdd8,cold_start_fuel_demand_limit_min,word,min(pi_correction,rpm_fuel_limit) cold-start ceiling
0x003fcddc,cold_start_fuel_demand_integral_q8_scaled,dword,Q-scaled cold-start overheat integral accumulator (x0x2280)
0x003fcea4,protection_event35_crank_cycle_count,word,crank cycle counter for protection event 0x35 ambient qualify
0x003fcea6,protection_event35_qualification_state,word,event 0x35 ambient qualification state 1/2/3
0x003fd172,protection_group21_pathB_dwell_count,word,group21 path B entry-dwell debounce
0x003fd174,protection_group21_pathB_vote_count,word,group21 path B oil-pressure vote accumulator
0x003fd178,protection_group21_pathB_ring_trigger,byte,group21 path B fault-ring notification bits
0x003fd179,protection_group21_pathA_ring_trigger,byte,group21 path A fault-ring notification bits
0x003fd17b,protection_group21_fault_pending_flag,word,group21 fault-active routing flag (0 clear/1 pending)
0x003fd17d,protection_group21_pathA_dwell_count,word,group21 path A entry-dwell debounce
0x003fd17f,protection_group21_pathA_vote_count,word,group21 path A differential-sensor vote accumulator
0x003fe9c4,boost_corr_diag_status_flags,word,boost-correction diagnostic status bits
0x003fe9ca,boost_corr_diag_status_flags_b,word,boost-correction diagnostic status bits (second word)
0x003fd192,boost_corr_diag_entry_count,word,boost-correction diagnostic entry-dwell counter
0x003fd194,boost_corr_diag_pos_accumulator,word,boost-correction positive deviation accumulator
0x003fd196,boost_corr_diag_neg_accumulator,word,boost-correction negative deviation accumulator
0x003fd198,boost_corr_diag_dwell_count_b,word,boost-correction second-block dwell counter
0x003fd19a,boost_corr_diag_pos_accumulator_b,word,boost-correction second positive accumulator
0x003fd19c,boost_corr_diag_neg_accumulator_b,word,boost-correction second negative accumulator
0x003fd1a0,boost_corr_crank_phase_dwell_b,word,cold-start boost-correction dwell channel B
0x003fb41c,fuel_demand_rate_table_dims,word,dualAxis table dims base (fuel demand rate)
0x003fb9fe,boost_corr_eligible_dwell_count,word,dwell confirming boost-correction eligibility stable
0x003fea6e,protection_monitor_shadow_snapshot,word,snapshot of protection_monitor_shadow for edge detect
0x003fd1e6,cam_timing_monitor_active_flag,byte,cam-timing measurement active 0/1
0x003fd19e,boost_corr_crank_phase_dwell_a,word,cold-start boost-correction dwell channel A
0x003fbc90,fuel_demand_timing_demand_window_sum,dword,150-sample rolling sum of fuel_demand_min_threshold
0x003fbc94,fuel_demand_timing_correction_window_sum,dword,150-sample rolling sum of fuel_demand_timing_correction
0x003fbc98,fuel_demand_timing_rolling_avg_index,word,rolling-average ring buffer write index 0-149
0x003fbc9a,fuel_demand_timing_rolling_avg_full_flag,word,rolling-average buffer full flag
