batch_id,variable_address,ref_count
0,0x004051e8,2
1,0x00405206,2
2,0x004059f4,2
2,0x00405a9e,2
2,0x0040a54e,2
2,0x0040a558,2
2,0x0040afb6,2
2,0x0040afb8,2
3,0x00405d4a,2
3,0x00405d4e,2
3,0x00405d50,2
3,0x00405ffc,2
3,0x00405ffe,3
3,0x0040a54a,3
3,0x0040a566,2
3,0x0040a682,2
3,0x0040a71a,2
3,0x0040a72c,2
3,0x0040af6e,2
3,0x0040af70,2
3,0x0040af76,2
3,0x0040af78,2
4,0x00406008,2
4,0x0040600a,2
5,0x004062d2,2
5,0x004062d4,2
5,0x0040a578,2
6,0x00406464,2
6,0x00406466,2
7,0x00406548,2
7,0x0040654a,2
7,0x0040a72e,2
8,0x00406556,2
8,0x00406558,2
8,0x00406560,2
8,0x00406562,2
9,0x00406566,2
9,0x0040a5c2,2
9,0x0040a5cc,2
10,0x004065be,2
10,0x004065c0,2
10,0x0040a606,3
11,0x0040675e,2
11,0x00406760,2
11,0x00406762,2
12,0x0040676c,2
12,0x0040a67e,2
12,0x0040a680,2
13,0x00406776,2
14,0x004067cc,2
15,0x004067e0,2
16,0x004071de,2
17,0x00407772,2
18,0x00407778,2
18,0x0040b044,2
18,0x0040b048,2
19,0x004077c0,2
20,0x004077da,2
20,0x0040b082,2
21,0x004077fe,2
22,0x0040869e,2
23,0x004086a0,2
23,0x004086a2,2
23,0x004086a8,2
23,0x004086b4,2
23,0x004086b8,2
24,0x004086cc,2
25,0x004086da,2
26,0x0040871c,2
26,0x0040871d,2
27,0x0040871e,2
27,0x0040bb4e,4
28,0x00408732,2
28,0x00408734,2
28,0x00408738,2
28,0x0040873a,2
28,0x0040873c,2
29,0x00408750,2
29,0x00408752,2
29,0x00408754,2
29,0x0040877e,2
30,0x00408758,2
30,0x0040875e,2
30,0x0040876c,2
31,0x00408760,2
31,0x00408762,2
32,0x0040878a,2
32,0x0040878c,2
32,0x0040878e,2
32,0x00408790,2
32,0x00408792,2
32,0x00408794,2
32,0x00408796,2
32,0x00408798,2
32,0x0040879a,2
32,0x0040879c,2
32,0x0040879e,2
33,0x00408816,2
33,0x00408828,2
33,0x0040882e,2
33,0x00408838,2
33,0x0040883a,2
33,0x00408866,2
33,0x0040887f,2
33,0x00408881,2
33,0x004088a0,2
33,0x004088ae,2
33,0x004088b6,2
33,0x004088c0,2
33,0x0040b298,2
33,0x0040b2be,2
33,0x0040b2d4,2
34,0x00408818,2
34,0x0040881a,2
34,0x0040b2dc,2
34,0x0040b2e4,2
34,0x0040b2ec,2
35,0x00408824,2
36,0x004088ba,2
36,0x004088bc,2
36,0x0040c19c,2
37,0x00408986,2
37,0x00408988,2
37,0x00408990,2
37,0x0040b53a,2
38,0x00408a52,2
38,0x00408a56,2
38,0x00408a5a,2
39,0x00408a78,2
40,0x00408a9c,2
40,0x00408aa4,2
40,0x00408aa8,2
40,0x00408aac,2
40,0x00408aae,2
41,0x00408ad2,2
41,0x00408ad3,2
41,0x00408ade,2
42,0x00408aec,2
42,0x00408b27,2
42,0x00408b28,2
42,0x00408b2a,2
43,0x00408af0,2
43,0x0040b58c,2
44,0x00408afc,2
44,0x00408b02,2
44,0x00408b08,2
44,0x00408b0c,2
44,0x00408b12,2
44,0x00408b18,2
44,0x0040b59e,2
45,0x00408b1c,2
45,0x0040b594,2
46,0x00408b2c,2
47,0x00408b78,2
48,0x00408b98,2
48,0x0040b670,2
49,0x00408d24,2
49,0x0040b61a,2
50,0x00408d4a,2
50,0x00408d52,2
50,0x00408d5e,2
51,0x00408dc4,2
52,0x00408e14,2
52,0x00408e16,2
52,0x00408e20,2
52,0x00408e2e,2
52,0x0040b6a0,2
52,0x0040b6a6,2
52,0x0040b6a8,2
52,0x0040b6d0,2
53,0x00408e4c,2
53,0x00408e4e,2
53,0x00408e72,2
53,0x00408e74,2
53,0x00408e78,2
53,0x00408e82,2
53,0x00408e84,2
54,0x00408e6a,2
55,0x00408f50,2
55,0x00408f52,2
55,0x00408f54,2
56,0x004090aa,2
56,0x004090ac,2
56,0x004090ae,2
56,0x004090b0,2
56,0x004090b4,2
56,0x004090b6,2
56,0x004090b8,2
56,0x004090ba,2
56,0x004090c8,2
57,0x004090c4,2
58,0x004090c6,2
58,0x004090ca,2
59,0x004090e9,2
59,0x004090eb,2
59,0x004090ed,2
59,0x00409e72,2
59,0x00409e76,2
59,0x0040b990,2
59,0x0040b996,2
60,0x004090f1,2
61,0x0040953e,2
61,0x00409a6d,2
61,0x00409a71,2
61,0x00409a7a,2
61,0x0040b8b8,2
61,0x0040b8c4,2
62,0x00409aac,2
62,0x00409ac6,3
62,0x00409ad0,2
62,0x0040b8e0,2
62,0x0040b8e8,2
62,0x0040b8ee,2
62,0x0040b8f0,2
62,0x0040b8f2,2
62,0x0040b8f6,2
62,0x0040b8f8,2
62,0x0040b8fa,2
62,0x0040b8fc,2
62,0x0040b903,2
62,0x0040b90b,3
63,0x00409ab0,2
63,0x00409ab2,2
63,0x00409ab4,2
63,0x00409ac0,2
63,0x00409ac2,2
63,0x00409ac4,2
64,0x00409aba,2
64,0x00409abe,2
65,0x00409e68,2
65,0x0040b93a,2
65,0x0040b940,2
65,0x0040b958,2
65,0x0040b95c,2
65,0x0040b95e,2
66,0x00409e82,2
67,0x00409e96,2
67,0x00409e98,2
67,0x00409eaa,2
68,0x00409eba,2
69,0x00409ec4,2
70,0x00409ec6,2
70,0x00409ecc,2
70,0x00409ed0,2
71,0x00409ed4,2
72,0x00409ef4,2
72,0x00409ef8,2
73,0x00409fa2,2
73,0x0040ba3a,2
73,0x0040ba44,2
73,0x0040ba46,2
74,0x00409fa4,2
75,0x00409fe6,2
76,0x0040a02c,2
76,0x0040a02e,2
76,0x0040a036,2
77,0x0040a0a0,2
77,0x0040b64a,2
78,0x0040a0da,2
79,0x0040a12e,2
80,0x0040a18e,2
80,0x0040a190,2
81,0x0040a1a6,2
82,0x0040a450,2
83,0x0040a5a4,2
84,0x0040a5ac,2
85,0x0040a5f0,3
85,0x0040a5f2,3
86,0x0040a648,2
87,0x0040a672,2
88,0x0040a6b4,2
89,0x0040a74e,2
89,0x0040a750,2
89,0x0040a772,2
89,0x0040a774,2
89,0x0040a78b,4
89,0x0040a78c,4
90,0x0040a75e,2
91,0x0040a788,2
92,0x0040aac4,2
93,0x0040ad52,2
93,0x0040ad56,2
94,0x0040ae5e,3
94,0x0040b54a,3
95,0x0040ae70,2
96,0x0040afe2,2
96,0x0040bdc6,2
97,0x0040afec,2
98,0x0040b186,2
98,0x0040bdc0,2
98,0x0040bdc2,2
98,0x0040be34,2
99,0x0040b192,2
99,0x0040bdd8,2
99,0x0040bdda,2
99,0x0040be40,2
100,0x0040b1da,2
101,0x0040b300,2
101,0x0040b302,2
101,0x0040b9ac,2
102,0x0040b348,2
103,0x0040b478,2
104,0x0040b48b,2
104,0x0040b48c,2
104,0x0040b48d,2
104,0x0040b48e,2
105,0x0040b529,2
106,0x0040b57d,2
107,0x0040b5a4,2
108,0x0040b682,2
109,0x0040b842,2
110,0x0040b964,2
110,0x0040b966,2
110,0x0040b96a,2
110,0x0040b96c,2
110,0x0040b972,2
110,0x0040b974,2
110,0x0040b980,2
110,0x0040b982,2
111,0x0040b9e4,2
111,0x0040b9e6,2
111,0x0040b9e8,2
111,0x0040bc88,4
112,0x0040ba0e,2
112,0x0040ba12,4
113,0x0040ba4c,2
113,0x0040ba4e,2
113,0x0040ba50,2
113,0x0040ba5a,2
114,0x0040ba66,2
115,0x0040babe,2
116,0x0040bb0e,4
117,0x0040bb78,2
118,0x0040bbf0,2
119,0x0040bd88,2
120,0x0040bdb8,2
120,0x0040bdba,2
120,0x0040be30,2
121,0x0040c05f,6
121,0x0040c060,3
122,0x0040c0a5,2
122,0x0040c0a6,2
122,0x0040c0c9,2
123,0x0040c28a,3
