batch_id,variable_address,ref_count
0,0x004051ee,3
0,0x0040a448,3
0,0x0040a44a,3
1,0x00405ffe,3
1,0x0040a546,3
1,0x0040a54a,3
1,0x0040a56c,4
1,0x0040a56e,3
1,0x0040a574,3
1,0x0040a576,4
1,0x0040a684,4
1,0x0040af68,3
1,0x0040af6a,4
1,0x0040af72,3
2,0x00406552,4
2,0x0040a5ba,3
2,0x0040a5bc,3
2,0x0040a5c4,3
2,0x0040a5ce,4
2,0x0040a5d0,3
2,0x0040a5d2,3
2,0x0040a5d4,3
2,0x0040a5d6,4
3,0x00406570,3
3,0x0040a5f8,3
3,0x0040a5fa,3
3,0x0040a5fc,4
3,0x0040a5fe,4
3,0x0040a602,3
3,0x0040a8ab,3
4,0x004067de,3
4,0x004067e4,3
4,0x0040a6b8,4
4,0x0040a6bc,4
4,0x0040a6c0,3
5,0x00407774,3
5,0x00407776,3
5,0x0040777c,3
6,0x004086be,4
7,0x004086c8,3
8,0x00408714,4
8,0x00408716,4
9,0x00408720,4
10,0x0040876e,4
11,0x00408788,3
12,0x00408820,3
12,0x00408822,4
12,0x00408860,4
12,0x0040886a,3
12,0x00408896,4
12,0x004088b4,4
12,0x0040b29e,3
12,0x0040b2a6,3
12,0x0040b2b2,3
12,0x0040b2c6,4
13,0x0040882a,3
13,0x00408836,4
13,0x00408840,3
13,0x0040884e,4
13,0x00408854,3
14,0x004088d8,4
14,0x0040b2fc,3
14,0x0040b9a8,3
14,0x0040b9ae,3
14,0x0040b9b0,4
14,0x0040b9b2,3
15,0x00408952,3
16,0x0040898c,3
17,0x00408ad5,3
17,0x00408ad6,4
17,0x0040b581,4
17,0x0040b588,4
18,0x00408b81,4
18,0x00408b82,3
18,0x00408b83,3
18,0x00408b84,3
18,0x00408b97,3
18,0x0040b66e,3
19,0x00408e12,4
19,0x0040b69c,3
19,0x0040b6a4,3
19,0x0040b6aa,3
19,0x0040b6c4,4
19,0x0040b6d2,4
19,0x0040b6d6,3
19,0x0040b6dc,3
20,0x00408e22,4
21,0x00408e5e,3
21,0x00408e64,4
21,0x00408e66,4
22,0x00408f46,3
22,0x00408f48,4
22,0x00408f49,3
22,0x0040b78c,3
22,0x0040b830,3
22,0x0040b838,4
22,0x0040b848,3
22,0x0040b84a,3
22,0x0040b84c,4
22,0x0040b84e,3
22,0x0040b850,3
23,0x004090a0,4
23,0x004090a4,3
23,0x004090b2,3
24,0x004090ef,4
24,0x004090f0,3
24,0x0040b854,4
24,0x0040b98c,3
24,0x0040b994,4
25,0x00409a6c,3
25,0x00409a74,4
25,0x00409a76,3
25,0x00409a84,4
25,0x0040b8bc,4
26,0x00409aa1,3
26,0x00409aa2,3
26,0x00409aa4,3
26,0x00409aa6,3
26,0x00409aa8,3
26,0x00409ac6,3
26,0x00409ad2,4
26,0x0040b8da,3
26,0x0040b8e6,3
26,0x0040b8f4,3
26,0x0040b8fe,3
26,0x0040b905,3
26,0x0040b906,3
26,0x0040b907,4
26,0x0040b909,4
27,0x00409e4e,3
27,0x00409e52,3
27,0x00409e56,4
27,0x00409e58,3
27,0x00409e64,3
27,0x00409e6a,3
27,0x00409e6c,4
27,0x0040b93c,3
27,0x0040b93e,4
27,0x0040b946,4
27,0x0040b94e,3
27,0x0040b950,3
28,0x00409e74,4
28,0x00409e78,4
28,0x0040b988,4
29,0x00409e9a,3
29,0x00409e9c,3
29,0x00409ea6,3
30,0x00409ed6,4
30,0x00409ee2,3
30,0x0040b9ba,4
30,0x0040b9be,4
31,0x00409f9e,4
31,0x0040ba36,4
31,0x0040ba38,4
31,0x0040ba3c,4
31,0x0040ba3e,4
31,0x0040ba40,3
32,0x00409fbc,3
32,0x00409fbe,3
32,0x00409fc0,3
32,0x0040ba4a,3
32,0x0040ba54,4
32,0x0040ba5e,3
33,0x0040a09e,4
34,0x0040a1a2,4
34,0x0040a1a4,4
34,0x0040a1a8,3
35,0x0040a2c6,3
36,0x0040a446,3
37,0x0040a552,3
37,0x0040afbe,4
37,0x0040afc0,4
38,0x0040a596,4
38,0x0040a598,4
38,0x0040a59a,4
38,0x0040a59c,3
38,0x0040a59e,4
38,0x0040a5a0,3
38,0x0040a5a6,4
38,0x0040a5a8,3
38,0x0040a5aa,3
