address,name,type,comment
0x0040aaa7,emission_feature_fault_active_flag,byte,emission feature mode-3 fault flag; suppresses demand output
0x0040aaa8,fuel_demand_fault_count_nonzero_flag,byte,set when fault_count_bitmap nonzero; gates fuel demand
0x0040a546,fuel_qty_ema_filtered_rpm_normalized,word,fuel_quantity_ema_filtered normalized by rpm factor (<<7)
0x0040a56c,fuel_demand_qty_boost_corrected,word,combined fuel demand qty with efficiency+boost corrections
0x0040a56e,fuel_demand_qty_load_cap,word,engine-load-derived cap on fuel_demand_qty_boost_corrected
0x0040a574,fuel_demand_rpm_limit_output,word,RPM-axis table output for fuel demand limit
0x0040a576,boost_pressure_ratio_clamped,word,boost actual/target ratio clamped to cal bounds
0x0040a684,boost_target_calc_inhibit_flag,word,set when rpm<8 or fuel-qty-normalized<1.0; blocks boost target calc
0x0040af68,fuel_demand_blend_weight_ema_filtered,word,blend-weight coeff for EMA-filtered demand compensator
0x0040af6a,fuel_demand_blend_weight_ema,word,blend-weight coeff for EMA demand compensator
0x0040af72,fuel_demand_mode_active_flag,word,1 when any fuel demand mode active (3-mode OR)
0x00406552,fuel_demand_boost_compensation_limit,dword,read-only ROM upper clamp for boost compensation accumulator
0x0040a5ba,fuel_demand_boost_compensation_at_limit_flag,word,boost compensation accumulator hit limit 0/1
0x0040a5bc,fuel_demand_boost_compensation_direction_flag,word,boost compensation error direction 0/1
0x0040a5c4,fuel_demand_blend_compensation_at_limit_flag,word,blend compensation integrator hit limit 0/1
0x0040a5ce,fuel_cold_start_phase3_compensation_enable_flag,word,cold-start phase-3 compensation enable gate
0x0040a5d0,fuel_demand_boost_compensation_step_rate_negative,word,boost compensation step rate (negative-error branch)
0x0040a5d2,fuel_demand_boost_compensation_step_rate_positive,word,boost compensation step rate (positive-error branch)
0x0040a5d4,fuel_demand_blend_compensation_step_rate_negative,word,blend compensation step rate (negative-error branch)
0x0040a5d6,fuel_demand_blend_compensation_step_rate_positive,word,blend compensation step rate (positive-error branch)
0x0040a5f8,cold_start_phase3_fuel_mode_count_met_flag,word,cold-start phase-3 count reached threshold 0/1
0x0040a5fa,cold_start_phase3_fuel_demand_floor,word,cold-start phase-3 fuel demand floor when count at max
0x0040a5fc,cold_start_boost_override_active_flag,word,cold-start boost override active 0/1
0x0040a5fe,cold_start_boost_override_fuel_demand,word,interpolated boost-override fuel demand floor
0x0040a602,fuel_timing_cylinder_check_demand_floor,word,per-cylinder injection-timing shortfall demand floor
0x0040a8ab,fuel_demand_sensor_validation_floor,word,fuel demand floor when sensor-validation flags active
