address,name,type,comment
0x0040b3fe,j1939_msg_slot_e_data_byte1,byte,J1939 slot-E payload byte 1 (auth MSB)
0x0040b3ff,j1939_msg_slot_e_data_byte2,byte,J1939 slot-E payload byte 2 (auth mid)
0x0040b400,j1939_msg_slot_e_data_byte3,byte,J1939 slot-E payload byte 3 (auth LSB)
0x0040b506,j1939_governor_auth_checksum_expected,dword,expected 24-bit governor auth checksum
0x0040b50a,j1939_governor_auth_response_received,dword,received 24-bit governor auth response
0x0040b50e,j1939_governor_auth_session_seed,dword,per-message governor auth session seed
0x0040b51b,j1939_msg_slot_m_switch_input_bits,byte,decoded switch-input bits from slot-M
0x0040b52c,protection_fuel_demand_active_flag,word,fuel-demand protection active; drives ramp-down
0x0040b55a,j1939_fault_load_protection_trip_count,byte,outer escalation count, j1939 load protection
0x0040b55b,j1939_fault_load_protection_debounce_count,byte,inner debounce count, j1939 load protection
0x0040b55e,protection_coldStart_channelA_trip_count,word,cold-start protection channel A trip count
0x0040b562,protection_coldStart_channelA_debounce_count,word,cold-start protection channel A debounce
0x0040b564,protection_coldStart_channelB_trip_count,word,cold-start protection channel B trip count
0x0040b568,protection_coldStart_channelB_debounce_count,word,cold-start protection channel B debounce
0x0040b572,fuel_temp_derate_entry_counter,word,debounce before fuel_temp_derate_active_latch
0x0040b574,fuel_temp_derate_cycles_below_threshold,word,cycles fuel temp below threshold (cold start)
0x0040b576,fuel_temp_derate_cycles_protected,word,subset of below-threshold cycles with protection bit
0x0040b578,fuel_temp_derate_cycles_at_setpoint,word,cycles at governor setpoint below fuel-temp threshold
0x0040b596,protection_throttle_error_delta,dword,D-term of protection throttle error
0x0040bbbc,protection_throttle_position_received,word,raw received HPCR throttle position pre-clamp
0x0040c14c,protection_throttle_hpcr_setpoint,word,adjusted throttle setpoint for HPCR dispatch
0x0040c1c0,protection_throttle_hpcr_period,dword,1000000/period_cal HPCR rate for J1939 dispatch
0x0040b5d5,fuel_demand_uart_error_count,byte,UART framing/overrun/parity error count
