batch_id,variable_address,ref_count
0,0x0040655c,5
0,0x0040a5c6,5
0,0x0040a5c8,8
0,0x0040a5e0,7
1,0x00408736,6
1,0x0040b0a8,5
1,0x0040b1e8,5
1,0x0040b230,6
1,0x0040b232,8
1,0x0040b234,7
1,0x0040b236,8
1,0x0040b238,11
1,0x0040b23a,8
1,0x0040b23c,5
1,0x0040b23e,5
1,0x0040b240,8
1,0x0040b254,11
1,0x0040b532,8
1,0x0040b534,10
2,0x00408862,5
2,0x00408868,7
2,0x0040b292,5
2,0x0040b296,8
2,0x0040b29a,11
2,0x0040b29c,7
2,0x0040b2a2,6
2,0x0040b2a4,12
2,0x0040b2a8,15
2,0x0040b2aa,6
2,0x0040b2ae,10
2,0x0040b2bc,7
2,0x0040b2c0,12
2,0x0040b2c2,6
2,0x0040b2c4,8
3,0x004088d9,5
3,0x004088de,6
3,0x0040b2f4,16
3,0x0040b2f8,5
3,0x0040b9aa,5
3,0x0040b9b4,6
4,0x00408dfc,8
4,0x00408e0c,6
4,0x00408e68,8
4,0x0040b696,5
4,0x0040b69e,5
4,0x0040b6b0,6
4,0x0040b6b6,5
4,0x0040b6bc,7
4,0x0040b6be,6
4,0x0040b6c0,7
4,0x0040b6c8,14
4,0x0040b6ca,10
4,0x0040b6de,14
5,0x00408f4c,8
6,0x004090e8,13
6,0x004090f3,5
6,0x004090f5,10
6,0x0040b856,5
6,0x0040b877,13
7,0x00409ebc,6
8,0x00409f96,5
8,0x0040ba30,12
8,0x0040ba32,10
8,0x0040ba34,11
8,0x0040ba42,6
9,0x00409fe2,5
10,0x0040a02a,12
11,0x0040a034,5
12,0x0040a11c,5
12,0x0040aaa6,6
12,0x0040aab4,9
12,0x0040c05f,6
13,0x0040a162,11
13,0x0040a198,6
13,0x0040a19c,6
14,0x0040a44c,8
14,0x0040a44e,5
15,0x0040a5a2,5
16,0x0040a5be,5
16,0x0040a5dc,7
17,0x0040a5f4,5
17,0x0040a600,9
18,0x0040a666,5
18,0x0040a66e,5
19,0x0040a67a,7
19,0x0040a7d4,6
20,0x0040a6b6,5
20,0x0040a6ba,9
21,0x0040a782,5
21,0x0040a786,9
21,0x0040a78a,7
21,0x0040a790,5
22,0x0040a792,8
23,0x0040aaa4,8
23,0x0040aac8,5
24,0x0040ae6c,6
25,0x0040af06,5
25,0x0040af0c,15
26,0x0040af07,6
27,0x0040af08,5
28,0x0040afd8,17
29,0x0040afe8,8
29,0x0040afea,14
29,0x0040be36,8
30,0x0040aff8,5
31,0x0040b046,8
31,0x0040b04a,5
32,0x0040b084,9
32,0x0040b086,5
32,0x0040b08a,5
32,0x0040be28,6
33,0x0040b0fa,6
33,0x0040b5a0,5
33,0x0040b5a2,10
34,0x0040b19e,6
34,0x0040b32e,5
34,0x0040b330,5
34,0x0040b332,9
34,0x0040b336,6
35,0x0040b1a0,13
35,0x0040b32c,6
36,0x0040b1e6,11
36,0x0040b1e7,16
37,0x0040b1f8,5
38,0x0040b1fe,6
38,0x0040b200,6
39,0x0040b22c,5
40,0x0040b2c8,10
40,0x0040b2ca,7
40,0x0040b2cc,12
40,0x0040b2ce,5
41,0x0040b2d0,6
41,0x0040b2d2,5
42,0x0040b32a,7
43,0x0040b33e,12
43,0x0040b340,8
43,0x0040b344,10
43,0x0040b34a,7
43,0x0040b9ea,10
44,0x0040b342,9
45,0x0040b3fd,10
45,0x0040b51a,14
46,0x0040b52e,13
46,0x0040b530,5
47,0x0040b536,6
48,0x0040b540,5
48,0x0040b548,8
49,0x0040b560,9
49,0x0040b566,9
50,0x0040b570,9
51,0x0040b57a,9
51,0x0040b57c,7
51,0x0040b57f,7
51,0x0040b583,5
51,0x0040b585,11
51,0x0040b586,7
51,0x0040b58a,5
51,0x0040b58b,8
52,0x0040b59a,6
53,0x0040b5ce,10
54,0x0040b626,5
55,0x0040b638,7
55,0x0040b63c,5
55,0x0040b788,13
55,0x0040ba48,5
55,0x0040ba52,5
55,0x0040ba56,7
55,0x0040ba58,8
55,0x0040ba60,5
56,0x0040b66c,9
57,0x0040b68a,5
58,0x0040b840,13
58,0x0040b844,5
58,0x0040b852,5
59,0x0040b8ba,9
59,0x0040b8c0,8
60,0x0040b8d4,6
61,0x0040b8d6,6
61,0x0040b8d8,5
61,0x0040b8de,5
61,0x0040b8e2,6
61,0x0040b900,5
61,0x0040b904,5
62,0x0040b8e4,7
62,0x0040b8ec,6
63,0x0040b938,5
63,0x0040b942,5
63,0x0040b948,5
63,0x0040b952,6
63,0x0040b95a,7
64,0x0040b960,5
64,0x0040b986,5
64,0x0040b992,6
64,0x0040b99a,6
65,0x0040b962,6
65,0x0040b968,10
65,0x0040b96e,6
65,0x0040b970,6
65,0x0040b97e,5
65,0x0040b984,15
66,0x0040b99e,6
66,0x0040b9a0,6
67,0x0040b9a6,14
68,0x0040b9b6,10
69,0x0040b9b8,7
69,0x0040b9b9,7
69,0x0040b9bc,5
69,0x0040b9c0,11
69,0x0040b9c2,7
70,0x0040b9c4,5
70,0x0040b9c6,9
71,0x0040b9d8,7
71,0x0040b9dc,7
71,0x0040b9e2,7
72,0x0040b9ee,7
72,0x0040ba10,7
72,0x0040ba13,7
72,0x0040ba14,5
73,0x0040ba62,7
73,0x0040ba68,6
74,0x0040bb88,5
75,0x0040c270,14
75,0x0040c274,10
75,0x0040c284,6
