address,proposed_name,type,confidence,agent
0x0040afd8,fuel_demand_mode_flags_working,word,high,01
0x0040b2f4,tpu_rpm_ema_filtered,word,high,01
0x0040b1e7,protection_event26_condition_code,byte,high,01
0x0040b1e6,protection_event26_condition_code_b,byte,high,01
0x004088de,tpu_rpm_crank_teeth_isb,word,medium,01
0x0040b9b4,governor_setpoint_rpm_deviation_count,word,high,01
0x004088d9,tpu_rpm_timer_prescaler,byte,high,01
0x0040b2f8,tpu_rpm_raw_period,dword,high,01
0x0040b9aa,rpm_camSync_window_mid,word,high,01
0x0040b2c4,egr_coolant_temp_filtered,word,high,02
0x0040b29a,egr_warmup_phase_state,word,high,02
0x0040b2a4,egr_governor_speed_floor,word,high,02
0x0040b2ae,egr_governor_speed_target,dword,high,02
0x0040b2aa,egr_governor_speed_integral,dword,high,02
0x0040b292,egr_fuel_demand_speed_floor,word,high,02
0x0040b296,egr_load_speed_floor,word,high,02
0x0040b2a2,egr_rpm_proportional_speed_limit,word,high,02
0x0040b29c,cold_start_mode_active_flag,word,high,02
0x0040b2a8,cold_start_fuel_demand_mode_code,word,high,02
0x0040b2bc,governor_fuel_demand_i_term,word,high,02
0x0040b2c0,cold_start_fuel_demand_output,word,high,02
0x0040b2c2,cold_start_injection_protection_flag,word,high,02
0x00408862,egr_governor_speed_base,word,high,02
0x00408868,egr_governor_speed_ramp_target,word,high,02
0x0040af06,fault_aging_triggered_flag,byte,high,03
0x0040af0c,fault_ring_handled_bitmap,byte,high,03
0x0040b962,injection_timing_arb_component_4,word,med,03
0x0040b968,injection_timing_arb_component_3,word,med,03
0x0040b96e,injection_timing_offset_boost_blended,word,high,03
0x0040b970,injection_timing_offset_coolant_trim,word,high,03
0x0040b97e,injection_timing_arb_component_5,word,med,03
0x0040b984,injection_timing_offset_arbitrated,word,high,03
0x0040b696,cruise_deadband_active_flag,word,high,04
0x0040b69e,cruise_zone_transition_flag,word,high,04
0x0040b6b0,cruise_ramp_rate_b_working,word,high,04
0x0040b6b6,cruise_ramp_rate_c_working,word,high,04
0x0040b6bc,cruise_ramp_rate_d_working,word,high,04
0x0040b6be,cruise_speed_offset_latched,word,high,04
0x0040b6c0,governor_cruise_zone_table_ptr,pointer,high,04
0x0040b6c8,governor_cruise_speed_error_working,word,high,04
0x0040b6ca,governor_cruise_speed_error_net,word,high,04
0x0040b6de,governor_cruise_fuel_demand_delta,word,high,04
0x00408dfc,governor_cruise_fuel_demand_setpoint,word,medium,04
0x00408e0c,cruise_speed_offset_default,word,high,04
0x00408e68,governor_cruise_fuel_demand_min,word,high,04
0x0040afe8,egr_fuel_pressure_ratio,word,med,05
0x0040afea,egr_fuel_pressure_integrator,word,med,05
0x0040be36,fuel_smoke_limit_mode,word,high,05
0x0040b3fd,j1939_msg_slot_e_command,byte,high,05
0x0040b51a,j1939_governor_auth_status_flags,byte,med,05
0x0040b9a6,engine_cssc_coolant_state,word,high,05
0x0040c270,diag_dm1_buffer_start_ptr,pointer,high,05
0x0040c274,diag_dm1_buffer_end_ptr,pointer,high,05
0x0040c284,diag_dm1_buffer_fill_state,word,high,05
0x004090e8,injection_timing_tooth_count,byte,med,05
0x004090f3,injection_timing_angle_threshold,word,med,05
0x004090f5,injection_timing_tooth_base_index,byte,med,05
0x0040b856,injection_timing_table_offset,word,high,05
0x0040b877,injection_tpu_timing_mode,byte,high,05
0x0040b1a0,calibBlock1_adaptive_trim_working,word,high,06
0x0040b32c,calibBlock1_eeprom_write_pending_flag,word,high,06
0x0040b52e,protection_fuel_demand_limit_ramp,word,high,06
0x0040b530,protection_fuel_demand_debounce_count,word,high,06
0x0040b638,fuel_consumption_tick_increment,dword,high,06
0x0040b63c,injection_timing_period_delta,dword,high,06
0x0040b788,crank_period_running_total,dword,high,06
0x0040ba48,cssc_elapsed_time_delta,word,high,06
0x0040ba52,cssc_coolant_temp_snapshot,word,high,06
0x0040ba56,cssc_oiltemp_baseline,word,high,06
0x0040ba58,cssc_warmup_budget_remaining,word,high,06
0x0040ba60,cssc_conditioning_cycle_count,word,high,06
0x0040b840,injection_timing_aux_output,word,high,07
0x0040ba30,cam_sync_fueltemp_validation_state,word,high,07
0x0040a02a,sensor_channel_ratio_scale,word,med,07
0x0040b2cc,governor_speed_decel_target,word,high,07
0x0040ba34,cam_sync_oiltemp_validation_state,word,high,07
0x0040ba32,cam_sync_crossval_b_state,word,high,07
0x0040b2c8,governor_speed_overspeed_ramp_step,word,high,07
0x0040ba42,cam_sync_startup_cycle_counter,word,high,07
0x0040b844,injection_timing_aux_load_limit,word,high,07
0x0040b852,injection_timing_aux_rpm_limit,word,high,07
0x00409f96,cam_sync_sensor_mismatch_threshold,word,high,07
0x0040b2ce,governor_speed_ramp_upper_step,word,high,07
0x0040b2ca,governor_speed_ramp_lower_step,word,high,07
0x0040b33e,iat_protection_derate_level,word,high,08
0x0040b340,iat_protection_solenoid_phase,word,high,08
0x0040b344,iat_protection_shutdown_reason,word,high,08
0x0040b34a,iat_protection_oilTemp_input,word,high,08
0x0040b9ea,iat_protection_remaining_derate_steps,word,high,08
