address,ref_count,range,tier,batch_id
0x003feb92,56,003fxxxx,clean,10
0x003fed98,56,003fxxxx,clean,10
0x003feb93,39,003fxxxx,clean,10
0x003fd1b4,39,003fxxxx,in_window,84
0x003fea08,38,003fxxxx,clean,28
0x003fe9d4,35,003fxxxx,clean,10
0x003fd108,34,003fxxxx,in_window,77
0x003fd948,31,003fxxxx,in_window,102
0x003fd942,29,003fxxxx,in_window,52
0x003fe9e8,28,003fxxxx,clean,23
0x003fed91,25,003fxxxx,clean,10
0x003fe9c0,25,003fxxxx,clean,106
0x003fcea1,23,003fxxxx,in_window,52
0x003fee66,20,003fxxxx,clean,65
0x003fd213,20,003fxxxx,in_window,90
0x003fd0c6,19,003fxxxx,in_window,76
0x003fdca8,18,003fxxxx,clean,59
0x003fd032,18,003fxxxx,in_window,70
0x003fd1e8,18,003fxxxx,in_window,89
0x0040afd8,17,0040xxxx,clean,28
0x003fce35,17,003fxxxx,in_window,49
0x003fd1ea,17,003fxxxx,in_window,89
0x0040b2f4,16,0040xxxx,clean,3
0x0040b1e7,16,0040xxxx,clean,36
0x003fbcaa,16,003fxxxx,in_window,14
0x003fbd42,16,003fxxxx,in_window,19
0x003fcf02,16,003fxxxx,in_window,58
0x003fcf3c,16,003fxxxx,in_window,60
0x003fd104,16,003fxxxx,in_window,77
0x0040b2a8,15,0040xxxx,clean,2
0x0040af0c,15,0040xxxx,clean,25
0x0040b984,15,0040xxxx,clean,65
0x003fd1b0,15,003fxxxx,in_window,84
0x003fd222,15,003fxxxx,in_window,90
0x0040b6c8,14,0040xxxx,clean,4
0x0040b6de,14,0040xxxx,clean,4
0x0040afea,14,0040xxxx,clean,29
0x0040b51a,14,0040xxxx,clean,45
0x0040b9a6,14,0040xxxx,clean,67
0x0040c270,14,0040xxxx,clean,75
0x003fea38,14,003fxxxx,clean,10
0x003fd93c,14,003fxxxx,in_window,52
0x003fd93f,14,003fxxxx,in_window,52
0x004090e8,13,0040xxxx,clean,6
0x0040b877,13,0040xxxx,clean,6
0x0040b1a0,13,0040xxxx,clean,35
0x0040b52e,13,0040xxxx,clean,46
0x0040b788,13,0040xxxx,clean,55
0x0040b840,13,0040xxxx,clean,58
0x003fdfb8,13,003fxxxx,clean,18
0x003fbd46,13,003fxxxx,in_window,19
0x003fcd92,13,003fxxxx,in_window,37
