"name","comment","type","length","unit","memory_address","id","name_short","filename","inserted_at","full_name"
"ConfigFile.4DTA00XA","ENGINE SPEED AXIS FOR THE TRANSIENT TIMING ADVANCE TABLE (17 ~0 - 3000","4","19","RPM","00060D1E",1,"4DTA00XA","64t6","2025-08-29 09:25:34.670646","4DTA00XA"
"4DTA00YA","FUELING  AXIS FOR THE TRANSIENT TIMING TABLE (16 VALUES)~0 - 100","4","16","MM3S","00060D1E",2,"4DTA00YA","64t6","2025-08-29 09:25:34.670646","4DTA00YA"
"ConfigFile.4DTA00ZA","TIMING ADVANCE LOOK-UP TABLE FOR TRANSIENT ENGINE OPERATION (1~0 - 120","6","2","DADV","00060D1E",3,"4DTA00ZA","64t6","2025-08-29 09:25:34.670646","4DTA00ZA"
"ConfigFile.4DTA01XA","ENGINE SPEED AXIS FOR THE STEADY STATE TIMING ADVANCE TABLE (~0 - 3000","4","19","RPM","00060A74",4,"4DTA01XA","64t6","2025-08-29 09:25:34.670646","4DTA01XA"
"4DTA01YA","FUELING AXIS FOR THE STEADY STATE TIMING TABLE (16 VALUES)~0 - 100","4","16","MM3S","00060A74",5,"4DTA01YA","64t6","2025-08-29 09:25:34.670646","4DTA01YA"
"ConfigFile.4DTA01ZA","TIMING ADVANCE LOOK-UP TABLE FOR STEADY STATE ENGINE OPERATION~0 - 120","6","2","DADV","00060A74",6,"4DTA01ZA","64t6","2025-08-29 09:25:34.670646","4DTA01ZA"
"ConfigFile.4DTBTA","TIMING ADVANCE VALUE CALCULATED FROM THE 4D TIMING TABLE -VALI~0 - 120","0","2","DADV","0080D344",7,"4DTBTA","64t6","2025-08-29 09:25:34.670646","4DTBTA"
"ConfigFile.5DFL00XA","ENGINE SPEED AXIS FOR THE TRANSIENT 4D FUELING TABLE (21 VALU~0 - 3000","4","21","RPM","00060982",5894,"5DFL00XA","64t6","2025-08-29 21:36:26.692202","5DFL00XA"
"5DFL00YA","THROTTLE AXIS FOR THE TRANSIENT 4D FUELING TABLE (4 VALUES)~0 -100","4","4","%","00060982",9,"5DFL00YA","64t6","2025-08-29 09:25:34.670646","5DFL00YA"
"ConfigFile.5DFL01XA","ENGINE SPEED AXIS FOR THE STEADY STATE 4D FUELING TABLE (21 V~0 - 3000","4","21","RPM","000608A4",11,"5DFL01XA","64t6","2025-08-29 09:25:34.670646","5DFL01XA"
"5DFL01YA","THROTTLE AXIS FOR THE STEADY STATE 4D FUELING TABLE (4 VALUES)~0 -100","4","4","%","000608A4",12,"5DFL01YA","64t6","2025-08-29 09:25:34.670646","5DFL01YA"
"ConfigFile.5DFLAJ","INCREMENTAL FUELING VALUE ADDED TO 4-D FUELING VALUE~-8.7 - 8.7","0","2","MM3S","01000430",14,"5DFLAJ","64t6","2025-08-29 09:25:34.670646","5DFLAJ"
"ConfigFile.5DIRMXFL","MAXIMUM USER FUELING ALLOWED~0-100","0","2","%FU","0080D342",15,"5DIRMXFL","64t6","2025-08-29 09:25:34.670646","5DIRMXFL"
"ConfigFile.AAPRSNST","ENABLE FLAG THAT INDICATES PRESENCE OF AN AMBIENT AIR PRESS~TRUE/FALSE","0","2","NONE","00807CF8",16,"AAPRSNST","64t6","2025-08-29 09:25:34.670646","AAPRSNST"
"ConfigFile.ACACDBCU","ALG EXECUTIONS TO SUSPEND AC AFTER SHUTOFF FROM ACCEL~0 - 3600","0","2","SEC","00807A02",18,"ACACDBCU","64t6","2025-08-29 09:25:34.670646","ACACDBCU"
"ConfigFile.ACCHEA","COMMAND TO A/C COMPRESSOR CLUTCH SOLENOID~ON/OFF","0","2","1-ON","0080A27E",19,"ACCHEA","64t6","2025-08-29 09:25:34.670646","ACCHEA"
"ConfigFile.ACCHHY","HYSTERESIS DURATION ON AC COMPRESSOR CLUTCH~0 - 3600","0","2","SEC","008079FE",20,"ACCHHY","64t6","2025-08-29 09:25:34.670646","ACCHHY"
"ConfigFile.ACCLFBPZ","PRIORITY OF THE CLIENT WHICH IS CURRENTLY OVERRIDING RLY7 FEED~00 - FF","0","1","HEX","0080BD75",21,"ACCLFBPZ","64t6","2025-08-29 09:25:34.670646","ACCLFBPZ"
"ConfigFile.ACCLFBUO","BIT 14, AN ENABLE FLAG WHICH ALLOWS A CLIENT TO OVERRID~ENABLE/DISABLE","1","2","NONE","010001A8",5892,"ACCLFBUO","64t6","2025-08-29 21:36:26.689449","ACCLFBUO"
"ConfigFile.ACCLFBUV","CLIENT SPECIFIED VALUE FOR THE RLY7 FEEDBACK~ON/OFF","1","1","NONE","0080BCDD",5891,"ACCLFBUV","64t6","2025-08-29 21:36:26.688022","ACCLFBUV"
"ConfigFile.ACCLPZ","PRIORITY OF THE CLIENT WHICH IS CURRENTLY OVERRIDING RLY7~00-FF","0","1","HEX","0080BD25",22,"ACCLPZ","64t6","2025-08-29 09:25:34.670646","ACCLPZ"
"ConfigFile.ACESDB","SPEED BELOW WHICH AC CLUTCH IS DISABLED~0-4500","0","2","RPM","00807A06",24,"ACESDB","64t6","2025-08-29 09:25:34.670646","ACESDB"
"ConfigFile.ACHIAC","RAPID VEHICLE ACCEL FLAG~ON/OFF","0","2","1-ON","0080A280",25,"ACHIAC","64t6","2025-08-29 09:25:34.670646","ACHIAC"
"ConfigFile.ACSWCULM","THRESHOLD ON SW ERR COUNTER FOR FAULT~0 - 3600","0","2","SEC","00807A04",26,"ACSWCULM","64t6","2025-08-29 09:25:34.670646","ACSWCULM"
"ConfigFile.ACSWERCU","COUNTER FOR CYCLE, HIGH PRESS MISMATCH~0 - 3600","0","2","SEC","0080A282",27,"ACSWERCU","64t6","2025-08-29 09:25:34.670646","ACSWERCU"
"ConfigFile.ACVSACCO","ACCEL THRESHOLD TO DISABLE A/C~-1200 - 1200","0","2","MPHS","00807A00",28,"ACVSACCO","64t6","2025-08-29 09:25:34.670646","ACVSACCO"
"ConfigFile.ADAAPRCA","AMBIENT_AIR_PRESSURE_CHANNEL_ADDRESS~NONE","0","2","NONE","00806C12",29,"ADAAPRCA","64t6","2025-08-29 09:25:34.670646","ADAAPRCA"
"ConfigFile.ADAAPRCC","A/D FAULT CLEAR COUNTS FOR AMBIENT AIR PRESSURE~0-32767","0","2","","00806C06",30,"ADAAPRCC","64t6","2025-08-29 09:25:34.670646","ADAAPRCC"
"ConfigFile.ADAAPRCS","A/D DIGITAL FILTER CONSTANT FOR AMBIENT AIR PRESSURE~0 - 1","0","2","","00806C02",31,"ADAAPRCS","64t6","2025-08-29 09:25:34.670646","ADAAPRCS"
