address,newName
0x0000a5c0,initFuelSystemOutputDriver
0x0000a5e2,messageTypeToChannelMapper
0x0000a6fa,sensorFaultDebounceMonitor
0x0000a16a,rpm_rate_limiter
0x0000a30c,shutdownMinimumSelector17
0x0000a32a,highRpmFuelControlLimiter
0x0000a44c,lowRpmFuelProtectionLimiter
0x0000a53e,dmaControllerSetup1
0x0000a56e,dmaDescriptorSetup1
0x0000a204,rpm_system_state_controller
0x0000a428,fuelLimitMinimumSelector
0x0000a598,dmaDescriptorSetup2
0x0000a626,diagnosticMessageQueueWrite
0x0000ac1c,initADCChannelConfiguration
0x0000afa0,diagnostic_fuel_calculation_with_vp44_monitoring
0x0000b0b0,shutdownMinimumSelector16
0x0000b0ce,diagnosticTimingIncrementController
0x0000b0fe,fuelAdjustmentWithFlagUpdate
0x0000b2ee,fuelSourceOilPressureConditionChecker
0x0000b3ae,timingProtectionFlagsOrchestrator
0x0000b05c,timingParameterPointerSetup
0x0000b18c,fuelTimingModeArbitrationSlowCycle40Coordinator
0x0000b27e,fuelTableBlendResultHandler
0x0000b35c,fuelModeTransitionCountdownHandler
0x0000b47e,shutdownProtectionCalculator
0x0000b130,vp44TimingConditionChecker
0x0000b314,fuelSourceMode11CountdownHandler
0x0000b528,fuelParameterPointerSetup
0x0000b556,shutdownMinimumSelector15
0x0000b574,rpmParameterPointerSetup
0x0000b594,targetRpmRateLimiter
0x0000b656,engine_speed_governor
0x0000bdd4,diagnosticDataCopyHandler
0x0000be7c,diagnosticStatus30Setter
0x0000be96,diagnosticStatus2Initializer
0x0000bf0a,diagnosticState2Initializer
0x0000bf2e,derate_application_controller
0x0000bf9c,initDerateSystemPointers
0x0000bfbc,diagnosticValueCalculator
0x0000c0e6,diagnosticState7Setter
0x0000c33e,initBoostProtectionSystem
0x0000c084,diagnosticStatus7Initializer
0x0000c100,diagnosticTablePointerSetup
0x0000c144,tpuTimerInitializer
0x0000c264,boostPressureControlInit
0x0000c272,engineProtectionSystemInit
0x0000c368,periodicIoAndCanFaultMonitor
0x0000caa8,diagnosticMessageTransmissionManager
0x0000cb1e,insiteParameterResponseBuilder
0x0000d7c0,fuelTableBlendInterpolation
0x0000d71a,diagnosticDataBufferSetup
0x0000d85e,fuelParameterBlendCalculator
0x0000d90a,fuelOffsetCalculator
0x0000d984,fuelModeSelectionCalculator
0x0000e02c,canBusTimingInit
0x0000e200,rpm_derate_calculation_and_fault_processing
0x0000e478,derateThresholdMonitorAndFaultController
0x0000eacc,initDerateSystem
0x0000eb5a,kickdownSignalSlowCycle40Coordinator
0x0000ebd2,initAcControlSystem
0x0000f1ae,validateRedundantSensors
0x0000f4ea,firmwareDataCopyToWorkingMemory
0x0000f8b6,waterInFuelFaultValidation
0x0000f8d8,activateHighRpmShutdownFlag
0x0000f8f6,triggerDiagnosticSystemReset
0x0000f9e4,requestSecuredShutdown
0x0000f9f0,canMessageBufferLogger
0x0000f86a,enableFaultFlagScanner
0x0000f89c,waterInFuelFaultClear
0x0000f876,waterInFuelDetectionStateInit
0x0000fd68,coldStartFuelControlSlowCycle40Coordinator
0x1C10E,sendJ1939MultiFrame
0x1C538,vp44FuelTempHandler
0x1C846,vp44CanMessageDispatcher
0x0001a5b0,fuelArbitratorControlService
0x0001a97e,extendedDiagnosticService4F
0x0001a192,diagnosticMessage45Builder
0x0001a910,extendedDiagnosticService4C
0x0001ac64,extendedDiagnosticService51
0x0001aca8,diagnosticMessage53Builder
0x0001aef4,canMessageFilterInit
0x1af38,timerSchedulerSetup
0x0001afe4,phase3_periodic_task_scheduler
0x1b1b4,coreSystemControlFunction
0x1b1f4,timerBasedTaskScheduler
0x0001b07c,emptyPlaceholderInit
0x0001b7ca,addressLookupFunction
0x0001b7e8,diagnosticServiceSecurityValidator
0x1b9da,memoryRegisterController
0x0001b37a,memoryOperationDispatcher
0x1b172,systemFunction4xParameterizedAlt
0x0001b314,phase3_retarder_condition_monitor
0x1b762,systemFunction6xParameterized
0x1bd58,systemFunction1xCaller
0x0001bd76,diagMemoryReadResponseBuilder
0x0001bedc,diagMemoryReadWithOffsetBuilder
0x0001bf18,diagMemoryReadService43Handler
0x0001bf64,diagMemoryReadService46Handler
0x0001bfc8,diagMemoryReadService48Handler
0x0001c0c2,registerDiagnosticMemoryServices
0x1c0c2,systemFunction5xCaller
0x0001c02e,diagMemoryReadService4aHandler
0x1c3d2,messageErrorHandler
0x1c4c0,vp44MessageTransmitter
0x1c7ca,diagnosticErrorHandler
0x1c8b6,unknownMessageHandler
0x1c33e,diagnosticParamRequestHandler
0x0001c076,diagMemoryReadService4cHandler
0x1c776,diagnosticStatusRequestHandler
0x1c996,diagnosticMessageProcessor
0x1cabe,vp44ResponseTimeoutHandler
0x1cad6,messageQueueDispatcher
0x1cc38,systemStatusProcessor
0x0001d4bc,ioControlStateMachineWithDelay
0x0001d7d2,ioControlPinSwitchingWrapper
0x0001d7dc,initIoControlRegister
0x0001d7ec,initTimerCounterDefaults
0x0001d19c,diagnosticMessageValidator
0x0001d29c,phase3_countdown_timer_manager
0x0001d34e,diagnosticStateInitializer
0x0001d40c,ioControlRegisterBitMapper
0x0001e3a8,initLookupTablePointers1
0x0001e8a6,intakeTemperatureTablesInit
0x0001e36a,epsTimingCalculationSlowCycle40Coordinator
0x0001e140,epsSignalQualityValidator
0x0001e210,camSyncDiagnosticProcessor
0x0001e462,governorFuelPidController
0x0001ecf6,fuelTimingOffsetCalculator
0x0001ee02,initVP44StatusFlags
0x0001ee5c,engineModeTimingAdjuster
0x0001ef18,timingOffsetCalculatorWrapper
0x0001f1e0,memcpy
0x0001f1fa,dualTableFuelInterpolationCalculator
0x0001f2ce,crankFuelAndTimingBufferStore
0x0001f4f8,crankFuelCalculationAndProtection
0x0001f7cc,initParameterScalingSystem
0x0001f8aa,fuelSmokeLimiterCalculator
0x0001f23e,initRpmLookupTables
0x0001f28c,crankStateVariablesReset
0x0001f090,initTPU
0x0001f860,pwmOutputInit
0x2a1a0,diagnosticDM5PGN_65230_Builder
0x2a2f2,buildPgn61444_ProprietarySpeed
0x0002a5da,secondaryParamPGN_65247_Builder
0x0002a7f8,extendedDiagPGN_65251_Builder
0x2a8da,engineFluidLevelPGN_65263_Builder
0x2a29c,diagnosticDM11PGN_65234_Builder
0x0002a45c,buildProprietaryLoadStatusMessage
0x0002a51e,cumminsProprietaryDM_983_Builder
0x2a57e,configParamCanBuilder
0x0002a61e,fuelParameterCanMessageBuilder
0x2a090,diagnosticDM4PGN_65229_Builder
0x2a93a,engineFluidLevelDataBuilder
0x2a222,diagnosticDM8PGN_65232_Builder
0x2a418,vp44Command0x100Builder
0x2aa74,engineTemperaturePGN_65262_Builder
0x2aade,torqueControlDataBuilder
0x2aba4,cumminsProprietaryTSC_PGN_15728640_Builder
0x2ac7a,intakeExhaustConditionsPGN_65257_Builder
0x2acd0,fuelEconomyDataBuilder
0x2ada8,fuelEconomyPGN_65266_Builder
0x2ae60,ioControlPGN_65244_Builder
0x2aee2,engineHoursPGN_65252_Builder
0x2afca,intakeManifoldPGN_65526_Builder
0x2b0cc,retarderConfigDataBuilder
0x2b1f6,retarderConfigPGN_65249_Builder
0x2b3fc,vehicleHoursPGN_65255_Builder
0x0002b4c2,engine_protection_coordinator
0x0002b4fe,initMultiSystemParameters
0x2b29e,vehicleDistancePGN_65248_Builder
0x0002b46a,initLoopCounter
0x2b060,cruiseControlPGN_65264_Builder
0x2b338,electronicBrakePGN_65527_Builder
0x2b452,incrementCounters
0x0002b544,addressRangeValidator
0x0002baf0,delayWithWatchdogService
0x0002bb6c,engineDataTrendingSlowCycle40Coordinator
0x0002bbc0,fuelDemandBasedParameterCalculator
0x0002bc2a,vp44_rpm_derate_monitor
0x0002bc62,diagnostic_protection_coordinator
0x0002c4f0,diagnosticFlagResetHandler
0x0002c7e0,update_engine_protection_thresholds
0x0002c99a,engine_protection_init
0x0002c240,initDiagnosticModeSystem
0x0002cb6a,boost_pressure_control_and_diagnostics
0x0002d6a2,boostPressureFeedbackController
0x0002d7b4,boostPressureProtectionStateMachine
0x0002dc1e,fuelTempProtectionLimitCalculator
0x0002de2e,shutdownLimitSelector
0x0002de92,crankDataBufferStore
0x0002dfd0,crankAndProtectionStateMonitor
0x0002e3ee,boostPressureTargetCalculator
0x0002e8f2,clutchOperatingStatisticsTracker
0x0002e336,engineParameterControllerWithTimer
0x0002eeac,vp44FaultProtectionController
