address,name,type,comment,length,calterm_type,unit,data_pattern
0x00000000,calibration_download_size_n_a,dword,CALIBRATION DOWNLOAD SIZE,4,0,HEX,parameter
0x00000008,exception_vector_bus_error,dword,MC68000 Bus Error exception vector - called from systemResetWithDiagnostic,4,0,,vector
0x00000010,ROM_DATE,byte,CalTerm ROM_DATE: BOOT LOADER RELEASE DATE,6,2,HEX,value
0x00000014,bootloader_code_end_address,dword,End address of bootloader code - used by flashBootloaderProgrammer for bounds check,4,0,,pointer
0x00004000,eeprom_primary_base_address,dword,EEPROM primary calibration data base address - copied to RAM by calibrationDataCopyWithChecksum,4,0,,address
0x00004400,eeprom_insite_data_base_address,dword,EEPROM INSITE version/ID data base - copied to flash_program_block_2_buffer,4,0,,address
0x00004404,insite_version_string_part_1,byte,INSITE version string part 1 - 5 bytes copied by insiteVersionInfoBuilder,5,2,,string
0x00004409,insite_version_string_part_2,byte,INSITE version string part 2 - 17 bytes software ID copied by insiteVersionInfoBuilder,17,2,,string
0x0000441a,insite_version_string_part_3,byte,INSITE version string part 3 - 4 bytes copied by insiteVersionInfoBuilder,4,2,,string
0x00004445,insite_ecu_command_selector_low,byte,INSITE ECU command selector low byte - used by insiteCommandByteDispatcher,1,0,,parameter
0x00004446,insite_ecu_command_selector_high,byte,INSITE ECU command selector high byte - used by insiteCommandByteDispatcher,1,0,,parameter
0x0000444b,insite_ecu_id_part_1,byte,INSITE ECU ID part 1 - 4 bytes copied by insiteEcuIdResponseBuilder,4,2,,string
0x0000444f,insite_ecu_id_part_2,byte,INSITE ECU ID part 2 - 4 bytes copied by insiteEcuIdResponseBuilder,4,2,,string
0x0000445f,insite_ecu_id_part_3,byte,INSITE ECU ID part 3 - 12 bytes copied by insiteEcuIdResponseBuilder,12,2,,string
0x00004caa,fuel_timing_mode_blend_table,word,Fuel timing mode blend lookup table - used by fuelTimingModeBlendCalculator,2,6,,lookup
0x00004f6c,cold_ambient_air_temperature_threshold_100_255,word,COLD AMBIENT AIR TEMPERATURE THRESHOLD,2,0,DEGF,parameter
0x00004f6e,overrides_authorized_above_this_limit_100_255,word,OVERRIDES AUTHORIZED ABOVE THIS LIMIT,2,0,DEGF,parameter
0x00004f70,overrides_authorized_below_this_limit_100_255,word,OVERRIDES AUTHORIZED BELOW THIS LIMIT,2,0,DEGF,parameter
0x00006000,eeprom_secondary_base_address,dword,EEPROM secondary calibration data base - used by calibrationDataCopySecondary and eepromCalibrationWriteSecondary,4,0,,address
0x00006400,firmware_vector_table_base,dword,Firmware vector table base address (5 refs),4,0,,pointer
0x00007e3e,can_memory_pointer_table_entry_2,dword,CAN memory pointer table entry 2 - used by canMemoryPointerTableInit and vp44CommunicationTestAndInit read,4,0,,pointer
0x0000800e,BLOKDATA,byte[60],NONE,60,2,HEX,data
