address,name,type,comment,length,calterm_type,unit,data_pattern
0X00060A74,4DTA01XA,byte[19],ENGINE SPEED AXIS FOR THE STEADY STATE TIMING ADVANCE TABLE (17 VALUES,19,4,RPM,axis
0X00060D1E,4DTA00ZA,word,TIMING ADVANCE LOOK-UP TABLE FOR TRANSIENT ENGINE OPERATION (9 X 17 VA,2,6,DEG,lookup
0X0080A2A6,ASANODFG,word,APPLICATION SPECIFIC ANC OVERRIDE FLAG(1 = ENGAGE ANC),2,0,NONE,flag
0X0080A2A8,ASANENF,word,APPLICATION SPECIFIC ANC ENABLE/DISABLE FLAG(SET TO FALSE TO DISABLE),2,0,NONE,flag
0X0080A2B2,ADIMTPFT,word,FILTERED AND LINEARIZED INTAKE MANIFOLD TEMPERATURE,2,0,DEGF,data
0X0080A2B4,ADIMTPUF,word,UNFILTERED AND LINEARIZED INTAKE MANIFOLD TEMPERATURE,2,0,DEGF,data
0X0080A2BA,ADIMTPRC,word,RAW COUNTS FOR INTAKE MANIFOLD TEMPERATURE,2,0,,counter
0X0080A2C8,ADFLTPFT,word,FILTERED AND LINEARIZED FUEL TEMPERATURE,2,0,DEGF,data
0X0080A2CA,ADFLTPUF,word,UNFILTERED AND LINEARIZED FUEL TEMPERATURE,2,0,DEGF,data
0X0080A2D0,ADFLTPRC,word,RAW COUNTS FOR FUEL TEMPERATURE,2,0,,counter
0X0080A2DE,ADCVFT,word,COOLANT LEVEL FILTERED AND LINEARIZED,2,0,NONE,data
0X0080A2E0,ADCVUF,word,COOLANT LEVEL LINEARIZED AND UNFILTERED,2,0,NONE,data
0X0080A2E6,ADCVRC,word,COOLANT LEVEL RAW VALUE FROM A/D CONVERTER CHANNEL 7,2,0,NONE,value
0X0080A2F4,ADSYFPFT,word,FILTERED VALUE AS READ AND SCALED FROM A/D ALGORITHM,2,0,,value
0X0080A2F6,ADSYFPUF,word,UNFILTERED AND LINEARIZED,2,0,,data
0X0080A2FC,ADSYFPRC,word,RAW COUNTS,2,0,,counter
0X0080A3A4,ADROTHFT,word,FILTERED AND LINEARIZED REMOTE THROTTLE,2,0,PERC,data
0X0080A3A6,ADROTHUF,word,UNFILTERED AND LINEARIZED REMOTE THROTTLE,2,0,PERC,data
0X0080A3AC,ADROTHRC,word,RAW COUNTS FOR REMOTE THROTTLE,2,0,,counter
0X0080A3BA,ADAAPRFT,word,FILTERED AMBIENT AIR PRESSURE AS READ AND SCALED FROM A/D ALGORITHM,2,0,INHG,data
0X0080A3BC,ADAAPRUF,word,UNFILTERED AND LINEARIZED AMBIENT AIR PRESSURE,2,0,INHG,data
0X0080A3C2,ADAAPRRC,word,RAW COUNTS FOR AMBIENT AIR PRESSURE,2,0,,counter
0X0080A3D0,ADBTVTFT,word,FILTERED AND LINEARIZED BATTERY VOLTAGE,2,0,VOLT,data
0X0080A3D2,ADBTVTUF,word,UNFILTERED AND LINEARIZED BATTERY VOLTAGE,2,0,VOLT,data
0X0080A3D8,ADRWBTVT,word,RAW COUNTS FOR BATTERY VOLTAGE,2,0,,counter
0X0080A3E6,ADESSVFT,word,FILTERED VALUE AS READ AND SCALED FROM A/D ALGORITHM,2,0,NONE,value
0X0080A3E8,ADESSVUF,word,UNFILTERED AND LINEARIZED,2,0,NONE,data
0X0080A3EE,ADESSVRC,word,RAW COUNTS,2,0,,counter
0X0080A3FC,ADTHSVFT,word,FILTERED VALUE AS READ AND SCALED FROM A/D ALGORITHM,2,0,NONE,value
0X0080A3FE,ADTHSVUF,word,UNFILTERED AND LINEARIZED,2,0,NONE,data
0X0080A4AC,ADHBSVFT,word,FILTERED VALUE AS READ AND SCALED FROM A/D ALGORITHM,2,0,NONE,value
0X0080A4AE,ADHBSVUF,word,UNFILTERED AND LINEARIZED,2,0,NONE,data
0X0080A4B4,ADHBSVRC,word,RAW COUNTS,2,0,,counter
0X0080A4C2,ADOCSVFT,word,FILTERED VALUE AS READ AND SCALED FROM A/D ALGORITHM,2,0,NONE,value
0X0080A4C4,ADOCSVUF,word,UNFILTERED AND LINEARIZED,2,0,NONE,data
0X0080A4CA,ADOCSVRC,word,RAW COUNTS,2,0,,counter
0X0080A8FC,APAPST,word,INDICATOR AS TO WHICH PART OF THE ALPHA ALGORITHM IS FORCING ALPHA TO,2,0,0-3,data
0X0080A8FE,APAFSS,word,RESULT OF AFC ALGORITHM,2,0,0/1,data
0X0080A9A0,ASETRS,word,ASG EXTERNAL RESET FLAG,2,0,NONE,flag
0X0080A9A4,ASMNRP,word,ASG REFERENCE SPEED FOR 0% THROTTLE INPUT -SHOULD BE LESS THAN LSGMNRE,2,0,RPM,data
0X0080A9A6,ASMXRP,word,ASG REFERENCE SPEED FOR 100% THROTTLE INPUT -SHOULD BE GREATER THAN HS,2,0,RPM,data
0X0080A26E,BSTAMNLM,word,OUTPUT OF THE MISFIRE TIMING LIMIT TABLE,2,0,DEG,lookup
0X0080A27E,ACCHEA,word,COMMAND TO A/C COMPRESSOR CLUTCH SOLENOID,2,0,1-ON,command
0X0080A30A,ADOLPRFT,word,FLITERED AND LINEARIZED OIL PRESSURE,2,0,PSIG,data
0X0080A30C,ADOLPRUF,word,UNFILTERED AND LINEARIZED OIL PRESSURE,2,0,PSIG,data
0X0080A33E,ADRWCLTP,word,RAW COUNTS FOR COOLANT TEMPERATURE,2,0,,counter
0X0080A34C,ADTTFT,word,FILTERED AND LINEARIZED,2,0,DEGF,data
0X0080A34E,ADTTUF,word,CHANNEL 7   LINEARIZED AND UNFILTERED,2,0,DEGF,data
0X0080A36A,ADPOTPRC,word,RAW VALUE FROM A/D CONVERTER CHANNEL 7,2,0,NONE,value
0X0080A37A,ADSYEPUF,word,UNFILTERED AND LINEARIZED,2,0,NONE,data
0X0080A41A,ADVHSVRC,word,RAW COUNTS,2,0,,counter
0X0080A42A,ADECSVUF,word,ENGINE SENSOR SUPPLY VOLTAGE UNFILTERED AND LINEARIZED,2,0,NONE,data
0X0080A43E,ADFTSVFT,word,FILTERED VALUE AS READ AND SCALED FROM A/D ALGORITHM,2,0,,value
0X0080A45C,ADCRRC,word,RAW COUNTS FOR CC SWITCH MUX,2,0,,counter
0X0080A46A,ADWFFT,word,FILTERED WATER IN FUEL AS READ AND SCALED FROM A/D ALGORITHM (2=NO H2O,2,0,NONE,data
0X0080A49E,ADPSSVRC,word,RAW COUNTS,2,0,,counter
0X0080A93A,ASRSSTX5,word,ASG RESET STATE X5,2,0,%FU,data
0X0080A93C,ASRSSTX6,word,ASG RESET STATE X6,2,0,%FU,data
0X0080A93E,ASAPODMD,word,ASG APPLICATION SPECIFIC REFERENCE OVERRIDE MODE,2,0,NONE,data
0X0080A94A,ASAPLOLM,word,ASG APPLICATION SPECIFIC FUELING LOWER LIMIT,2,0,%FU,threshold
0X0080A94C,ASAPRS,word,ASG APPLICATION SPECIFIC RESET,2,0,NONE,data
0X0080A94E,ASAPSTX1,word,ASG APPLICATION SPECIFIC STATE X1 RESET VALUE,2,0,RPM,value
0X0080A95A,ASAP01PP,word,ASG APPLICATION SPECIFIC PROPORTIONAL GAIN 1,2,0,%F/R,data
0X0080A95C,ASAP02PP,word,ASG APPLICATION SPECIFIC PROPORTIONAL GAIN 2,2,0,%F/R,data
0X0080A95E,ASAP01IT,word,ASG APPLICATION SPECIFIC INTEGRAL GAIN 1,2,0,F/RS,data
0X0080A96A,ASAP03CF,word,ASG APPLICATION SPECIFIC COMPENSATION FILTER COEF. 3,2,0,NONE,data
0X0080A96E,ASERDC,word,ASG ERROR DIFFERENCE,2,0,RPM,data
0X0080A98C,ASTHRFES,word,ALL SPEED GOVERNOR REFERENCE SPEED BASED UPON THROTTLE POSITION,2,0,RPM,data
0X0080A99A,ASSLDP,word,ASG SELECTED DROOP SLOPE,2,0,R/%F,data
0X0080A99C,ASFLHILM,word,ASG FUELING HIGH LIMIT,2,0,%FU,threshold
0X0080A99E,ASFLLOLM,word,ASG FUELING LOWER LIMIT,2,0,%FU,threshold
0X0080A270,BSTABELM,word,DESIRED SOI BEFORE BEING LIMITED BY MISFIRE ALGORITHM,2,0,DEG,threshold
0X0080A280,ACHIAC,word,RAPID VEHICLE ACCEL FLAG,2,0,1-ON,flag
0X0080A312,ADOLPRRC,word,RAW COUNTS FOR OIL PRESSURE,2,0,,counter
0X0080A320,ADFTBSPR,word,FILTERED AND LINEARIZED BOOST PRESSURE,2,0,INHG,data
0X0080A322,ADUFBSPR,word,UNFILTERED AND LINEARIZED BOOST PRESSURE,2,0,INHG,data
0X0080A328,ADRWBSPR,word,RAW COUNTS FOR BOOST PRESSURE,2,0,,counter
0X0080A336,ADCLTPFT,word,FILTERED AND LINEARIZED COOLANT TEMPERATURE,2,0,DEGF,data
0X0080A338,ADCLTPUF,word,UNFILTERED AND LINEARIZED COOLANT TEMPERATURE,2,0,DEGF,data
0X0080A354,ADTTRC,word,RAW VALUE FROM A/D CONVERTER CHANNEL 7,2,0,NONE,value
0X0080A362,ADPOTPFT,word,FILTERED AND LINEARIZED,2,0,DEGF,data
0X0080A364,ADPOTPUF,word,CHANNEL 7   LINEARIZED AND UNFILTERED,2,0,DEGF,data
0X0080A378,ADSYEPFT,word,FILTERED VALUE AS READ AND SCALED FROM A/D ALGORITHM,2,0,NONE,value
0X0080A380,ADSYEPRC,word,RAW COUNTS,2,0,,counter
0X0080A390,ADSATHUF,word,UNFILTERED AND LINEARIZED THROTTLE,2,0,PERC,data
0X0080A396,ADSATHRC,word,RAW COUNTS FOR THROTTLE,2,0,,counter
0X0080A404,ADTHSVRC,word,RAW COUNTS,2,0,,counter
0X0080A412,ADVHSVFT,word,FILTERED VALUE AS READ AND SCALED FROM A/D ALGORITHM,2,0,,value
0X0080A414,ADVHSVUF,word,UNFILTERED AND LINEARIZED,2,0,,data
0X0080A428,ADECSVFT,word,FILTERED ENGINE SENSOR SUPPLY VOLTAGE AS READ AND SCALED FROM A/D ALGO,2,0,NONE,data
0X0080A430,ADECSVRC,word,ENGINE SENSOR SUPPLY VOLTAGE RAW COUNTS,2,0,CNTS,counter
0X0080A440,ADFTSVUF,word,UNFILTERED AND LINEARIZED,2,0,,data
0X0080A446,ADFTSVRC,word,RAW COUNTS,2,0,,counter
0X0080A456,ADCRUF,word,UNFILTERED AND LINEARIZED CC SWITCH MUX,2,0,NONE,data
0X0080A472,ADWFRC,word,WATER IN FUEL RAW COUNTS,2,0,CNTS,counter
0X0080A480,ADEGCFFT,word,FILTERED VALUE AS READ AND SCALED FROM A/D ALGORITHM,2,0,NONE,value
0X0080A482,ADEGCFUF,word,UNFILTERED AND LINEARIZED,2,0,NONE,data
0X0080A488,ADEGCFRC,word,RAW COUNTS,2,0,,counter
0X0080A496,ADPSSVFT,word,FILTERED VALUE AS READ AND SCALED FROM A/D ALGORITHM,2,0,NONE,value
0X0080A498,ADPSSVUF,word,UNFILTERED AND LINEARIZED,2,0,NONE,data
0X0080A900,APFLRTAP,word,RESULT OF FUEL RATE ALGORITHM,2,0,0/1,data
0X0080A902,APGVAP,word,RESULT OF ON GOVERNOR,2,0,0/1,data
0X0080A904,APLSAP,word,RESULT OF LSG ALGORITHM,2,0,0/1,data
0X0080A930,ASALPHA,word,ALPHA VALUE USED TO OVERRIDE SLAVE ECM.,2,0,NONE,value
0X0080A932,ASRSSTX1,word,ASG RESET STATE X1,2,0,RPM,data
0X0080A934,ASRSSTX2,word,ASG RESET STATE X2,2,0,%FU,data
0X0080A936,ASRSSTX3,word,ASG RESET STATE X3,2,0,RPM,data
0X0080A938,ASRSSTX4,word,ASG RESET STATE X4,2,0,%FU,data
0X0080A940,ASAPRF,word,ASG APPLICATION SPECIFIC REFERENCE SPEED,2,0,RPM,data
0X0080A942,ASAP01DP,word,ASG APPLICATION SPECIFIC DROOP GAIN 1,2,0,NONE,data
0X0080A944,ASAP02DP,word,ASG APPLICATION SPECIFIC DROOP GAIN 2,2,0,NONE,data
0X0080A946,ASAPFTCF,word,ASG APPLICATION SPECIFIC REFERENCE FILTER COEFFICIENT,2,0,NONE,data
0X0080A948,ASAPHILM,word,ASG APPLICATION SPECIFIC FUELING HIGH LIMIT,2,0,%FU,threshold
0X0080A950,ASAPSTX2,word,ASG APPLICATION SPECIFIC STATE X2 RESET VALUE,2,0,%F,value
0X0080A952,ASAPSTX3,word,ASG APPLICATION SPECIFIC STATE X3 RESET VALUE,2,0,RPM,value
0X0080A954,ASAPSTX4,word,ASG APPLICATION SPECIFIC STATE X4 RESET VALUE,2,0,%FU,value
0X0080A956,ASAPSTX5,word,ASG APPLICATION SPECIFIC STATE X5 RESET VALUE,2,0,%F,value
0X0080A958,ASAPSTX6,word,ASG APPLICATION SPECIFIC STATE X6 RESET VALUE,2,0,%F,value
0X0080A960,ASAP02IT,word,ASG APPLICATION SPECIFIC INTEGRAL GAIN 2,2,0,F/RS,data
0X0080A962,ASAP01DV,word,ASG APPLICATION SPECIFIC DERIVATIVE GAIN 1,2,0,FS/R,data
0X0080A964,ASAP02DV,word,ASG APPLICATION SPECIFIC DERIVATIVE GAIN 2,2,0,FS/R,data
0X0080A966,ASAP01CF,word,ASG APPLICATION SPECIFIC COMPENSATION FILTER COEF. 1,2,0,NONE,data
0X0080A968,ASAP02CF,word,ASG APPLICATION SPECIFIC COMPENSATION FILTER COEF. 2,2,0,NONE,data
0X0080A970,ASFBDC,word,ASG FEEDBACK DIFFERENCE TERM,2,0,RPM,data
0X0080A972,ASFTRF,word,ASG FILTERED REFERENCE SPEED,2,0,RPM,data
0X0080A992,ASDPGN01,word,ASG DROOP GAIN 1,2,0,NONE,data
0X0080A994,ASDPGN02,word,ASG DROOP GAIN 2,2,0,NONE,data
0X0080A996,ASTH01DP,word,ASG THROTTLE DROOP GAIN 1,2,0,NONE,data
0X0080A998,ASTH02DP,word,ASG THROTTLE DROOP GAIN 2,2,0,NONE,data
0X0080AA2E,CRARFG,word,CRUISE CONTROL AUTO RESUME FLAG (INACTIVE/ACTIVE/PRE_ACTIVE/RESUME/AFT,2,0,,flag
0X0080AA3C,CRBODO,word,CRUISE BOTTOM DROOP OFFSET PASSED TO THE DESIRED_CC FUELING PROCEDURE.,2,0,%FU,data
0X0080AA3E,CRBODJCL,word,SLOPE OF THE BOTTOM DROOP LINE CALCULATED IN CC/RSG DROOP,2,0,M/F,value
0X0080AA6C,CRERDP,word,CRUISE RSG ERROR AFTER DROOP,2,0,MPH,data
0X0080AA6E,CRETRS,word,FLAG INDICATING CC/RSG SHALL PERFORM A RESET,2,0,FLG,flag
0X0080AA9C,CPEPIMTP,word,EXPECTED INTAKE TEMPERATURE BASED ON MASS FUEL RATE CALCULATION,2,0,DEGF,data
0X0080AA9E,CPTAIC,word,INCREMENT TIMING VALUE OUTPUT BY CYLINDER PRESSURE MAINTENANCE ALGORIT,2,0,DEG,value
0X0080AA30,CRCM,word,CRUISE COMMAND MODE (OFF/SET/RESUME/COAST/ACCEL/BUMP DOWN/BUMP UP/HOLD,2,0,,command
0X0080AA38,CRALDP,word,STATUS OF CRUISE DROOP STATE MACHINE,2,0,T/F,data
0X0080AA40,CREVBU,word,FLAG INDICATING CRUISE GOVERNOR SHALL PERFORM A BUMPLESS GAIN/DROOP TR,2,0,FLG,flag
0X0080AA44,CRERDC,word,AMOUNT THE CRUISE/RSG MPH ERROR SIGNAL IS MODIFIED TO FORM THE DROOP C,2,0,MPH,data
0X0080AAA0,CPCYPR,word,CALCULATED CYLINDER PRESSURE,2,0,PSIA,value
0X0080BCD4,CRACELSW,byte,SOFTWARE CRUISE ACCEL SWITCH USED IN CRUISE AND PTO STATUS CALCULATION,1,0,HEX,data
0X0080BDA4,CMECTR,dword,TIME KEY SWITCH IS ON AND ECM IS RUNNING BOOT OR APPLICATION CODE,4,0,SEC,data
0X0080CCEE,CMEGTR,dword,TIME THAT THE ENGINE IS NOT IN STOP STATE,4,0,SEC,data
0X0080D0A0,CKJSTM,word,TIMER USED TO DICTATE A JUMPSTART CONDITION,2,0,SEC,data
0X0080D0A2,CKCLTAIC,word,COOLANT ADVANCE TIMING OUTPUT BY CRANK,2,0,DEG,data
0X0080D0A4,CKWSTA,word,WET STACK TIMING OUTPUTED BY CRANK,2,0,DEG,data
0X0080D0AE,CKAJIIFL,word,CRANK ADJUSTED INITIAL FUEL,2,0,MM3S,data
0X0080D0B0,CKAJIIES,word,CRANK ADJUSTED INITIAL RPM,2,0,RPM,data
0X0080D0B2,CKIIFLES,word,CRANK INITIAL FUEL BREAK SPEED,2,0,RPM,data
0X0080D0B4,CKIITAES,word,CRANK INITIAL ADVACE BREAK SPEED,2,0,RPM,data
0X0080D0B6,CKEXFLAJ,word,CRANK EXIT FUEL ADJUSTMENT,2,0,MM3S,data
0X0080D0BC,CKINFRAJ,word,FUELING VAL. TO BE ADDED TO CRANK INITIAL FUEL VAL.,2,0,%FU,data
0X0080D0BE,CKINRPAJ,word,ENG. SPD. VAL. TO BE ADDED TO CRK INIT FUEL BRK SPD.,2,0,RPM,data
0X0080D0CE,CMSYRSFG,byte,CAM_CYCLE_RESET:FLAG INDICATING OCCURRENCE OF EPS PULSE,1,0,1-T,flag
0X0080D0CF,CMSYFG,byte,FLAG INDICATING CRANK REV 1 OR 2 OF CAM REV,1,0,,flag
0X0080D2BE,CMSNTTCU,byte,CI_TOOTH_COUNT:NUMBER OF EPS TEETH DURING CI PULSE,1,0,CNT,counter
0X0080D2BF,CKTTCUER,byte,CRANK_TOOTH_COUNT_ERROR:INCREMENTED WHEN EPS TOOTH COUNT WRONG,1,0,CNT,counter
0X0080D2C0,CMSNCUER,byte,CI_TOOTH_COUNT_ERROR:INCREMENTED WHEN CI PULSE WIDTH IS WRONG,1,0,CNT,counter
0X0080D2C1,CMSNFXER,byte,CI_SIGNAL_ERROR:INCREMENTED WHEN CI PULSE IS MISSING,1,0,CNT,data
0X0080D09C,CK4DTA,word,4D TIMING OUTPUT BY CRANK,2,0,DEG,data
0X0080D056,CMLSEL,word,CAM_SYNC_LOST_DURATION,2,0,SEC,data
0X0080D64C,APLMES,word,RPM DERATE SUPPLIED BY APPLICATION GROUP.,2,0,RPM,data
0X0080D292,CKSYERTT,byte,TOOTH COUNT AT WHICH ERROR WAS FOUND BY PMM,1,0,,counter
0X0080D293,CKSYERTY,byte,PMM_ERROR_TYPE:SIGNIFIES THE TYPE OF SYNC ERROR FOUND BY PMMA,1,0,HEX,data
0X0080D344,4DTBTA,word,TIMING ADVANCE VALUE CALCULATED FROM THE 4D TIMING TABLE -VALID ONLY W,2,0,DEG,lookup
0X0080DE68,AFCNICTA,word,TIMING ADVANCE ADDED TO BASE TIMING ANYTIME AFC IS LIMITING FUELING,2,0,DEG,threshold
0X000603BA,ATAAPRYA,dword,AMBIENT AIR PRESSURE AXIS VALUES (4 VALUES) FOR ALTITUDE_DERATE_FUELIN,4,4,INHG,axis
0X000605B2,CPCS01XA,byte[13],REF. AXIS FOR RATIO OF CYL. PRESS. TO COMPRESSION PRESS. PER DEGREE TV,13,4,RPM,axis
