enum_name,value,member_name,comment,size
# CAN Controller Init Mode - switch value in canControllerConfigInit
CAN_TIMER_INIT_MODE,0,BASIC_DELAY,Basic timer + delay with watchdog (can1TimerBufferInit),1
CAN_TIMER_INIT_MODE,1,ALT_TRANSMIT,Alt timer + message transmit init (can1TimerBufferInitAlt),1
CAN_TIMER_INIT_MODE,2,DIVIDED_TRANSMIT,Divided timer + message transmit init 2 (can1TimerBufferInitDivided),1
CAN_TIMER_INIT_MODE,3,CONDITIONAL_DELAY,Conditional timer + watchdog delay 2 (can1TimerBufferInitConditional),1
CAN_BUFFER_OFFSETS,0x36,CAN_STATUS_BYTE,CAN message status byte offset
CAN_BUFFER_OFFSETS,0x37,PARAM_BYTE_1,First parameter byte offset
CAN_BUFFER_OFFSETS,0x38,PARAM_BYTE_2,Second parameter byte offset
CAN_BUFFER_OFFSETS,0x39,PARAM_BYTE_3,Third parameter byte offset
CAN_MSG_TYPE,16,VP44_FUEL_TEMP,VP44 fuel temperature message
CAN_MSG_TYPE,17,ALTERNATIVE_MSG,Alternative message handler
CAN_MSG_TYPE,19,THIRD_MSG,Third message handler
CAN_MSG_TYPE,255,ERROR_DEFAULT,Error/default case message
CAN_PARAM_BUILDERS,1,VP44_CMD_BUILDER,vp44Command0x100Builder function (0x2a418)
VP44_STATUS_BITS,0x01,FSO_CIRCUIT_STATUS_BIT0,VP44 FSO circuit status bit 0 - when set indicates normal operation
VP44_STATUS_BITS,0x02,FSO_CIRCUIT_STATUS_BIT1,VP44 FSO circuit status bit 1 - redundant FSO monitoring
VP44_STATUS_BITS,0x04,STATUS_BIT2,VP44 status bit 2
VP44_STATUS_BITS,0x08,STATUS_BIT3,VP44 status bit 3
VP44_STATUS_BITS,0x10,STATUS_BIT4,VP44 status bit 4 - affects fuel timing control
VP44_STATUS_BITS,0x20,STATUS_BIT5,VP44 status bit 5
VP44_STATUS_BITS,0x40,STATUS_BIT6,VP44 status bit 6
VP44_STATUS_BITS,0x80,STATUS_BIT7,VP44 status bit 7
ENGINE_OPERATING_MODE,1,ENGINE_IDLE,Engine idle/startup mode,2
ENGINE_OPERATING_MODE,2,LOW_RPM_RUNNING,Low RPM running mode,2
ENGINE_OPERATING_MODE,3,HIGH_RPM_RUNNING,High RPM running mode,2
ENGINE_OPERATING_MODE,4,VP44_INJECTION_ACTIVE,VP44 injection system active mode,2
