address,name
0x00003640,huffmanTreeBuilder
0x00003792,huffmanDecompress
0x00003836,huffmanDecompressMain
0x00003870,busyWaitDelayLoop
0x0000388a,portPinTestSequence2
0x0000395a,simQsmUnlockSequence
0x000039a8,tpuAndQadcVerification
0x00003a94,hardwareInitAndStartup
0x00003abe,peripheralHardwareReset
0x00003c20,ramClearWithWatchdog
0x0000ac3c,dutyCycleMonitorCalculator
0x0000af70,dutyCycleMonitorInit
0x0000b130,writeHourMeterConversionData
0x0000b210,outputControlTimingGenerator
0x0000b2aa,rpm_system_state_controller
0x0000b3b2,shutdownMinimumSelector21
0x0000b3d0,ancTimingStateController
0x0000b4ce,fuelDemandLimitMinimumUpdater
0x0000b4f2,engineStateFuelLimitInterpolator
0x0000b5e4,dmaControllerSetup1
0x0000b614,rpmParameterPointerSetup
0x0000b63e,dmaDescriptorSetup2
0x0000b666,initFuelSystemOutputDriver
0x0000b688,diagnosticServiceIdMapper
0x0000b6e8,diagnosticMessageQueueWrite
0x0000b7bc,sensorInputFilterProcessor
0x0000bcf0,initADCChannelConfiguration
0x0000c180,fuelTimingTransitionStateMachine
0x0000c246,fuelTimingModeInit
0x0000c24c,diagnosticDataBufferSetup
0x0000c2a0,shutdownMinimumSelector16
0x0000c2be,diagnosticTimingIncrementController
0x0000c2ee,j1708TransmitBufferUpdate
0x0000c326,vp44RpmBasedFaultDetector
0x0000c496,lsgStateConditionChecker
0x0000c4b2,lsgExitTimerHandler
0x0000c504,fuelModeTransitionCountdownHandler
0x0000c582,timingProtectionFlagsOrchestrator
0x0000c658,phase2_slot_5_handler
0x0000c66a,rpmHistogramAndProtectionStatisticsAccumulator
0x0000c714,fuelParameterPointerSetup
0x0000c742,shutdownMinimumSelector15
0x0000c760,tpuTimerInitializer
0x0000c80c,emptyStubFunction1
0x0000c80e,modeBasedDataDispatcher
0x0000c87c,emptyStub1
0x0000c87e,emptyStub2
0x0000c880,dataPointerSetup
0x0000c8a0,dzgTimingAndPressureControlStateMachine
0x0000c962,engine_speed_governor
0x0000d0e2,diagnosticDataCopyHandler
0x0000d0fc,fuelDeliverySystemInit
0x0000d18a,diagnosticStatus30Setter
0x0000d1a4,diagnosticStatus2Initializer
0x0000d218,diagnosticState2Initializer
0x0000d23c,dualTableLookupSum
0x0000d280,interpolationTableSetup
0x0000d286,initAcControlSystem
0x0000d2be,acceleratorThrottleFaultDetector
0x0000d3b2,fuelArbitratorPointersInit
0x0000d3bc,fuelArbitratorInit
0x0000d3c6,initDerateSystemPointers
0x0000d3e6,diagnosticMode10FuelController
0x0000d4ae,stcgThrottleControlModeHandler
0x0000d584,diagnosticState7Setter
0x0000d59e,fuelBlendTablePointerSetup
0x0000d5e6,initBoostProtectionSystem
0x0000d610,outputDriverFaultMonitor
0x0000e780,diagnosticCounterReset
0x0000e97e,vp44ControlVariablesReset
0x0000e998,boostPressureHighErrorChecker
0x0000eaec,insiteParameterTableIterator
0x0000eba4,diagnosticMessageTransmissionManager
0x0000ec1e,activeParamReadFunction
0x0000ed34,diagnosticCodeTableSearch
0x0000ed64,insiteCommandByteDispatcher
0x0000f796,paramSystemModeController
0x0000f8c6,param_lookup_1
0x0000f930,param_lookup_3
0x0000f99a,emptyStub3
0x0000f99c,frictionTorqueCalculator
0x0000fa06,vp44State2TransitionHandler
0x0000fa68,torqueCurveBreakpoint3Setup
0x0000faa6,torqueCurveBreakpointCalculator
0x0000fb26,fuelLimitExceedanceStatisticsAccumulator
0x0000fbe4,fuelSourceOilPressureConditionChecker
0x0000ff48,peakFuelingReferenceInit
0x0000ff56,initFuelArbitratorThreshold5
0x0000ff6c,ioControlBasedFuelCalculator
0x000100da,throttleTablePointerSetup
0x0001011c,bufferDecreasingPatternCheck
0x000101b8,bufferThresholdValidator
0x0001025c,retarderModeThresholdCalculator
0x00010394,canBusTimingInit
0x000103ba,sendCanSingleFrame
0x000104e8,sendCanMessage
0x00010512,sendJ1939MultiFrameWrapper
0x00010520,arrayRangeSum
0x00010536,memoryPatchCountDecrement
0x00010568,rpmDerateCalculationController
0x00010822,derateThresholdMonitorAndFaultController
0x00010e06,minimumThrottleInit
0x00010e16,diagnosticMemoryAddressResolver
0x00010e80,calibrationDataCopyWithChecksum
0x00010f32,calibrationDataCopySecondary
0x00010fe0,eepromCalibrationWriteSecondary
0x000114d4,validateRedundantSensors
0x000117ec,firmwareDataCopyToWorkingMemory
0x00011880,default
0x0001188c,waterInFuelDetectionStateInit
0x000118b2,waterInFuelFaultClear
0x000118cc,j1708BufferStateHandler
0x000118fc,activateHighRpmShutdownFlag
0x00011908,eepromWriteWrapper
0x0001191a,triggerDiagnosticSystemReset
0x0001192a,eepromWriteOperation
0x00011b36,systemFunction8xMaximum
0x00011da6,crc16Calculate
0x00011df8,memoryPatchCrcCalculate
0x00011e5e,coldStartFuelControlSlowCycle40Coordinator
0x00012484,cylinderPressureTimingAccumulator
0x000124d2,initLoadTrendingSystem
0x0001266e,crankPositionTempSampler
0x0001277c,fuelSourceMode11CountdownHandler
0x000127c2,cylinderBalanceCalculator
0x000133fc,emptyStub4
0x000133fe,sensorArrayInit10000
0x0001355e,circularBufferWriteWithStatus
0x00013616,vp44_communication_state_machine
0x000138a0,initVp44BufferAddresses
0x000138b6,smokeLimiterControlHandler
0x00013cc8,diagnosticChannelSetup
