param_id,param_id_hex,address,address_hex,region,firmware_variable,e2m_parameter
0,0x0000,16777274,0x0100003A,EEPROM,ecm_ram_avaliable_length_none,
1,0x0001,16777228,0x0100000C,EEPROM,,
2,0x0002,16,0x00000010,ROM,,
3,0x0003,16777344,0x01000080,EEPROM,,
4,0x0004,8437156,0x0080BDA4,RAM,hour_meter_ecm_run_time_none,
5,0x0005,16777218,0x01000002,EEPROM,,
6,0x0006,16777920,0x010002C0,EEPROM,,
7,0x0007,16777682,0x010001D2,EEPROM,,DISRSLEN
8,0x0008,16777362,0x01000092,EEPROM,service_tool_adjustable_parameters_n_a,
9,0x0009,393216,0x00060000,ROM,,
10,0x000A,16777536,0x01000140,EEPROM,,
11,0x000B,16777216,0x01000000,EEPROM,indicator_as_to_the_calibration_status_of_the_ecm_see_ces15005,
12,0x000C,8442542,0x0080D2AE,RAM,completion_status_of_data_link_command_invalid_password,
13,0x000D,8445074,0x0080DC92,RAM,calibration_write_protect_state,
14,0x000E,8436942,0x0080BCCE,RAM,value_used_for_monitoring_switch_data_0_1_2089_10_24,SWITCHES
15,0x000F,8414540,0x0080654C,RAM,,
16,0x0010,8445072,0x0080DC90,RAM,calibration_state_signature,
17,0x0011,16778510,0x0100050E,EEPROM,,
18,0x0012,16777360,0x01000090,EEPROM,indicates_the_versions_of_the_tools_compatible_with_the_ecm_n_a,
19,0x0013,8445490,0x0080DE32,RAM,buffer_used_to_store_secure_write_data_until_the_copy_0c000h_0f7efh,
20,0x0014,8445498,0x0080DE3A,RAM,length_in_bytes_of_scratch_pad_buffer_0_200,
21,0x0015,8445494,0x0080DE36,RAM,j1708_transmit_buffer_2_32_ddc6.reserved_112[0],
22,0x0016,16778524,0x0100051C,EEPROM,,
23,0x0017,16778512,0x01000510,EEPROM,,
25,0x0019,8423898,0x008089DA,RAM,special_engine_monitor_broadcast_table_none,
26,0x001A,8445048,0x0080DC78,RAM,,
27,0x001B,8430478,0x0080A38E,RAM,ADSATHFT,ADSATHFT
28,0x001C,8437156,0x0080BDA4,RAM,hour_meter_ecm_run_time_none,
29,0x001D,16777812,0x01000254,EEPROM,,
30,0x001E,16778530,0x01000522,EEPROM,,
31,0x001F,16778536,0x01000528,EEPROM,,
32,0x0020,16778542,0x0100052E,EEPROM,,
33,0x0021,16778548,0x01000534,EEPROM,,
34,0x0022,16778554,0x0100053A,EEPROM,,
46,0x002E,16777278,0x0100003E,EEPROM,,
4096,0x1000,16777358,0x0100008E,EEPROM,,
4097,0x1001,8445480,0x0080DE28,RAM,address_of_scratch_pad_directory_0c000h_0f7efh,
4098,0x1002,8445484,0x0080DE2C,RAM,number_of_entries_in_the_scratch_pad_0_10,
4099,0x1003,8415970,0x00806AE2,RAM,a_d_digital_filter_constant_for_intake_manifold_temperature_0_1,ADIMTPCS
4100,0x1004,8430250,0x0080A2AA,RAM,,
4101,0x1005,8432298,0x0080AAAA,RAM,actual_starting_ram_address_of_the_data_collector_buffer_none,
4102,0x1006,397728,0x000611A0,ROM,,
4104,0x1008,8445654,0x0080DED6,RAM,,
4107,0x100B,8421032,0x00807EA8,RAM,time_constant_for_the_filter_used_on_the_2_n_pulse_average_0_1,ESESFTTC
4108,0x100C,8441074,0x0080CCF2,RAM,fuel_demand_blend_mode_select,
4110,0x100E,8443528,0x0080D688,RAM,,
4112,0x1010,8445042,0x0080DC72,RAM,,
4113,0x1011,8417032,0x00806F08,RAM,(null),
4114,0x1012,8417018,0x00806EFA,RAM,,
4115,0x1013,8416906,0x00806E8A,RAM,(null),
4116,0x1014,8416854,0x00806E56,RAM,,
4117,0x1015,8416844,0x00806E4C,RAM,(null),
4118,0x1016,8416834,0x00806E42,RAM,,
4119,0x1017,8416822,0x00806E36,RAM,(null),
4120,0x1018,8416810,0x00806E2A,RAM,,
4121,0x1019,8416622,0x00806D6E,RAM,(null),
4122,0x101A,8408990,0x00804F9E,RAM,,
4123,0x101B,8416570,0x00806D3A,RAM,,AD25FTCS
4124,0x101C,8417084,0x00806F3C,RAM,(null),
4125,0x101D,8417074,0x00806F32,RAM,,
4130,0x1022,8417060,0x00806F24,RAM,(null),
4131,0x1023,8417046,0x00806F16,RAM,,
4134,0x1026,8417100,0x00806F4C,RAM,(null),
4135,0x1027,8417094,0x00806F46,RAM,,
4142,0x102E,8432146,0x0080AA12,RAM,bit_2_0_15_enables_j1939_71_engine_broadcast_1_on_0_off,EBDRLV
4143,0x102F,8423868,0x008089BC,RAM,,JCRDP5TQ
4145,0x1031,8411676,0x00805A1C,RAM,,
4146,0x1032,8421148,0x00807F1C,RAM,intake_manifold_temp_threshold,
4147,0x1033,8442714,0x0080D35A,RAM,,
4148,0x1034,8421406,0x0080801E,RAM,conversion_offset_of_line_converting_cubic_millimeter_fuel_to_0_100,
4149,0x1035,8421388,0x0080800C,RAM,debounce_count_for_fpc_faults_none,
4150,0x1036,8413184,0x00806000,RAM,set_true_if_relay_1_driver_is_shorted_hi_for_auxiliary_driv_true_false,
4152,0x1038,394628,0x00060584,ROM,,
4153,0x1039,394610,0x00060572,ROM,,
4154,0x103A,394608,0x00060570,ROM,,
4155,0x103B,8442692,0x0080D344,RAM,timing_4DTBTA,
4156,0x103C,395858,0x00060A52,ROM,,
4157,0x103D,395818,0x00060A2A,ROM,,
4158,0x103E,395892,0x00060A74,ROM,,
