source_address,source_name,target_address,confidence,status
0x00a5c0,initFuelSystemOutputDriver,0x00b666,81,matched
0x00a5e2,messageTypeToChannelMapper,N/A,0,not_found
0x00a6fa,sensorFaultDebounceMonitor,N/A,0,not_found
0x00a16a,rpm_rate_limiter,0x00b210,80,similar
0x00a30c,shutdownMinimumSelector17,0x00b3b2,81,matched
0x00a32a,highRpmFuelControlLimiter,0x00b2aa,80,similar
0x00a44c,lowRpmFuelProtectionLimiter,0x00b4f2,80,similar
0x00a53e,dmaControllerSetup1,0x00b5e4,89,matched
0x00a56e,dmaDescriptorSetup1,0x00b614,81,matched
0x00a204,rpm_system_state_controller,0x00b2aa,80,similar
0x00a428,fuelLimitMinimumSelector,0x00b4ce,81,matched
0x00a598,dmaDescriptorSetup2,0x00b63e,81,matched
0x00a626,diagnosticMessageQueueWrite,0x00b6e8,88,matched
0x00ac1c,initADCChannelConfiguration,0x00bcf0,81,matched
0x00afa0,diagnostic_fuel_calculation_with_vp44_monitoring,0x00b210,75,similar
0x00b0b0,shutdownMinimumSelector16,0x00c2a0,81,matched
0x00b0ce,diagnosticTimingIncrementController,0x00c2be,86,matched
0x00b0fe,fuelAdjustmentWithFlagUpdate,N/A,0,not_found
0x00b2ee,fuelSourceOilPressureConditionChecker,0x00fbe4,70,similar
0x00b3ae,timingProtectionFlagsOrchestrator,0x00c582,78,similar
0x00b05c,timingParameterPointerSetup,0x00c246,77,similar
0x00b18c,fuelTimingModeArbitrationSlowCycle40Coordinator,0x00c326,75,similar
0x00b27e,fuelTableBlendResultHandler,N/A,0,not_found
0x00b35c,fuelModeTransitionCountdownHandler,0x00c504,75,similar
0x00b47e,shutdownProtectionCalculator,0x00c66a,80,similar
0x00b130,vp44TimingConditionChecker,N/A,0,not_found
0x00b314,fuelSourceMode11CountdownHandler,0x01277c,66,similar
0x00b528,fuelParameterPointerSetup,0x00c714,88,matched
0x00b556,shutdownMinimumSelector15,0x00c742,77,similar
0x00b574,rpmParameterPointerSetup,0x00b614,75,similar
0x00b594,targetRpmRateLimiter,0x00c8a0,75,similar
0x00b656,engine_speed_governor,0x00c962,86,matched
0x00bdd4,diagnosticDataCopyHandler,0x00d0e2,81,matched
0x00be7c,diagnosticStatus30Setter,0x00d18a,81,matched
0x00be96,diagnosticStatus2Initializer,0x00d1a4,81,matched
0x00bf0a,diagnosticState2Initializer,0x00d218,81,matched
0x00bf2e,derate_application_controller,N/A,0,not_found
0x00bf9c,initDerateSystemPointers,0x00d3c6,63,similar
0x00bfbc,diagnosticValueCalculator,0x00d3e6,75,similar
0x00c0e6,diagnosticState7Setter,0x00d584,75,similar
0x00c33e,initBoostProtectionSystem,0x00d5e6,69,similar
0x00c084,diagnosticStatus7Initializer,N/A,0,not_found
0x00c100,diagnosticTablePointerSetup,0x00b60e,73,similar
0x00c144,tpuTimerInitializer,0x00c760,92,matched
0x00c264,boostPressureControlInit,0x01b4f6,66,similar
0x00c272,engineProtectionSystemInit,0x01b57e,70,similar
0x00c368,periodicIoAndCanFaultMonitor,0x00b210,67,similar
0x00caa8,diagnosticMessageTransmissionManager,0x00eba4,88,matched
0x00cb1e,insiteParameterResponseBuilder,0x00ec1e,75,similar
0x00d7c0,fuelTableBlendInterpolation,N/A,0,not_found
0x00d71a,diagnosticDataBufferSetup,0x00c24c,72,similar
0x00d85e,fuelParameterBlendCalculator,N/A,0,not_found
0x00d90a,fuelOffsetCalculator,0x01709e,80,similar
0x00d984,fuelModeSelectionCalculator,0x00c8a0,73,similar
0x00e02c,canBusTimingInit,0x010394,91,matched
0x00e200,rpm_derate_calculation_and_fault_processing,0x010822,80,similar
0x00e478,derateThresholdMonitorAndFaultController,0x010822,80,similar
0x00eacc,initDerateSystem,N/A,0,not_found
