struct_name,address,field_name,type,size,comment,dependency,Status
# =============================================================================
# J90350.00 Structure Definitions
# Created: 2024-12-17
# Based on J90280.05 analysis with address adjustments for J90350.00 memory layout
# =============================================================================

# -----------------------------------------------------------------------------
# Generic Structures (No Fixed Address - Portable)
# -----------------------------------------------------------------------------

# J1939 Message Header
j1939_header_t,,id,uint32_t,4,CAN identifier containing PGN and addressing info,,verified
j1939_header_t,,length,uint16_t,2,Message data length for single/multi-frame decision,,verified

# Standard CAN RX Descriptor
can_std_rx_desc_t,,id,uint32_t,4,11-bit CAN ID stored in 32-bit (ABI),,verified
can_std_rx_desc_t,,length,uint16_t,2,DLC,,verified
can_std_rx_desc_t,,data_ptr,ptr:uint8_t,4,Pointer to payload bytes,,verified

# Parameter Lookup Arguments - used by param_address_calc
param_lookup_args_t,,calculated_block,dword,4,Block x 256 x 4 calculation result,,verified
param_lookup_args_t,,offset,word,2,Parameter offset within block,,verified
param_lookup_args_t,,result_value,word,2,Retrieved parameter value (capped at 32000),,verified

# Table Interpolation Arguments - used by FUN_00035088 (2D lookup)
table_interp_args_t,,current_index,word,2,Current interpolation index into table,,verified
table_interp_args_t,,x_axis_ptr,dword,4,Pointer to X-axis table (input values),,verified
table_interp_args_t,,input_value,word,2,Input value for table lookup,,verified
table_interp_args_t,,y_axis_ptr,dword,4,Pointer to Y-axis table (output values),,verified

# DMA Descriptor
dma_descriptor_t,,source_address,dword,4,DMA transfer source memory address,,verified
dma_descriptor_t,,dest_address,dword,4,DMA transfer destination memory address,,verified
dma_descriptor_t,,transfer_count,word,2,Number of bytes/words to transfer,,verified
dma_descriptor_t,,control_flags,word,2,DMA control flags (mode type enable etc),,verified
dma_descriptor_t,,next_descriptor,dword,4,Pointer to next descriptor in chain,,verified

# Memory Operation Request
memory_operation_request_t,,source_data_ptr,dword,4,Pointer to source data for memory operation,,verified
memory_operation_request_t,,target_data_ptr,dword,4,Pointer to destination memory location,,verified
memory_operation_request_t,,operation_size,word,2,Number of bytes to copy (max 1764 bytes),,verified
memory_operation_request_t,,metadata_value,word,2,Logging metadata/timestamp for circular buffer,,verified

# Q16.16 Fixed Point - 32-bit with 16-bit integer and 16-bit fractional
q16_fixed_point_t,,integer_part,word,2,High 16 bits - integer/whole number portion,,verified
q16_fixed_point_t,,fractional_part,word,2,Low 16 bits - fractional portion,,verified

# Sensor Fault Configuration Entry (24 bytes per sensor)
sensor_fault_config_t,,reserved_00,word,2,Reserved/padding at offset 0x00,,verified
sensor_fault_config_t,,default_value,word,2,Default sensor value on fault,,verified
sensor_fault_config_t,,clear_threshold,word,2,Threshold for fault clear,,verified
sensor_fault_config_t,,decrement_value,word,2,Debounce counter decrement,,verified
sensor_fault_config_t,,increment_value,word,2,Debounce counter increment,,verified
sensor_fault_config_t,,set_threshold,word,2,Threshold for fault set,,verified
sensor_fault_config_t,,high_limit,word,2,High error limit,,verified
sensor_fault_config_t,,low_limit,word,2,Low error limit,,verified
sensor_fault_config_t,,adc_lookup_index,word,2,A/D channel lookup table index,,verified
sensor_fault_config_t,,reserved_12,byte,1,Reserved byte,,verified
sensor_fault_config_t,,alt_fault_enable,byte,1,Alternative fault enable flag,,verified
sensor_fault_config_t,,primary_fault_id,byte,1,Primary fault code,,verified
sensor_fault_config_t,,secondary_fault_id,byte,1,Secondary fault code,,verified
sensor_fault_config_t,,tertiary_fault_id,byte,1,Tertiary fault code,,verified
sensor_fault_config_t,,debounce_max,byte,1,Maximum debounce count,,verified

# Sensor Debounce State Entry (22 bytes per sensor)
sensor_debounce_state_t,,reserved_00,byte,8,Reserved bytes at offset 0x00-0x07,,verified
sensor_debounce_state_t,,interpolated_value,word,2,Interpolated sensor value,,verified
sensor_debounce_state_t,,lookup_result,word,2,Table lookup result,,verified
sensor_debounce_state_t,,debounce_counter,word,2,Current debounce count,,verified
sensor_debounce_state_t,,fault_active_flag,byte,1,Fault currently active flag,,verified
sensor_debounce_state_t,,sample_counter,byte,1,Sample phase counter,,verified
sensor_debounce_state_t,,adc_raw_value,word,2,Raw A/D conversion value,,verified
sensor_debounce_state_t,,reserved_12,byte,4,Reserved bytes at offset 0x12-0x15,,verified

# -----------------------------------------------------------------------------
# EEPROM Structures (Fixed Addresses - Same Across Firmware Versions)
# -----------------------------------------------------------------------------

# Module ID Header @ EEPROM 0x0100003A
cummins_data_plate_header_t,0x0100003A,data_plt_module_id,word,2,Module identifier (EN=0x454E for CM550/VP44 ECUs),,verified

# Module Variant Offsets
module_variant_offsets_t,,cm550_data_plate_offset,word,2,CM550 data plate offset (0x2C0),,verified
module_variant_offsets_t,,vp44_data_plate_offset,word,2,VP44 data plate offset (0x2C0-0x22=0x29E),,verified
module_variant_offsets_t,,incal_variant_code,byte,1,InCal calibration variant (A/B/C),,verified

# Data Plate @ EEPROM 0x010002C0
cummins_data_plate_t,0x010002C0,data_plate_length,word,2,Data plate length field,,verified
cummins_data_plate_t,0x010002C0,engine_make,byte,5,Engine manufacturer identifier (JCMMNS),,verified
cummins_data_plate_t,0x010002C0,engine_model,byte,17,Engine model designation (ISB 195),,verified
cummins_data_plate_t,0x010002C0,engine_serial_number,dword,4,Engine serial number,,verified
cummins_data_plate_t,0x010002C0,engine_build_month,byte,1,Engine manufacturing month,,verified
cummins_data_plate_t,0x010002C0,engine_build_day,byte,1,Engine manufacturing day,,verified
cummins_data_plate_t,0x010002C0,engine_build_year,byte,1,Engine manufacturing year,,verified
cummins_data_plate_t,0x010002C0,engine_cpl,word,2,Engine CPL (Component Parts List),,verified
cummins_data_plate_t,0x010002C0,peak_torque_low_range,word,2,Peak torque low range value,,verified
cummins_data_plate_t,0x010002C0,peak_torque_high_range,word,2,Peak torque high range value,,verified
cummins_data_plate_t,0x010002C0,peak_torque_rpm_low,word,2,Peak torque RPM low range,,verified
cummins_data_plate_t,0x010002C0,peak_torque_rpm_high,word,2,Peak torque RPM high range,,verified
cummins_data_plate_t,0x010002C0,governed_speed_low,word,2,Governed speed low range,,verified
cummins_data_plate_t,0x010002C0,governed_speed_high,word,2,Governed speed high range,,verified
cummins_data_plate_t,0x010002C0,horsepower_low_range,word,2,Horsepower low range value,,verified
