firmware,address,current_name,classification,prefix,indicators,suggested_name
cm550,0x00003640,huffmanTreeBuilder,mc68k,mc68k_,dat_00ffd+dat_00fff,mc68k_huffmanTreeBuilder
cm550,0x00003792,huffmanDecompress,mc68k,mc68k_,dat_00ffd+dat_00fff,mc68k_huffmanDecompress
cm550,0x00003836,huffmanDecompressMain,unknown,cm550_,,cm550_huffmanDecompressMain
cm550,0x00003870,busyWaitDelayLoop,unknown,cm550_,,cm550_busyWaitDelayLoop
cm550,0x0000388a,portPinTestSequence2,mc68k,mc68k_,_dat_00ff,mc68k_portPinTestSequence2
cm550,0x000039a8,tpuAndQadcVerification,mc68k,mc68k_,dat_00fff+_dat_00ff,mc68k_tpuAndQadcVerification
cm550,0x00003a94,hardwareInitAndStartup,mc68k,mc68k_,_dat_00ff+dat_00ffd+dat_00fff,mc68k_hardwareInitAndStartup
cm550,0x00003c20,ramClearWithWatchdog,mc68k,mc68k_,dat_00ffd+dat_00fff,mc68k_ramClearWithWatchdog
cm550,0x0000b130,writeHourMeterConversionData,unknown,cm550_,,cm550_writeHourMeterConversionData
cm550,0x0000b210,outputControlTimingGenerator,unknown,cm550_,,cm550_outputControlTimingGenerator
cm550,0x0000b2aa,rpm_system_state_controller,unknown,cm550_,,cm550_rpm_system_state_controller
cm550,0x0000b3b2,shutdownMinimumSelector21,unknown,cm550_,,cm550_shutdownMinimumSelector21
cm550,0x0000b4ce,fuelDemandLimitMinimumUpdater,unknown,cm550_,,cm550_fuelDemandLimitMinimumUpdater
cm550,0x0000b4f2,engineStateFuelLimitInterpolator,unknown,cm550_,,cm550_engineStateFuelLimitInterpolator
cm550,0x0000b5e4,dmaControllerSetup1,unknown,cm550_,,cm550_dmaControllerSetup1
cm550,0x0000b614,rpmParameterPointerSetup,unknown,cm550_,,cm550_rpmParameterPointerSetup
cm550,0x0000b63e,dmaDescriptorSetup2,unknown,cm550_,,cm550_dmaDescriptorSetup2
cm550,0x0000b666,initFuelSystemOutputDriver,unknown,cm550_,,cm550_initFuelSystemOutputDriver
cm550,0x0000b6e8,diagnosticMessageQueueWrite,unknown,cm550_,,cm550_diagnosticMessageQueueWrite
cm550,0x0000bcf0,initADCChannelConfiguration,unknown,cm550_,,cm550_initADCChannelConfiguration
cm550,0x0000c180,fuelTimingTransitionStateMachine,unknown,cm550_,,cm550_fuelTimingTransitionStateMachine
cm550,0x0000c246,fuelTimingModeInit,unknown,cm550_,,cm550_fuelTimingModeInit
cm550,0x0000c24c,diagnosticDataBufferSetup,unknown,cm550_,,cm550_diagnosticDataBufferSetup
cm550,0x0000c2a0,shutdownMinimumSelector16,unknown,cm550_,,cm550_shutdownMinimumSelector16
cm550,0x0000c2be,diagnosticTimingIncrementController,unknown,cm550_,,cm550_diagnosticTimingIncrementController
cm550,0x0000c326,vp44RpmBasedFaultDetector,vp44,vp44_,vp44,vp44RpmBasedFaultDetector
cm550,0x0000c504,fuelModeTransitionCountdownHandler,unknown,cm550_,,cm550_fuelModeTransitionCountdownHandler
cm550,0x0000c658,phase2_slot_5_handler,unknown,cm550_,,cm550_phase2_slot_5_handler
cm550,0x0000c66a,rpmHistogramAndProtectionStatisticsAccumulator,unknown,cm550_,,cm550_rpmHistogramAndProtectionStatisticsAccumulator
cm550,0x0000c714,fuelParameterPointerSetup,unknown,cm550_,,cm550_fuelParameterPointerSetup
cm550,0x0000c742,shutdownMinimumSelector15,unknown,cm550_,,cm550_shutdownMinimumSelector15
cm550,0x0000c760,tpuTimerInitializer,mc68k,mc68k_,dat_00ffc+_dat_00ff,mc68k_tpuTimerInitializer
cm550,0x0000c80c,emptyStubFunction1,unknown,cm550_,,cm550_emptyStubFunction1
cm550,0x0000c80e,modeBasedDataDispatcher,unknown,cm550_,,cm550_modeBasedDataDispatcher
cm550,0x0000c8a0,dzgTimingAndPressureControlStateMachine,unknown,cm550_,,cm550_dzgTimingAndPressureControlStateMachine
cm550,0x0000c962,engine_speed_governor,unknown,cm550_,,cm550_engine_speed_governor
cm550,0x0000d0e2,diagnosticDataCopyHandler,unknown,cm550_,,cm550_diagnosticDataCopyHandler
cm550,0x0000d0fc,fuelDeliverySystemInit,unknown,cm550_,,cm550_fuelDeliverySystemInit
cm550,0x0000d18a,diagnosticStatus30Setter,unknown,cm550_,,cm550_diagnosticStatus30Setter
cm550,0x0000d1a4,diagnosticStatus2Initializer,unknown,cm550_,,cm550_diagnosticStatus2Initializer
cm550,0x0000d218,diagnosticState2Initializer,unknown,cm550_,,cm550_diagnosticState2Initializer
cm550,0x0000d23c,dualTableLookupSum,unknown,cm550_,,cm550_dualTableLookupSum
cm550,0x0000d280,interpolationTableSetup,unknown,cm550_,,cm550_interpolationTableSetup
cm550,0x0000d286,initAcControlSystem,unknown,cm550_,,cm550_initAcControlSystem
cm550,0x0000d2be,acceleratorThrottleFaultDetector,unknown,cm550_,,cm550_acceleratorThrottleFaultDetector
cm550,0x0000d3bc,fuelArbitratorInit,unknown,cm550_,,cm550_fuelArbitratorInit
cm550,0x0000d3c6,initDerateSystemPointers,unknown,cm550_,,cm550_initDerateSystemPointers
cm550,0x0000d3e6,diagnosticMode10FuelController,unknown,cm550_,,cm550_diagnosticMode10FuelController
cm550,0x0000d584,diagnosticState7Setter,unknown,cm550_,,cm550_diagnosticState7Setter
cm550,0x0000d59e,fuelBlendTablePointerSetup,unknown,cm550_,,cm550_fuelBlendTablePointerSetup
cm550,0x0000d5e6,initBoostProtectionSystem,unknown,cm550_,,cm550_initBoostProtectionSystem
cm550,0x0000e780,clearKickdownControlState,unknown,cm550_,,cm550_clearKickdownControlState
cm550,0x0000e97e,vp44ControlVariablesReset,vp44,vp44_,vp44,vp44ControlVariablesReset
cm550,0x0000eaec,insiteParameterTableIterator,vp44,vp44_,vp44,vp44_insiteParameterTableIterator
cm550,0x0000eba4,diagnosticMessageTransmissionManager,unknown,cm550_,,cm550_diagnosticMessageTransmissionManager
cm550,0x0000ec1e,activeParamReadFunction,unknown,cm550_,,cm550_activeParamReadFunction
cm550,0x0000ed34,diagnosticCodeTableSearch,unknown,cm550_,,cm550_diagnosticCodeTableSearch
cm550,0x0000f796,paramSystemModeController,unknown,cm550_,,cm550_paramSystemModeController
cm550,0x0000f8c6,param_lookup_1,unknown,cm550_,,cm550_param_lookup_1
cm550,0x0000f930,param_lookup_3,unknown,cm550_,,cm550_param_lookup_3
cm550,0x0000fa06,vp44State2TransitionHandler,vp44,vp44_,vp44,vp44State2TransitionHandler
cm550,0x0000faa6,calculateGovernorDroopSpeed,unknown,cm550_,,cm550_calculateGovernorDroopSpeed
cm550,0x0000fb26,fuelLimitExceedanceStatisticsAccumulator,vp44,vp44_,vp44,vp44_fuelLimitExceedanceStatisticsAccumulator
cm550,0x0000fbe4,fuelSourceOilPressureConditionChecker,vp44,vp44_,vp44,vp44_fuelSourceOilPressureConditionChecker
cm550,0x0000ff56,initFuelArbitratorThreshold5,unknown,cm550_,,cm550_initFuelArbitratorThreshold5
cm550,0x0000ff6c,ioControlBasedFuelCalculator,unknown,cm550_,,cm550_ioControlBasedFuelCalculator
cm550,0x000100da,throttleTablePointerSetup,unknown,cm550_,,cm550_throttleTablePointerSetup
cm550,0x0001011c,bufferDecreasingPatternCheck,unknown,cm550_,,cm550_bufferDecreasingPatternCheck
cm550,0x000101b8,bufferThresholdValidator,unknown,cm550_,,cm550_bufferThresholdValidator
cm550,0x0001025c,retarderModeThresholdCalculator,unknown,cm550_,,cm550_retarderModeThresholdCalculator
cm550,0x00010394,canBusTimingInit,unknown,cm550_,,cm550_canBusTimingInit
cm550,0x000103ba,sendCanSingleFrame,unknown,cm550_,,cm550_sendCanSingleFrame
cm550,0x000104e8,sendCanMessage,unknown,cm550_,,cm550_sendCanMessage
cm550,0x00010512,sendJ1939MultiFrameWrapper,unknown,cm550_,,cm550_sendJ1939MultiFrameWrapper
cm550,0x00010520,arrayRangeSum,unknown,cm550_,,cm550_arrayRangeSum
cm550,0x00010536,memoryPatchCountDecrement,unknown,cm550_,,cm550_memoryPatchCountDecrement
cm550,0x00010568,rpmDerateCalculationController,vp44,vp44_,vp44,vp44_rpmDerateCalculationController
cm550,0x00010822,derateThresholdMonitorAndFaultController,vp44,vp44_,vp44,vp44_derateThresholdMonitorAndFaultController
cm550,0x00010e16,diagnosticMemoryAddressResolver,unknown,cm550_,,cm550_diagnosticMemoryAddressResolver
cm550,0x00010e80,calibrationDataCopyWithChecksum,mc68k,mc68k_,dat_00ffd+dat_00fff,mc68k_calibrationDataCopyWithChecksum
cm550,0x00010f32,calibrationDataCopySecondary,mc68k,mc68k_,dat_00ffd+dat_00fff,mc68k_calibrationDataCopySecondary
cm550,0x00010fe0,eepromCalibrationWriteSecondary,mc68k,mc68k_,dat_00ffd+dat_00fff,mc68k_eepromCalibrationWriteSecondary
cm550,0x000114d4,validateRedundantSensors,vp44,vp44_,vp44,vp44_validateRedundantSensors
cm550,0x000117ec,firmwareDataCopyToWorkingMemory,mc68k,mc68k_,dat_00ffd+dat_00fff,mc68k_firmwareDataCopyToWorkingMemory
cm550,0x0001188c,waterInFuelDetectionStateInit,unknown,cm550_,,cm550_waterInFuelDetectionStateInit
cm550,0x000118b2,waterInFuelFaultClear,unknown,cm550_,,cm550_waterInFuelFaultClear
cm550,0x000118fc,activateHighRpmShutdownFlag,unknown,cm550_,,cm550_activateHighRpmShutdownFlag
cm550,0x00011908,eepromWriteWrapper,unknown,cm550_,,cm550_eepromWriteWrapper
cm550,0x0001191a,triggerDiagnosticSystemReset,unknown,cm550_,,cm550_triggerDiagnosticSystemReset
cm550,0x00011b36,systemFunction8xMaximum,unknown,cm550_,,cm550_systemFunction8xMaximum
cm550,0x00011da6,crc16Calculate,unknown,cm550_,,cm550_crc16Calculate
cm550,0x00011df8,memoryPatchCrcCalculate,unknown,cm550_,,cm550_memoryPatchCrcCalculate
cm550,0x00011e5e,coldStartFuelControlSlowCycle40Coordinator,unknown,cm550_,,cm550_coldStartFuelControlSlowCycle40Coordinator
cm550,0x000124d2,initLoadTrendingSystem,unknown,cm550_,,cm550_initLoadTrendingSystem
cm550,0x0001277c,fuelSourceMode11CountdownHandler,unknown,cm550_,,cm550_fuelSourceMode11CountdownHandler
cm550,0x0001355e,circularBufferWriteWithStatus,unknown,cm550_,,cm550_circularBufferWriteWithStatus
cm550,0x00013616,vp44_communication_state_machine,vp44,vp44_,vp44,vp44_communication_state_machine
cm550,0x000138a0,initVp44BufferAddresses,vp44,vp44_,vp44,vp44_initVp44BufferAddresses
cm550,0x000142a8,canBusConfigTypeSelector,unknown,cm550_,,cm550_canBusConfigTypeSelector
cm550,0x000143b6,multiSpeedParameterInterpolation,unknown,cm550_,,cm550_multiSpeedParameterInterpolation
cm550,0x0001444e,fuelDemandPercentageCalculator,unknown,cm550_,,cm550_fuelDemandPercentageCalculator
cm550,0x000144bc,diagnosticCodeDebounceHandler,unknown,cm550_,,cm550_diagnosticCodeDebounceHandler
cm550,0x0001452e,phase2_sensor_data_processor,unknown,cm550_,,cm550_phase2_sensor_data_processor
cm550,0x000146b4,oldestDiagnosticTimestampSearch,unknown,cm550_,,cm550_oldestDiagnosticTimestampSearch
cm550,0x00014720,diagnosticCodeRegistrar,unknown,cm550_,,cm550_diagnosticCodeRegistrar
cm550,0x00014dc6,faultFlagScannerAndProcessor,unknown,cm550_,,cm550_faultFlagScannerAndProcessor
cm550,0x00014f42,insitePidDtcHandler,unknown,cm550_,,cm550_insitePidDtcHandler
cm550,0x00014fae,initHourMeterSystem,unknown,cm550_,,cm550_initHourMeterSystem
cm550,0x000159ee,ioDriverStrobeHandler,mc68k,mc68k_,_dat_00ff+dat_00ffd+dat_00fff,mc68k_ioDriverStrobeHandler
cm550,0x00015dd0,initVP44StatusMonitoring,vp44,vp44_,vp44,vp44_initVP44StatusMonitoring
cm550,0x0001645e,safeDivideWithClamp,unknown,cm550_,,cm550_safeDivideWithClamp
cm550,0x0001651e,clampedDivisionCalculator,unknown,cm550_,,cm550_clampedDivisionCalculator
cm550,0x000165f2,param_address_calc,unknown,cm550_,,cm550_param_address_calc
cm550,0x00016628,limitedDivisionCalculator,unknown,cm550_,,cm550_limitedDivisionCalculator
cm550,0x0001666c,multiPacketTransmitHandler,unknown,cm550_,,cm550_multiPacketTransmitHandler
cm550,0x0001686e,multiPacketReceiveHandler,unknown,cm550_,,cm550_multiPacketReceiveHandler
cm550,0x00016c2c,circularBufferEmptyCheck,unknown,cm550_,,cm550_circularBufferEmptyCheck
cm550,0x00016c3c,parameterCircularBufferWrite,unknown,cm550_,,cm550_parameterCircularBufferWrite
cm550,0x00016cd8,circularBufferWrite,unknown,cm550_,,cm550_circularBufferWrite
cm550,0x00016d4c,emptyPlaceholderFunction,unknown,cm550_,,cm550_emptyPlaceholderFunction
cm550,0x00016d4e,tpuTransmissionTrigger,mc68k,mc68k_,tpu_+_dat_00ff,mc68k_tpuTransmissionTrigger
cm550,0x00016dd4,highRpmEngineProtectionStateMachine,unknown,cm550_,,cm550_highRpmEngineProtectionStateMachine
cm550,0x0001709e,fuelTemperatureLimitingSecondary,unknown,cm550_,,cm550_fuelTemperatureLimitingSecondary
cm550,0x00017150,canControllerConfigInit,unknown,cm550_,,cm550_canControllerConfigInit
cm550,0x0001717a,derateProtectionSlowCycle20Coordinator,unknown,cm550_,,cm550_derateProtectionSlowCycle20Coordinator
cm550,0x000171aa,caseD_3,unknown,cm550_,,cm550_caseD_3
cm550,0x000171be,fuel_limit_arbitrator,unknown,cm550_,,cm550_fuel_limit_arbitrator
cm550,0x000176de,engineRpmSourceInit,unknown,cm550_,,cm550_engineRpmSourceInit
cm550,0x000177c2,rpmBasedFuelLimitCalculator,unknown,cm550_,,cm550_rpmBasedFuelLimitCalculator
cm550,0x000178b0,governorFuelModeBlendCalculator,unknown,cm550_,,cm550_governorFuelModeBlendCalculator
cm550,0x00017a06,rpmBasedFuelTimingInterpolation,unknown,cm550_,,cm550_rpmBasedFuelTimingInterpolation
cm550,0x00017a8e,frictionalLoadTorqueInterpolator,unknown,cm550_,,cm550_frictionalLoadTorqueInterpolator
cm550,0x00017b8a,rpmSourceSelectorForFrictionalLoad,unknown,cm550_,,cm550_rpmSourceSelectorForFrictionalLoad
cm550,0x00017ca6,peakTorqueFuelCorrection,unknown,cm550_,,cm550_peakTorqueFuelCorrection
cm550,0x00017cf0,engineModeTransitionStateUpdater,unknown,cm550_,,cm550_engineModeTransitionStateUpdater
cm550,0x00017d2a,engineModeTransitionHandler,unknown,cm550_,,cm550_engineModeTransitionHandler
cm550,0x00017d6a,ioOutputFlagMappingSlowCycle40Coordinator,unknown,cm550_,,cm550_ioOutputFlagMappingSlowCycle40Coordinator
cm550,0x00017e06,frictionalLoadTorqueManagementSlowCycle40Coordinator,unknown,cm550_,,cm550_frictionalLoadTorqueManagementSlowCycle40Coordinator
cm550,0x00017e62,engineOperatingModeStateTrackingSlowCycle40Coordinator,unknown,cm550_,,cm550_engineOperatingModeStateTrackingSlowCycle40Coordinator
cm550,0x00017eba,frictionalLoadTorqueTransitionHandler,unknown,cm550_,,cm550_frictionalLoadTorqueTransitionHandler
cm550,0x00017ef8,fuelLimitParameterPointerSetup,vp44,vp44_,vp44,vp44_fuelLimitParameterPointerSetup
cm550,0x00017f7c,vp44TimingFaultMonitor,vp44,vp44_,vp44,vp44TimingFaultMonitor
cm550,0x0001839a,canRpmModeConfigInit,unknown,cm550_,,cm550_canRpmModeConfigInit
cm550,0x00018620,engineProtectionMultiStateSlowCycle40Coordinator,unknown,cm550_,,cm550_engineProtectionMultiStateSlowCycle40Coordinator
cm550,0x000186ae,protectionThresholdCalculationHelper,unknown,cm550_,,cm550_protectionThresholdCalculationHelper
cm550,0x00018708,protectionPercentageCalculator,unknown,cm550_,,cm550_protectionPercentageCalculator
cm550,0x0001873e,engineProtectionSystemInit,vp44,vp44_,vp44,vp44_engineProtectionSystemInit
cm550,0x00018968,protectionConditionEvaluator,unknown,cm550_,,cm550_protectionConditionEvaluator
cm550,0x00018ac4,diagnosticProtectionEvaluator,unknown,cm550_,,cm550_diagnosticProtectionEvaluator
cm550,0x00018c1c,diagnosticProtectionProcessor,unknown,cm550_,,cm550_diagnosticProtectionProcessor
cm550,0x00018cb6,protectionState1DiagnosticValidator,unknown,cm550_,,cm550_protectionState1DiagnosticValidator
cm550,0x00018dae,protectionUpdateHandler,unknown,cm550_,,cm550_protectionUpdateHandler
cm550,0x00018f4c,protectionThresholdPointerInit,unknown,cm550_,,cm550_protectionThresholdPointerInit
cm550,0x000192f2,protectionCalculationHelper,unknown,cm550_,,cm550_protectionCalculationHelper
cm550,0x0001952c,protectionState3bRpmMonitor,unknown,cm550_,,cm550_protectionState3bRpmMonitor
cm550,0x000196e4,shutdownMinimumSelector29,unknown,cm550_,,cm550_shutdownMinimumSelector29
cm550,0x00019960,initShutdownLimitVariables,unknown,cm550_,,cm550_initShutdownLimitVariables
cm550,0x0001999c,can1TimerBufferInitDivided,mc68k,mc68k_,_dat_00ff,mc68k_can1TimerBufferInitDivided
cm550,0x000199fa,phase2_slot_0_handler,mc68k,mc68k_,_dat_00ff,mc68k_phase2_slot_0_handler
cm550,0x00019ac2,delayWithWatchdogServiceWrapper2,unknown,cm550_,,cm550_delayWithWatchdogServiceWrapper2
cm550,0x00019aca,emptyStubFunction7,unknown,cm550_,,cm550_emptyStubFunction7
cm550,0x00019acc,rpmTimerInterruptHandler2,vp44,vp44_,vp44,vp44_rpmTimerInterruptHandler2
cm550,0x00019dd0,can1MessageTransmitInit2,mc68k,mc68k_,_dat_00ff,mc68k_can1MessageTransmitInit2
cm550,0x0001a1e0,rpmTimingDeltaComparatorWithReturn,unknown,cm550_,,cm550_rpmTimingDeltaComparatorWithReturn
cm550,0x0001a6e8,crankFuelAndTimingBufferStore,mc68k,mc68k_,dat_00fff+_dat_00ff,mc68k_crankFuelAndTimingBufferStore
cm550,0x0001a746,can1TimerBufferInitConditional,mc68k,mc68k_,_dat_00ff,mc68k_can1TimerBufferInitConditional
cm550,0x0001a95a,throttleTimeAccumulatorProcessor,unknown,cm550_,,cm550_throttleTimeAccumulatorProcessor
cm550,0x0001a95e,vp44FaultThresholdTablesInit,vp44,vp44_,vp44,vp44FaultThresholdTablesInit
cm550,0x0001ae06,initOilPressureModeSystem,unknown,cm550_,,cm550_initOilPressureModeSystem
cm550,0x0001ae0c,sensorHistoryTablePointerInit,unknown,cm550_,,cm550_sensorHistoryTablePointerInit
cm550,0x0001ae22,dutyCycleMonitorAltCanInit,mc68k,mc68k_,_dat_00ff,mc68k_dutyCycleMonitorAltCanInit
cm550,0x0001af32,dutyCycleMonitorIsrHandler,mc68k,mc68k_,dat_00fff+_dat_00ff,mc68k_dutyCycleMonitorIsrHandler
cm550,0x0001b39a,dutyCycleMonitorBufferInit,mc68k,mc68k_,_dat_00ff,mc68k_dutyCycleMonitorBufferInit
cm550,0x0001b40c,phase2_slot_1_handler,mc68k,mc68k_,_dat_00ff,mc68k_phase2_slot_1_handler
cm550,0x0001b4c2,phase2_slot_8_handler,mc68k,mc68k_,_dat_00ff,mc68k_phase2_slot_8_handler
cm550,0x0001b4d0,ioDriverStrobeHandlerWrapper,unknown,cm550_,,cm550_ioDriverStrobeHandlerWrapper
cm550,0x0001b4d8,evenPhaseSchedulerTaskSet,vp44,vp44_,vp44,vp44_evenPhaseSchedulerTaskSet
cm550,0x0001b4ea,diagnosticMonitoringCoordinator,unknown,cm550_,,cm550_diagnosticMonitoringCoordinator
cm550,0x0001b4f6,boostPressureControlInit,unknown,cm550_,,cm550_boostPressureControlInit
cm550,0x0001b504,oddPhaseSchedulerTaskSet,unknown,cm550_,,cm550_oddPhaseSchedulerTaskSet
cm550,0x0001b518,vp44_engine_management_system,vp44,vp44_,vp44,vp44_engine_management_system
cm550,0x0001b558,vp44ControlSystemCoordinator,vp44,vp44_,vp44,vp44ControlSystemCoordinator
cm550,0x0001b56a,slowCycle10Coordinator,unknown,cm550_,,cm550_slowCycle10Coordinator
cm550,0x0001b572,periodicTaskSet_governorProtection,vp44,vp44_,vp44,vp44_periodicTaskSet_governorProtection
cm550,0x0001b57e,engine_control_cycle,vp44,vp44_,vp44,vp44_engine_control_cycle
cm550,0x0001b5b4,slowCycle20ExtendedCoordinator,unknown,cm550_,,cm550_slowCycle20ExtendedCoordinator
cm550,0x0001b5ba,vp44ExtendedFaultDetectionCoordinator,vp44,vp44_,vp44,vp44ExtendedFaultDetectionCoordinator
cm550,0x0001b5ce,periodicTaskSet_fuelTiming,unknown,cm550_,,cm550_periodicTaskSet_fuelTiming
cm550,0x0001b604,fuelTimingCoordinator,unknown,cm550_,,cm550_fuelTimingCoordinator
cm550,0x0001b60a,diagnosticDataTransmissionSlowCycle10Coordinator,unknown,cm550_,,cm550_diagnosticDataTransmissionSlowCycle10Coordinator
cm550,0x0001b62a,evenPhaseSchedulerTaskSet,vp44,vp44_,vp44,vp44_evenPhaseSchedulerTaskSet
cm550,0x0001b6ba,rpm_control_system,unknown,cm550_,,cm550_rpm_control_system
cm550,0x0001b6c6,emptySlowCycle8PlaceholderCase7,unknown,cm550_,,cm550_emptySlowCycle8PlaceholderCase7
