cm550_addr,cm550_name,cm848_addr,cm848_name,score,shared_functions,action
0x0080da01,j1939_engine_node_source_address,0x0040ad74,j1939_source_address,23,initFaultTimerMessage+initPgn65261CruiseControlSetupStruct,rename_cm848:j1939_engine_node_source_address
0x0080bcce,value_used_for_monitoring_switch_data_0_1_2089_10_24,0x0040c11e,fault_event_log_index,20,injectorTimingCalculation+updateEngineSyncStatus,rename_cm848:value_used_for_monitoring_switch_data_0_1_2089_10_24
0x00807176,load_breakpoint_table,0x0040a2f6,limit_source_priority,20,processDiagnosticLimitStatus+protectionState0FaultDurationCounter,rename_cm550:limit_source_priority
0x00806040,fault_first_occurrence_flags_word_0,0x003fbd46,PTR_DAT_003fbd46,20,protectionStateProcessor+protectionStateValidator,rename_cm848:fault_first_occurrence_flags_word_0
0x008067c6,fault_definition_flags_word,0x00059e9c,fault_definition_table,18,j1939HandlePgn65226Dm1ActiveDtc,review
0x00805a25,diagnostic_fault_occurrence_count,0x003fe05a,fault_list_count,18,j1939HandlePgn65226Dm1ActiveDtc,review
0x0080da70,datalink_command_source_id,0x0040ae3d,tsc1_source_address,17,torqueControlModeHandler,review
0x00801ee6,ccvs_message_byte_4,0x003faaf5,command_state_byte,17,j1939HandlePgn65265CruiseVehicleSpeed,review
0x0080bced,binary_value_of_not_idle_switch_off_on,0x0030401e,tpu_a_hsrr1,17,injectorTimingCalculation,review
0x0080a2b2,filtered_and_linearized_intake_manifold_temperature_50_to_293,0x003fee30,protection_sample_value,15,insiteCommandByteDispatcher,review
0x0080bd38,engine_brake_lamp_driver_control,0x00408320,protection_state_data_2,15,processProtectionFlagConditions,review
0x0080d634,hsg_gain_scheduling_output_hsg_engine_speed_error_filter_time_c_0_1,0x00406fb4,sensor_raw_channel_4_default,15,selectSensorRawChannels,review
0x00801a0b,io_port1_ch5_short_circuit_fault_debounce,0x003fd5b4,diagnostic_enable_flags,15,diagnosticMainStateProcessor,review
0x0080dcbb,j1708_pending_abort_count,0x0040b80a,engine_start_counter,15,diagnosticCommandDispatcher,review
0x0080da0b,j1939_retarder_node_source_address,0x0040a8ea,diagnostic_buffer_ptr_copy_2,15,initDiagnosticBufferPointers,review
0x00803c94,calibration_feature_enable_flags_word_0,0x0040a352,fuel_efficiency_trim,15,processDiagnosticLimitStatus,review
0x0080bcfb,fuel_system_output_driver_control,0x0040c0fc,injector_pulse_feedback_enable,15,hpcr_injectorPulseWidthCalc,review
0x0080da20,jcomm_ind_torque_at_point_2_available_torque_that_engine_can_0_125,0x0040a304,torque_limit_margin_offset,15,faultTimerHandler,review
0x0080426e,diagnostic_fault_code_table,0x0040b035,fuel_control_limit_mode,15,evaluateTemperatureDiagnosticState,review
0x0080a172,fuel_limit_from_pump_analog_error_algorithm_0_to_300,0x0040be64,main_loop_timer_threshold,15,main_loop,review
0x008034ab,vp44_feedback_pulse_high_fault_counter,0x0040ad8e,load_to_fuel_ratio_value,15,j1939HandlePgn61443Eec2,review
0x00800170,anc_speed_limit_table_1_size,0x00306096,mios_pwm_ch3_duty,12,updateEngineSyncStatus,review
0x0080349a,vp44_diagnostic_threshold_state,0x0040bbf8,protection_channel_condition_flags,10,vp44Message300FaultFlagProcessor,review
0x00803b0c,ecu_identity_test_pattern,0x003fee08,eeprom_version_marker,10,sensorRangeValidation,review
0x0080bd1a,priority_of_client_currently_overriding_wait_to_start_lamp_00_ff,0x0040a57a,fuel_demand_calculated,10,processProtectionFlagConditions,review
0x0080dde5,insite_parameter_id,0x0040a268,fuel_rate_current,10,buildPgn65228Dm3ClearInitMessage,review
0x00805f8c,vp44_fuel_demand_accumulator,0x003fd5a2,system_capability_flags,10,buildPgn65228Dm3ClearInitMessage,review
