featureID,featureEnable,featureGTIS,SortBy
"1","25771|21181|14480|","25275","-1"
"11","20021","20025","-1"
"17","11540|12420|20601|21251|12000|12790|21631|","23035","-1"
"2","21221","21225","-1"
"20","20221","20225","-1"
"21","11470|","23005","-1"
"23","22221","22225","-1"
"26","20061","20065","-1"
"32","20051","20055","-1"
"33","20001|10030|","23105","-1"
"35","22801|22811|22821|","22835","-1"
"36","22351","22355","-1"
"39","20131","20135","-1"
"43","20011","20015","-1"
"44","21781","21785","-1"
"47","22151","22155","-1"
"537","22261","22265","-1"
"55","10210|10220|11160|15160|","20195","-1"
"56","1001|1003|1005|1006|1009|1010|1011|2001|2002|2003|2004|2005|2006|2010|3005|3001|3002|3003|3004|4001|4003|4004|4005|4006|4010|2007|5017|5002|5018|5005|5006|5007|5015|","23255","-1"
"63","14350|","25315","-1"
"65","20761","20765","-1"
"66","14240|21641|23241|23261|23271|","25325","-1"
"68","11450|14250|15310|10760|","23025","-1"
"7","22571","22575","-1"
"74","25181","25185","-1"
"77","25161","25165","-1"
"79","24011","24015","-1"
"9","10000|10020|10060|10070|14220|10890|10900|14290|14300|22051|","23015","-1"
"90","24051","24055","-1"
