ParameterID,DependentParameters
1001,
1003,
1005,
1006,
1009,
1010,
1011,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
3001,
3002,"20761,21781,12280,12300,12310,12860,12830,12290,12920,12840,12925,12850,12870,12880,15200"
3003,
3004,
3005,
4003,
4004,
4010,
5002,"13430,13730,22351,13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430"
5007,"13340,13640,22351,13320,13620,13330,13630,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430,15240,10790,22911,13360,13660,15250"
5015,
5017,
5018,
10000,
10020,
10030,
10070,
10090,
10110,
10120,
10130,
10170,
10210,
10220,
10280,
10290,
10790,"22911,13360,13660,22351,13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430,15240,15250"
10860,
10870,
10880,"12410,12424"
10890,
10900,
11090,
11091,
11092,
11093,
11094,
11095,
11096,
11097,
11390,
11430,
11440,
11450,
11540,
11570,"20011,10110,10120,11730,11680,11690,11700,11710,11720,11790,11810,11820,10130,11390,13923,22981,15461,22551,22961,11830,22971"
11580,
11610,
11611,
11612,"11610,11611"
11657,
11680,
11690,
11700,
11710,
11720,
11730,"11680,11690,11700,11710,11720"
11790,
11810,
11820,"10130,11390"
11830,
12041,
12050,
12060,
12070,
12120,
12130,
12140,
12150,
12160,
12170,
12180,
12280,
12290,
12300,
12310,"12860"
12410,
12424,
12540,
12620,
12830,"12290,12920"
12840,"12925"
12850,
12860,
12870,
12880,
12910,
12920,
12925,
12930,
12940,
12950,
13320,"13620,22351,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430"
13330,"13630,22351,13320,13620,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430"
13340,"13640,22351,13320,13620,13330,13630,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430"
13350,"13650,22351,13320,13620,13330,13630,13340,13640,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430"
13360,"10790,22911,13660,22351,13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430,15240,15250"
13370,"13670,22351,13320,13620,13330,13630,13340,13640,13350,13650,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430"
13380,"13680,22351,13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430"
13390,"13690,22351,13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430"
13400,"13700,22351,13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430"
13410,"13710,22351,13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430"
13420,"13720,22351,13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430"
13430,"13730,22351,13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430"
