featureID,subFeatureID,subFeatureEnable,subFeatureGTIS,subFeatureParent,SortBy
"18","0","0","0","18","-1"
"20","0","0","0","20","-1"
"23","0","0","0","23","-1"
"27","0","0","0","27","-1"
"29","0","0","0","29","-1"
"31","0","0","0","31","-1"
"34","0","0","0","34","-1"
"39","0","0","0","39","-1"
"49","0","0","0","49","-1"
"5","0","0","0","5","-1"
"55","0","0","0","55","-1"
"553","0","0","0","553","-1"
"56","23051","3001|3002|3003|3004|","0","56","-1"
"56","23061","1001|1003|1005|1006|","0","56","-1"
"56","23071","1009|1010|1011|","0","56","-1"
"56","23081","2001|2002|2003|2004|2005|2006|2010|3005|","0","56","-1"
"56","23091","2007|5001|5002|5003|5005|5006|5007|5015|","0","56","-1"
"56","25051","4001|4010|4003|4004|4005|4006|","0","56","-1"
"58","0","0","0","58","-1"
"8","0","0","0","8","-1"
