SystemType,EFCode,Language,HelpFile
29,149,"EN","FIS2883472.chm"
30,30,"EN","FIS4021661.chm"
51,51,"EN","FIS4021665.chm"
1000,76,"EN","FIS3666118.chm"
1000,76,"ZH","FIS3666526.chm"
1050,85,"EN","FIS4021317.chm"
1050,85,"FR","FIS3667168.chm"
1050,85,"TR","FIS4960831.chm"
1050,85,"ZH","FIS3667146.chm"
1100,76,"EN","FIS3666118.chm"
1100,76,"ZH","FIS3666526.chm"
1200,83,"EN","FIS3666084.chm"
1210,83,"EN","FIS3666084.chm"
1220,83,"EN","FIS3666084.chm"
1250,79,"EN","FIS3666130.chm"
1250,79,"ES","FIS3150825.chm"
1250,79,"FR","FIS3666931.chm"
1300,80,"EN","FIS3666194.chm"
1300,80,"ES","FIS3150884.chm"
1300,80,"KO","FIS4960463.chm"
1300,80,"ZH","FIS4960485.chm"
1325,80,"EN","FIS3666194.chm"
1325,80,"ES","FIS3150884.chm"
1325,80,"KO","FIS4960463.chm"
1325,80,"ZH","FIS4960485.chm"
1375,6,"DE","FIS4915984.chm"
1375,6,"EN","FIS4021416.chm"
1375,6,"ES","FIS4018058.chm"
1375,6,"FR","FIS3667172.chm"
1375,6,"IT","FIS4915985.chm"
1375,6,"JA","FIS4960378.chm"
1375,6,"KO","FIS4960467.chm"
1375,6,"PT","FIS3653269.chm"
1375,6,"RU","FIS4960574.chm"
1375,6,"TR","FIS4915923.chm"
1375,6,"ZH","FIS3667186.chm"
1385,6,"DE","FIS4915984.chm"
1385,6,"EN","FIS4021416.chm"
1385,6,"ES","FIS4018058.chm"
1385,6,"FR","FIS3667172.chm"
1385,6,"IT","FIS4915985.chm"
1385,6,"JA","FIS4960378.chm"
1385,6,"KO","FIS4960467.chm"
1385,6,"PT","FIS3653269.chm"
1385,6,"RU","FIS4960574.chm"
1385,6,"TR","FIS4915923.chm"
1385,6,"ZH","FIS3667186.chm"
1395,6,"DE","FIS4915984.chm"
1395,6,"EN","FIS4021416.chm"
1395,6,"ES","FIS4018058.chm"
1395,6,"FR","FIS3667172.chm"
1395,6,"IT","FIS4915985.chm"
1395,6,"JA","FIS4960378.chm"
1395,6,"KO","FIS4960467.chm"
1395,6,"PT","FIS3653269.chm"
1395,6,"RU","FIS4960574.chm"
1395,6,"TR","FIS4915923.chm"
1395,6,"ZH","FIS3667186.chm"
1400,80,"EN","FIS3666288.chm"
1400,80,"ES","FIS3150884.chm"
1400,80,"KO","FIS4960463.chm"
1400,80,"ZH","FIS4960485.chm"
1450,86,"EN","FIS3666477.chm"
1450,86,"ES","FIS4017893.chm"
1450,86,"PT","FIS3653240.chm"
1450,86,"RU","FIS4960589.chm"
1450,86,"TR","FIS4915921.chm"
1450,86,"ZH","FIS4960486.chm"
1500,6,"DE","FIS4915984.chm"
1500,6,"EN","FIS4021416.chm"
1500,6,"ES","FIS4018058.chm"
1500,6,"FR","FIS3667172.chm"
1500,6,"IT","FIS4915985.chm"
1500,6,"JA","FIS4960378.chm"
1500,6,"KO","FIS4960467.chm"
1500,6,"PT","FIS3653269.chm"
1500,6,"RU","FIS4960574.chm"
1500,6,"TR","FIS4915923.chm"
1500,6,"ZH","FIS3667186.chm"
1550,71,"EN","FIS3666271.chm"
1550,71,"ES","FIS4017798.chm"
1550,71,"KO","FIS4960466.chm"
1550,71,"TR","FIS4915922.chm"
1550,71,"ZH","FIS3667034.chm"
1600,6,"DE","FIS4915984.chm"
1600,6,"EN","FIS4021416.chm"
1600,6,"ES","FIS4018058.chm"
1600,6,"FR","FIS3667172.chm"
1600,6,"IT","FIS4915985.chm"
1600,6,"JA","FIS4960378.chm"
1600,6,"KO","FIS4960467.chm"
1600,6,"PT","FIS3653269.chm"
1600,6,"RU","FIS4960574.chm"
1600,6,"TR","FIS4915923.chm"
1600,6,"ZH","FIS3667186.chm"
1625,6,"DE","FIS4915984.chm"
1625,6,"EN","FIS4021416.chm"
1625,6,"ES","FIS4018058.chm"
1625,6,"FR","FIS3667172.chm"
1625,6,"IT","FIS4915985.chm"
1625,6,"JA","FIS4960378.chm"
