ModuleID,Language,HelpFile
-1,"DA","DA\dabase.chm"
-1,"DE","DE\debase.chm"
-1,"EN","EN\insitehelp.chm"
-1,"ES","ES\esbase.chm"
-1,"FI","FI\fibase.chm"
-1,"FR","FR\frbase.chm"
-1,"IT","IT\itbase.chm"
-1,"JA","JA\jabase.chm"
-1,"NL","NL\nlbase.chm"
-1,"PT","PT\brbase.chm"
-1,"SV","SV\svbase.chm"
-1,"TR","TR\trbase.chm"
-1,"ZH","ZH\zhsbase.chm"
1,"EN","EN\insitehelp.chm"
2,"EN","EN\insitehelp.chm"
3,"EN","EN\insitehelp.chm"
4,"EN","EN\insitehelp.chm"
5,"EN","EN\insitehelp.chm"
6,"EN","EN\insitehelp.chm"
12,"EN","EN\insitehelp.chm"
14,"EN","EN\insitehelp.chm"
14,"PT","PT\brqsk.chm"
15,"EN","EN\insitehelp.chm"
18,"EN","EN\insitehelp.chm"
18,"ES","ES\esisb.chm"
19,"EN","EN\insitehelp.chm"
20,"EN","EN\insitehelp.chm"
21,"EN","EN\insitehelp.chm"
22,"EN","EN\insitehelp.chm"
23,"EN","EN\insitehelp.chm"
33,"EN","EN\insitehelp.chm"
39,"EN","EN\insitehelp.chm"
39,"ES","ES\esisx.chm"
39,"JA","JA\jaisx.chm"
39,"PT","PT\brisx.chm"
41,"EN","EN\insitehelp.chm"
41,"PT","PT\brqsk.chm"
42,"EN","EN\insitehelp.chm"
42,"PT","PT\brqsk.chm"
44,"EN","EN\insitehelp.chm"
44,"PT","PT\brqsk.chm"
47,"EN","EN\insitehelp.chm"
47,"ES","ES\esiscisl.chm"
47,"TR","TR\triscisl.chm"
47,"ZH","ZH\zhsiscisl.chm"
50,"EN","EN\insitehelp.chm"
50,"ES","ES\esisb.chm"
51,"EN","EN\insitehelp.chm"
51,"ES","ES\esisb.chm"
52,"EN","EN\insitehelp.chm"
52,"ES","ES\esiscisl.chm"
52,"TR","TR\triscisl.chm"
52,"ZH","ZH\zhsiscisl.chm"
55,"EN","EN\insitehelp.chm"
59,"EN","EN\insitehelp.chm"
59,"JA","JA\jaism.chm"
59,"ZH","ZH\zhsism.chm"
